"seccion","munn","edon","disloc2018","disloc1996","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,15,14,13,10,4,1958,14,0.416021641380062
2,1,15,14,13,10,4,2049,14,0.416021641380062
3,1,15,14,13,10,4,2374,14,0.416021641380062
4,1,15,14,13,10,4,3054,14,0.416021641380062
5,1,15,14,13,10,4,890,14,0.416021641380062
6,1,15,14,13,10,4,1099,14,0.416021641380062
7,1,15,14,13,10,4,1172,14,0.416021641380062
8,1,15,14,13,10,4,971,14,0.416021641380062
9,1,15,14,13,10,4,811,14,0.416021641380062
10,1,15,14,13,10,4,1763,14,0.416021641380062
11,1,15,14,13,10,4,2347,14,0.416021641380062
12,1,15,14,13,10,4,1521,14,0.416021641380062
13,1,15,14,13,10,4,2181,14,0.416021641380062
14,1,15,14,13,10,4,2303,14,0.416021641380062
15,1,15,14,13,10,4,1273,14,0.416021641380062
16,1,15,14,13,10,4,2433,14,0.416021641380062
17,1,15,14,13,10,4,2116,14,0.416021641380062
18,1,15,14,13,10,4,982,14,0.416021641380062
19,1,15,14,13,10,4,2510,14,0.416021641380062
20,1,15,14,13,10,4,3348,14,0.416021641380062
21,1,15,14,13,10,4,2387,14,0.416021641380062
22,1,15,14,13,10,4,2315,14,0.416021641380062
23,1,15,14,13,10,4,2533,14,0.416021641380062
24,1,15,14,13,10,4,1065,14,0.416021641380062
25,1,15,14,13,10,4,1332,14,0.416021641380062
26,1,15,14,13,10,4,1835,14,0.416021641380062
27,1,15,14,13,10,4,1198,14,0.416021641380062
28,1,15,14,13,10,4,3224,14,0.416021641380062
29,1,15,14,13,10,4,1274,14,0.416021641380062
30,1,15,14,13,10,4,2114,14,0.416021641380062
31,1,15,14,13,10,4,2289,14,0.416021641380062
32,1,15,14,13,10,4,1695,14,0.416021641380062
33,2,15,39,39,17,16,2688,39,0.773232793380544
34,2,15,39,39,17,16,2734,39,0.773232793380544
35,2,15,39,39,17,16,4111,39,0.773232793380544
36,2,15,39,39,17,16,676,39,0.773232793380544
37,2,15,39,39,17,16,2123,39,0.773232793380544
38,2,15,39,39,17,16,2908,39,0.773232793380544
39,2,15,39,39,17,16,229,39,0.773232793380544
40,2,15,39,39,17,16,820,39,0.773232793380544
41,2,15,39,39,17,16,2988,39,0.773232793380544
42,2,15,39,39,17,16,1938,39,0.773232793380544
43,2,15,39,39,17,16,3113,39,0.773232793380544
44,2,15,39,39,17,16,2446,39,0.773232793380544
45,2,15,39,39,17,16,2925,39,0.773232793380544
46,2,15,39,39,17,16,3086,39,0.773232793380544
47,2,15,39,39,17,16,3228,39,0.773232793380544
48,2,15,39,39,17,16,3044,39,0.773232793380544
49,2,15,39,39,17,16,4689,39,0.773232793380544
50,2,15,39,39,17,16,3089,39,0.773232793380544
51,2,15,39,39,17,16,3669,39,0.773232793380544
52,2,15,39,39,17,16,3554,39,0.773232793380544
53,2,15,39,39,17,16,2068,39,0.773232793380544
54,2,15,39,39,17,16,2835,39,0.773232793380544
55,2,15,39,39,17,16,3732,39,0.773232793380544
56,2,15,39,39,17,16,9087,39,0.773232793380544
57,2,15,39,39,17,16,18912,39,0.773232793380544
58,2,15,39,39,17,16,24725,39,0.773232793380544
59,3,15,14,13,10,4,2042,14,0.416021641380062
60,3,15,14,13,10,4,1784,14,0.416021641380062
61,3,15,14,13,10,4,1308,14,0.416021641380062
62,3,15,14,13,10,4,1947,14,0.416021641380062
63,3,15,14,13,10,4,2677,14,0.416021641380062
64,3,15,14,13,10,4,1632,14,0.416021641380062
65,3,15,14,13,10,4,1746,14,0.416021641380062
66,3,15,14,13,10,4,2059,14,0.416021641380062
67,3,15,14,13,10,4,2916,14,0.416021641380062
68,3,15,14,13,10,4,1913,14,0.416021641380062
69,3,15,14,13,10,4,3737,14,0.416021641380062
70,3,15,14,13,10,4,2259,14,0.416021641380062
71,3,15,14,13,10,4,1339,14,0.416021641380062
72,3,15,14,13,10,4,4487,14,0.416021641380062
73,3,15,14,13,10,4,1425,14,0.416021641380062
74,3,15,14,13,10,4,1529,14,0.416021641380062
75,3,15,14,13,10,4,2523,14,0.416021641380062
76,3,15,14,13,10,4,1209,14,0.416021641380062
77,3,15,14,13,10,4,2784,14,0.416021641380062
78,3,15,14,13,10,4,689,14,0.416021641380062
79,3,15,14,13,10,4,442,14,0.416021641380062
80,3,15,14,13,10,4,129,14,0.416021641380062
81,3,15,14,13,10,4,1087,14,0.416021641380062
82,4,15,9,8,9,1,1222,7,0.468257318001062
83,4,15,9,8,9,1,1167,7,0.468257318001062
84,4,15,9,8,9,1,961,7,0.468257318001062
85,4,15,9,8,9,1,2386,7,0.468257318001062
86,4,15,9,8,9,1,3044,7,0.468257318001062
87,4,15,9,8,9,1,1044,7,0.468257318001062
88,4,15,9,8,9,1,986,7,0.468257318001062
89,4,15,9,8,9,1,853,7,0.468257318001062
90,4,15,9,8,9,1,649,7,0.468257318001062
91,4,15,9,8,9,1,290,7,0.468257318001062
92,4,15,9,8,9,1,1825,7,0.468257318001062
93,4,15,9,8,9,1,884,7,0.468257318001062
94,5,15,45,45,5,5,2225,45,0.997881085903645
95,5,15,45,45,5,5,636,45,0.997881085903645
96,5,15,45,45,5,5,1958,45,0.997881085903645
97,5,15,45,45,5,5,1825,45,0.997881085903645
98,5,15,45,45,5,5,306,45,0.997881085903645
99,5,15,45,45,5,5,3419,45,0.997881085903645
100,5,15,45,45,5,5,3993,45,0.997881085903645
101,5,15,45,45,5,5,745,45,0.997881085903645
102,5,15,45,45,5,5,4488,45,0.997881085903645
103,5,15,45,45,5,5,348,45,0.997881085903645
104,5,15,45,45,5,5,1171,45,0.997881085903645
105,5,15,45,45,5,5,1414,45,0.997881085903645
106,5,15,45,45,5,5,2340,45,0.997881085903645
107,5,15,45,45,5,5,3455,45,0.997881085903645
108,5,15,10,45,8,10,665,12,0.286258979307387
109,5,15,45,45,5,5,2000,45,0.997881085903645
110,5,15,45,45,5,5,1897,45,0.997881085903645
111,5,15,45,45,5,5,1911,45,0.997881085903645
112,5,15,45,45,5,5,3791,45,0.997881085903645
113,5,15,45,45,5,5,5935,45,0.997881085903645
114,5,15,45,45,5,5,537,45,0.997881085903645
115,5,15,45,45,5,5,1167,45,0.997881085903645
116,5,15,45,45,5,5,1276,45,0.997881085903645
117,5,15,45,45,5,5,2422,45,0.997881085903645
118,5,15,45,45,5,5,2412,45,0.997881085903645
119,5,15,45,45,5,5,2013,45,0.997881085903645
120,5,15,45,45,5,5,8858,45,0.997881085903645
