"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,"mic",16,14,19,1889,5,14,15,0.774991111111111
2,1,"mic",16,14,19,1940,5,14,15,0.774991111111111
3,1,"mic",16,14,19,989,5,14,15,0.774991111111111
4,1,"mic",16,14,19,871,5,14,15,0.774991111111111
5,1,"mic",16,14,19,1748,5,14,15,0.774991111111111
6,1,"mic",16,14,19,444,5,14,15,0.774991111111111
7,1,"mic",16,14,19,913,5,14,15,0.774991111111111
8,1,"mic",16,14,19,545,5,14,15,0.774991111111111
9,1,"mic",16,14,19,341,5,14,15,0.774991111111111
10,1,"mic",16,14,19,1197,5,14,15,0.774991111111111
11,2,"mic",16,10,21,2596,8,10,21,0.747074537740297
12,2,"mic",16,10,21,2150,8,10,21,0.747074537740297
13,2,"mic",16,10,21,2042,8,10,21,0.747074537740297
14,2,"mic",16,10,21,2131,8,10,21,0.747074537740297
15,2,"mic",16,10,21,639,8,10,21,0.747074537740297
16,2,"mic",16,10,21,2930,8,10,21,0.747074537740297
17,2,"mic",16,10,21,842,8,10,21,0.747074537740297
18,2,"mic",16,10,21,951,8,10,21,0.747074537740297
19,2,"mic",16,10,21,860,8,10,21,0.747074537740297
20,2,"mic",16,10,21,248,8,10,21,0.747074537740297
21,2,"mic",16,10,21,248,8,10,21,0.747074537740297
22,2,"mic",16,10,21,480,8,10,21,0.747074537740297
23,2,"mic",16,10,21,226,8,10,21,0.747074537740297
25,2,"mic",16,10,21,218,8,10,21,0.747074537740297
26,3,"mic",16,12,8,1894,9,12,8,0.488470443219923
27,3,"mic",16,12,8,2450,9,12,8,0.488470443219923
28,3,"mic",16,12,8,2493,9,12,8,0.488470443219923
29,3,"mic",16,12,8,1477,9,12,8,0.488470443219923
30,3,"mic",16,12,8,1065,9,12,8,0.488470443219923
31,3,"mic",16,12,8,1788,9,12,8,0.488470443219923
32,3,"mic",16,12,8,2472,9,12,8,0.488470443219923
33,3,"mic",16,12,8,1633,9,12,8,0.488470443219923
34,3,"mic",16,12,8,1467,9,12,8,0.488470443219923
35,3,"mic",16,12,8,1548,9,12,8,0.488470443219923
36,3,"mic",16,12,8,1790,9,12,8,0.488470443219923
37,3,"mic",16,12,8,837,9,12,8,0.488470443219923
38,4,"mic",16,9,2,1073,13,9,2,0.581085634066448
39,4,"mic",16,9,2,888,13,9,2,0.581085634066448
40,4,"mic",16,9,2,1701,13,9,2,0.581085634066448
41,4,"mic",16,9,2,1567,13,9,2,0.581085634066448
42,4,"mic",16,9,2,795,13,9,2,0.581085634066448
43,4,"mic",16,9,2,1106,13,9,2,0.581085634066448
44,4,"mic",16,9,2,790,13,9,2,0.581085634066448
45,4,"mic",16,9,2,2916,13,9,2,0.581085634066448
46,4,"mic",16,9,2,886,13,9,2,0.581085634066448
47,4,"mic",16,9,2,103,13,9,2,0.581085634066448
48,4,"mic",16,9,2,446,13,9,2,0.581085634066448
49,4,"mic",16,9,2,505,13,9,2,0.581085634066448
50,4,"mic",16,9,2,707,13,9,2,0.581085634066448
51,4,"mic",16,9,2,1138,13,9,2,0.581085634066448
52,5,"mic",16,2,13,986,14,2,3,0.928389569177732
53,5,"mic",16,2,13,980,14,2,3,0.928389569177732
54,5,"mic",16,2,13,1011,14,2,3,0.928389569177732
55,5,"mic",16,2,13,3072,14,2,3,0.928389569177732
56,5,"mic",16,2,13,982,14,2,3,0.928389569177732
57,5,"mic",16,2,13,3102,14,2,3,0.928389569177732
58,6,"mic",16,11,23,2653,3,11,23,0.838136971449223
59,6,"mic",16,11,23,2600,3,11,23,0.838136971449223
60,6,"mic",16,11,23,2155,3,11,23,0.838136971449223
61,6,"mic",16,11,23,3258,3,11,23,0.838136971449223
62,6,"mic",16,11,23,2568,3,11,23,0.838136971449223
63,6,"mic",16,11,23,2765,3,11,23,0.838136971449223
64,6,"mic",16,11,23,2354,3,11,23,0.838136971449223
65,6,"mic",16,11,23,2015,3,11,23,0.838136971449223
66,6,"mic",16,11,23,1529,3,11,23,0.838136971449223
67,6,"mic",16,11,23,3568,3,11,23,0.838136971449223
68,6,"mic",16,11,23,3862,3,11,23,0.838136971449223
69,6,"mic",16,11,23,978,3,11,23,0.838136971449223
70,6,"mic",16,11,23,2032,3,11,23,0.838136971449223
71,6,"mic",16,11,23,1911,3,11,23,0.838136971449223
72,6,"mic",16,11,23,1620,3,11,23,0.838136971449223
73,6,"mic",16,11,23,2433,3,11,23,0.838136971449223
74,6,"mic",16,11,23,2785,3,11,23,0.838136971449223
75,6,"mic",16,11,23,1242,3,11,23,0.838136971449223
76,6,"mic",16,11,23,923,3,11,23,0.838136971449223
77,6,"mic",16,11,23,535,3,11,23,0.838136971449223
78,6,"mic",16,11,23,1143,3,11,23,0.838136971449223
79,6,"mic",16,11,23,968,3,11,23,0.838136971449223
80,6,"mic",16,11,23,1223,3,11,23,0.838136971449223
81,6,"mic",16,11,23,1112,3,11,23,0.838136971449223
82,6,"mic",16,11,23,1357,3,11,23,0.838136971449223
83,6,"mic",16,11,23,1722,3,11,23,0.838136971449223
84,6,"mic",16,11,23,1197,3,11,23,0.838136971449223
85,6,"mic",16,11,23,1262,3,11,23,0.838136971449223
86,6,"mic",16,11,23,880,3,11,23,0.838136971449223
87,6,"mic",16,11,23,1595,3,11,23,0.838136971449223
88,6,"mic",16,11,23,652,3,11,23,0.838136971449223
89,6,"mic",16,11,23,1828,3,11,23,0.838136971449223
90,6,"mic",16,11,23,682,3,11,23,0.838136971449223
91,6,"mic",16,11,23,361,3,11,23,0.838136971449223
92,6,"mic",16,11,23,994,3,11,23,0.838136971449223
93,6,"mic",16,11,23,804,3,11,23,0.838136971449223
94,6,"mic",16,11,23,1345,3,11,23,0.838136971449223
95,6,"mic",16,11,23,1004,3,11,23,0.838136971449223
96,6,"mic",16,11,23,1030,3,11,23,0.838136971449223
