"seccion","munn","edon","disloc2018","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,19,20,20,3,1,1144,20,0.645636113895386
2,1,19,20,20,3,1,1644,20,0.645636113895386
3,2,19,21,22,1,2,767,21,0.401534367462934
4,2,19,21,22,1,2,491,21,0.401534367462934
5,2,19,21,22,1,2,476,21,0.401534367462934
6,2,19,21,22,1,2,389,21,0.401534367462934
7,2,19,21,22,1,2,184,21,0.401534367462934
8,2,19,21,22,1,2,282,21,0.401534367462934
9,2,19,21,22,1,2,244,21,0.401534367462934
10,2,19,21,22,1,2,426,21,0.401534367462934
11,2,19,21,22,1,2,187,21,0.401534367462934
12,3,19,24,22,2,3,243,24,0.544359356056537
13,3,19,24,22,2,3,354,24,0.544359356056537
15,3,19,24,22,2,3,214,24,0.544359356056537
16,3,19,24,22,2,3,202,24,0.544359356056537
17,3,19,24,22,2,3,271,24,0.544359356056537
18,3,19,24,22,2,3,20,24,0.544359356056537
19,3,19,24,22,2,3,43,24,0.544359356056537
20,4,19,26,24,2,4,7095,24,0.544359356056537
21,4,19,26,24,2,4,2786,24,0.544359356056537
22,4,19,26,24,2,4,1542,24,0.544359356056537
23,4,19,26,24,2,4,1452,24,0.544359356056537
24,4,19,26,24,2,4,663,24,0.544359356056537
25,4,19,26,24,2,4,1722,24,0.544359356056537
26,4,19,26,24,2,4,1729,24,0.544359356056537
27,4,19,26,24,2,4,918,24,0.544359356056537
28,4,19,26,24,2,4,2802,24,0.544359356056537
29,4,19,26,24,2,4,2670,24,0.544359356056537
30,4,19,26,24,2,4,1935,24,0.544359356056537
31,4,19,26,24,2,4,1025,24,0.544359356056537
32,4,19,26,24,2,4,1981,24,0.544359356056537
33,4,19,26,24,2,4,1390,24,0.544359356056537
34,4,19,26,24,2,4,968,24,0.544359356056537
35,4,19,26,24,2,4,428,24,0.544359356056537
36,4,19,26,24,2,4,356,24,0.544359356056537
37,4,19,26,24,2,4,602,24,0.544359356056537
38,4,19,26,24,2,4,696,24,0.544359356056537
39,5,19,21,21,1,2,16,21,0.401534367462934
40,5,19,21,21,1,2,473,21,0.401534367462934
41,5,19,21,21,1,2,393,21,0.401534367462934
42,5,19,21,21,1,2,3343,21,0.401534367462934
