"seccion","munn","edon","disloc2015","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,23,11,7,9704,3,7,4,0.275406194189136
4,1,23,14,7,2764,8,7,7,0.771346196495897
5,1,23,14,7,5428,8,7,7,0.771346196495897
6,1,23,14,7,1299,8,7,7,0.771346196495897
7,1,23,8,7,1892,8,7,7,0.771346196495897
8,1,23,11,7,1170,8,7,7,0.771346196495897
9,1,23,11,7,875,8,7,7,0.771346196495897
10,1,23,11,7,918,8,7,7,0.771346196495897
13,1,23,13,3,3202,1,3,1,0.432302288692499
14,1,23,13,3,5245,4,3,5,0.707384911625917
15,1,23,13,5,3811,4,5,5,0.707384911625917
16,1,23,13,5,10929,4,5,5,0.707384911625917
18,1,23,9,5,1853,4,5,5,0.707384911625917
19,1,23,9,5,1921,4,5,5,0.707384911625917
20,1,23,12,5,1805,3,5,4,0.275406194189136
21,1,23,12,4,1031,3,4,4,0.275406194189136
22,1,23,12,4,1216,3,4,4,0.275406194189136
23,1,23,12,4,921,3,4,4,0.275406194189136
24,1,23,12,4,1409,3,4,4,0.275406194189136
25,1,23,12,4,870,3,4,4,0.275406194189136
26,1,23,11,4,873,3,4,4,0.275406194189136
27,1,23,11,4,1184,3,4,4,0.275406194189136
28,1,23,11,4,1502,3,4,4,0.275406194189136
29,1,23,11,7,1155,8,7,7,0.771346196495897
30,1,23,11,7,939,8,7,7,0.771346196495897
31,1,23,11,7,991,8,7,7,0.771346196495897
32,1,23,11,7,1290,8,7,7,0.771346196495897
33,1,23,11,7,742,8,7,7,0.771346196495897
34,1,23,11,7,1085,8,7,7,0.771346196495897
35,1,23,11,7,1189,8,7,7,0.771346196495897
36,1,23,8,7,1495,8,7,7,0.771346196495897
37,1,23,8,7,992,8,7,7,0.771346196495897
38,1,23,11,7,1138,8,7,7,0.771346196495897
39,1,23,11,7,636,8,7,7,0.771346196495897
40,1,23,11,7,1196,8,7,7,0.771346196495897
41,1,23,11,7,806,8,7,7,0.771346196495897
42,1,23,11,7,849,8,7,7,0.771346196495897
43,1,23,12,4,1040,3,4,4,0.275406194189136
44,1,23,12,4,1423,3,4,4,0.275406194189136
45,1,23,12,4,1400,3,4,4,0.275406194189136
46,1,23,9,5,1759,4,5,5,0.707384911625917
47,1,23,13,5,1740,4,5,5,0.707384911625917
48,1,23,13,3,1765,4,3,5,0.707384911625917
49,1,23,13,3,1642,1,3,1,0.432302288692499
50,1,23,13,3,2870,1,3,1,0.432302288692499
51,1,23,13,3,1549,4,3,5,0.707384911625917
52,1,23,13,5,1820,4,5,5,0.707384911625917
53,1,23,13,5,3415,4,5,5,0.707384911625917
54,1,23,15,5,3198,4,5,5,0.707384911625917
55,1,23,9,5,1523,4,5,5,0.707384911625917
56,1,23,9,5,1271,4,5,5,0.707384911625917
57,1,23,12,4,2007,3,4,4,0.275406194189136
58,1,23,12,4,827,3,4,4,0.275406194189136
59,1,23,12,4,1478,3,4,4,0.275406194189136
60,1,23,12,4,1973,3,4,4,0.275406194189136
61,1,23,11,4,1164,3,4,4,0.275406194189136
62,1,23,11,4,1112,3,4,4,0.275406194189136
63,1,23,11,4,986,3,4,4,0.275406194189136
64,1,23,11,4,1196,3,4,4,0.275406194189136
65,1,23,11,4,1326,8,4,7,0.771346196495897
66,1,23,11,4,1000,8,4,7,0.771346196495897
67,1,23,11,4,838,8,4,7,0.771346196495897
68,1,23,11,4,1030,8,4,7,0.771346196495897
69,1,23,11,4,749,8,4,7,0.771346196495897
70,1,23,13,3,1266,4,3,5,0.707384911625917
71,1,23,13,5,1774,4,5,5,0.707384911625917
72,1,23,13,5,2777,4,5,5,0.707384911625917
73,1,23,15,5,2671,4,5,5,0.707384911625917
74,1,23,9,5,1765,4,5,5,0.707384911625917
75,1,23,9,5,1212,4,5,5,0.707384911625917
76,1,23,9,4,2212,5,4,4,0.332642463444632
77,1,23,9,4,1184,5,4,4,0.332642463444632
78,1,23,9,4,1369,5,4,4,0.332642463444632
79,1,23,11,4,1207,5,4,4,0.332642463444632
80,1,23,11,4,840,5,4,4,0.332642463444632
81,1,23,11,4,1168,5,4,4,0.332642463444632
82,1,23,11,4,815,5,4,4,0.332642463444632
83,1,23,11,4,1399,5,4,4,0.332642463444632
84,1,23,11,4,1357,8,4,7,0.771346196495897
85,1,23,11,6,908,8,6,7,0.771346196495897
86,1,23,11,6,1275,8,6,7,0.771346196495897
87,1,23,11,6,905,8,6,7,0.771346196495897
88,1,23,11,6,811,8,6,7,0.771346196495897
89,1,23,8,6,553,7,6,6,0.822379764295422
