"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,24,4,4,1602,4,1,4,0.54148427672956
2,1,24,4,4,2706,4,1,4,0.54148427672956
3,1,24,4,4,358,4,1,4,0.54148427672956
4,1,24,4,4,560,4,1,4,0.54148427672956
5,1,24,4,4,357,4,1,4,0.54148427672956
6,1,24,4,4,2030,4,1,4,0.54148427672956
7,1,24,4,4,1667,4,1,4,0.54148427672956
8,1,24,4,4,2175,4,1,4,0.54148427672956
9,1,24,4,4,395,4,1,4,0.54148427672956
10,1,24,4,4,201,4,1,4,0.54148427672956
11,1,24,4,4,1664,4,1,4,0.54148427672956
12,1,24,4,4,881,4,1,4,0.54148427672956
13,1,24,4,4,1496,4,1,4,0.54148427672956
14,1,24,4,4,2993,4,1,4,0.54148427672956
15,2,24,11,11,369,7,3,2,0.287100186002407
16,2,24,11,11,340,7,3,2,0.287100186002407
17,2,24,11,11,410,7,3,2,0.287100186002407
18,2,24,11,11,152,7,3,2,0.287100186002407
19,2,24,11,11,386,7,3,2,0.287100186002407
20,2,24,11,11,232,7,3,2,0.287100186002407
21,2,24,11,11,284,7,3,2,0.287100186002407
22,2,24,11,11,230,7,3,2,0.287100186002407
23,2,24,11,11,649,7,3,2,0.287100186002407
24,2,24,11,11,221,7,3,2,0.287100186002407
25,2,24,11,11,185,7,3,2,0.287100186002407
26,2,24,11,11,1305,7,3,2,0.287100186002407
27,2,24,11,11,425,7,3,2,0.287100186002407
28,2,24,11,11,812,7,3,2,0.287100186002407
29,2,24,11,11,212,7,3,2,0.287100186002407
30,2,24,11,11,562,7,3,2,0.287100186002407
31,2,24,11,11,375,7,3,2,0.287100186002407
32,2,24,11,11,525,7,3,2,0.287100186002407
33,2,24,11,11,517,7,3,2,0.287100186002407
34,3,24,14,14,3325,5,4,14,0.334703382938122
35,3,24,14,14,964,5,4,14,0.334703382938122
36,3,24,14,14,1324,5,4,14,0.334703382938122
37,3,24,14,14,725,5,4,14,0.334703382938122
38,3,24,14,14,1177,5,4,14,0.334703382938122
39,3,24,14,14,2069,5,4,14,0.334703382938122
40,3,24,14,14,300,5,4,14,0.334703382938122
41,3,24,14,14,2040,5,4,14,0.334703382938122
42,3,24,14,14,1540,5,4,14,0.334703382938122
43,3,24,14,14,2655,5,4,14,0.334703382938122
44,3,24,14,14,2541,5,4,14,0.334703382938122
45,3,24,14,14,2853,5,4,14,0.334703382938122
46,3,24,14,14,2939,5,4,14,0.334703382938122
47,3,24,14,14,1626,5,4,14,0.334703382938122
48,3,24,14,14,3046,5,4,14,0.334703382938122
49,3,24,14,14,1940,5,4,14,0.334703382938122
50,3,24,14,14,832,5,4,14,0.334703382938122
51,3,24,14,14,2330,5,4,14,0.334703382938122
52,3,24,14,14,1258,5,4,14,0.334703382938122
53,3,24,14,14,2813,5,4,14,0.334703382938122
54,3,24,14,14,1717,5,4,14,0.334703382938122
55,3,24,14,14,1350,5,4,14,0.334703382938122
56,3,24,14,14,1407,5,4,14,0.334703382938122
57,3,24,14,14,1813,5,4,14,0.334703382938122
58,3,24,14,14,1346,5,4,14,0.334703382938122
59,3,24,14,14,1192,5,4,14,0.334703382938122
60,4,24,3,2,301,4,2,4,0.54148427672956
61,4,24,3,2,132,4,2,4,0.54148427672956
62,4,24,3,2,117,4,2,4,0.54148427672956
