"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,25,3,3,19421,19,3,4,0.402935226076802
2,1,25,3,3,302,19,3,4,0.402935226076802
3,1,25,3,3,1399,19,3,4,0.402935226076802
4,1,25,3,3,419,19,3,4,0.402935226076802
5,1,25,3,3,612,19,3,4,0.402935226076802
6,1,25,3,3,320,19,3,4,0.402935226076802
7,1,25,3,3,791,24,3,3,0.376307419414031
8,1,25,3,3,679,24,3,3,0.376307419414031
9,1,25,3,3,469,24,3,3,0.376307419414031
10,1,25,3,3,464,24,3,3,0.376307419414031
11,1,25,3,3,528,24,3,3,0.376307419414031
12,1,25,3,3,351,24,3,3,0.376307419414031
13,1,25,3,3,438,24,3,3,0.376307419414031
14,1,25,3,3,1161,24,3,3,0.376307419414031
15,1,25,9,3,414,24,9,3,0.376307419414031
16,1,25,9,3,407,24,9,3,0.376307419414031
17,1,25,9,3,342,24,9,3,0.376307419414031
18,1,25,9,3,397,24,9,3,0.376307419414031
19,1,25,9,3,1388,24,9,3,0.376307419414031
20,1,25,9,3,610,24,9,3,0.376307419414031
21,1,25,9,3,512,24,9,3,0.376307419414031
22,1,25,9,3,924,24,9,3,0.376307419414031
23,1,25,9,3,1453,24,9,3,0.376307419414031
24,1,25,9,3,5513,24,9,3,0.376307419414031
25,1,25,9,3,15041,24,9,3,0.376307419414031
26,1,25,9,3,1074,24,9,3,0.376307419414031
27,1,25,9,3,388,24,9,3,0.376307419414031
28,1,25,9,3,569,24,9,3,0.376307419414031
29,1,25,9,3,417,24,9,3,0.376307419414031
30,1,25,9,3,420,24,9,3,0.376307419414031
31,1,25,9,3,198,24,9,3,0.376307419414031
32,1,25,9,3,596,24,9,3,0.376307419414031
33,1,25,9,3,654,24,9,3,0.376307419414031
34,1,25,9,3,260,24,9,3,0.376307419414031
35,1,25,9,3,3101,24,9,3,0.376307419414031
36,1,25,9,3,301,24,9,3,0.376307419414031
37,1,25,9,3,288,24,9,3,0.376307419414031
38,1,25,9,3,201,24,9,3,0.376307419414031
39,1,25,9,3,4198,24,9,3,0.376307419414031
40,1,25,9,3,279,24,9,3,0.376307419414031
41,1,25,9,3,524,24,9,3,0.376307419414031
42,1,25,9,3,561,24,9,3,0.376307419414031
43,1,25,9,3,4766,24,9,3,0.376307419414031
44,1,25,9,3,388,24,9,3,0.376307419414031
45,1,25,9,3,572,24,9,3,0.376307419414031
46,1,25,9,3,474,24,9,3,0.376307419414031
47,1,25,9,3,478,24,9,3,0.376307419414031
48,1,25,9,3,603,24,9,3,0.376307419414031
49,1,25,9,3,52,24,9,3,0.376307419414031
50,1,25,9,3,130,24,9,3,0.376307419414031
51,1,25,9,3,243,24,9,3,0.376307419414031
52,1,25,9,3,417,24,9,3,0.376307419414031
53,1,25,9,3,356,24,9,3,0.376307419414031
54,1,25,9,3,341,24,9,3,0.376307419414031
55,1,25,9,3,628,24,9,3,0.376307419414031
56,1,25,9,3,305,24,9,3,0.376307419414031
57,1,25,9,3,362,24,9,3,0.376307419414031
58,1,25,9,3,338,24,9,3,0.376307419414031
59,1,25,9,3,259,24,9,3,0.376307419414031
60,1,25,9,3,294,24,9,3,0.376307419414031
61,1,25,9,3,510,24,9,3,0.376307419414031
62,1,25,9,3,234,24,9,3,0.376307419414031
63,1,25,9,3,780,24,9,3,0.376307419414031
64,1,25,9,3,291,24,9,3,0.376307419414031
65,1,25,9,3,348,24,9,3,0.376307419414031
66,1,25,8,3,333,24,8,3,0.376307419414031
67,1,25,8,3,371,24,8,3,0.376307419414031
68,1,25,8,3,384,24,8,3,0.376307419414031
69,1,25,8,3,866,24,8,3,0.376307419414031
70,1,25,9,3,294,24,9,3,0.376307419414031
71,1,25,9,3,169,24,9,3,0.376307419414031
72,1,25,9,3,332,24,9,3,0.376307419414031
73,1,25,9,3,235,24,9,3,0.376307419414031
74,1,25,9,3,303,24,9,3,0.376307419414031
75,1,25,9,3,375,24,9,3,0.376307419414031
76,1,25,9,3,203,24,9,3,0.376307419414031
77,1,25,9,3,303,24,9,3,0.376307419414031
78,1,25,9,3,292,24,9,3,0.376307419414031
79,1,25,9,3,408,24,9,3,0.376307419414031
80,1,25,9,3,3018,24,9,3,0.376307419414031
81,1,25,9,3,5201,24,9,3,0.376307419414031
82,1,25,9,3,1226,24,9,3,0.376307419414031
83,1,25,9,3,5086,21,9,6,0.212660697788868
84,1,25,9,3,15419,21,9,6,0.212660697788868
85,1,25,9,3,460,24,9,3,0.376307419414031
86,1,25,9,3,4332,24,9,3,0.376307419414031
87,1,25,9,3,5788,24,9,3,0.376307419414031
88,1,25,9,3,2452,24,9,3,0.376307419414031
89,1,25,9,3,644,24,9,3,0.376307419414031
90,1,25,9,3,675,24,9,3,0.376307419414031
91,1,25,9,3,726,24,9,3,0.376307419414031
92,1,25,9,3,472,24,9,3,0.376307419414031
93,1,25,9,3,500,24,9,3,0.376307419414031
94,1,25,8,3,222,24,8,3,0.376307419414031
95,1,25,8,3,783,24,8,3,0.376307419414031
96,1,25,8,3,1279,24,8,3,0.376307419414031
97,1,25,8,3,1702,21,8,6,0.212660697788868
98,1,25,8,3,780,24,8,3,0.376307419414031
99,1,25,8,3,783,24,8,3,0.376307419414031
100,1,25,8,3,618,24,8,3,0.376307419414031
101,1,25,8,3,1832,21,8,6,0.212660697788868
102,1,25,8,3,1511,21,8,6,0.212660697788868
103,1,25,8,3,4979,21,8,6,0.212660697788868
104,1,25,8,3,191,21,8,6,0.212660697788868
105,1,25,8,3,254,21,8,6,0.212660697788868
106,1,25,8,3,410,21,8,6,0.212660697788868
107,1,25,8,3,338,21,8,6,0.212660697788868
108,1,25,8,3,406,21,8,6,0.212660697788868
109,1,25,8,3,237,21,8,6,0.212660697788868
110,1,25,8,3,708,21,8,6,0.212660697788868
111,1,25,3,4,1123,19,3,4,0.402935226076802
112,1,25,3,4,1071,19,3,4,0.402935226076802
113,1,25,3,4,322,19,3,4,0.402935226076802
114,1,25,3,4,2558,19,3,4,0.402935226076802
115,1,25,3,4,1051,19,3,4,0.402935226076802
116,1,25,3,4,1486,19,3,4,0.402935226076802
