"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,31,1,8,1645,8,1,14,0.355217758217342
2,1,31,1,8,276,8,1,14,0.355217758217342
3,1,31,1,8,271,8,1,14,0.355217758217342
4,1,31,1,8,1346,8,1,14,0.355217758217342
5,1,31,1,8,2323,8,1,14,0.355217758217342
6,1,31,1,8,494,8,1,14,0.355217758217342
7,2,31,2,14,2691,8,2,14,0.355217758217342
8,2,31,2,14,2597,8,2,14,0.355217758217342
9,2,31,2,14,3782,8,2,14,0.355217758217342
10,2,31,2,14,2902,8,2,14,0.355217758217342
11,2,31,2,14,935,8,2,14,0.355217758217342
12,2,31,2,14,1660,8,2,14,0.355217758217342
13,2,31,2,14,769,8,2,14,0.355217758217342
14,3,31,3,12,1925,7,3,12,0.437052512458924
15,3,31,3,12,2101,7,3,12,0.437052512458924
16,3,31,3,12,2083,7,3,12,0.437052512458924
17,3,31,3,12,2594,7,3,12,0.437052512458924
18,3,31,3,12,1644,7,3,12,0.437052512458924
20,4,31,4,9,1807,3,4,9,0.894024899225912
21,4,31,4,9,1258,3,4,9,0.894024899225912
22,4,31,4,9,921,3,4,9,0.894024899225912
23,4,31,4,9,813,3,4,9,0.894024899225912
24,4,31,4,9,882,3,4,9,0.894024899225912
25,5,31,5,9,999,6,5,15,0.248971300342506
26,5,31,5,9,1054,6,5,15,0.248971300342506
27,6,31,5,10,2149,6,5,15,0.248971300342506
28,6,31,5,10,2399,6,5,15,0.248971300342506
29,6,31,5,10,1746,6,5,15,0.248971300342506
30,6,31,5,10,1256,6,5,15,0.248971300342506
31,6,31,5,10,468,6,5,15,0.248971300342506
32,6,31,5,10,621,6,5,15,0.248971300342506
33,7,31,5,9,1214,6,5,15,0.248971300342506
34,7,31,5,9,1984,6,5,15,0.248971300342506
35,7,31,5,9,1640,6,5,15,0.248971300342506
36,7,31,5,9,1965,6,5,15,0.248971300342506
37,8,31,6,11,1489,4,6,10,0.531111453566941
38,8,31,6,11,1325,4,6,10,0.531111453566941
39,8,31,6,11,471,4,6,10,0.531111453566941
40,8,31,6,11,948,4,6,10,0.531111453566941
41,9,31,5,10,1058,6,5,15,0.248971300342506
42,9,31,5,10,976,6,5,15,0.248971300342506
43,9,31,5,10,1070,6,5,15,0.248971300342506
44,9,31,5,10,1191,6,5,15,0.248971300342506
45,9,31,5,10,213,6,5,15,0.248971300342506
46,9,31,5,10,189,6,5,15,0.248971300342506
47,10,31,7,15,1711,9,7,15,0.305032448142692
48,10,31,7,15,428,9,7,15,0.305032448142692
49,10,31,7,15,268,9,7,15,0.305032448142692
50,11,31,1,8,1253,5,1,13,0.364476752160197
51,11,31,1,8,3135,5,1,13,0.364476752160197
52,11,31,1,8,900,5,1,13,0.364476752160197
53,11,31,1,8,1543,5,1,13,0.364476752160197
54,12,31,5,15,538,6,5,15,0.248971300342506
55,12,31,5,15,1028,6,5,15,0.248971300342506
56,12,31,5,15,972,6,5,15,0.248971300342506
57,12,31,5,15,759,6,5,15,0.248971300342506
58,12,31,5,15,401,6,5,15,0.248971300342506
59,13,31,4,9,2209,3,4,9,0.894024899225912
60,13,31,4,9,1568,3,4,9,0.894024899225912
61,13,31,4,9,2319,3,4,9,0.894024899225912
62,13,31,4,9,1319,3,4,9,0.894024899225912
63,13,31,4,9,139,3,4,9,0.894024899225912
64,13,31,4,9,1591,3,4,9,0.894024899225912
65,14,31,8,15,1314,9,8,15,0.305032448142692
66,14,31,8,15,198,9,8,15,0.305032448142692
67,15,31,7,14,1480,8,7,14,0.355217758217342
68,15,31,7,14,2602,8,7,14,0.355217758217342
69,15,31,7,14,886,8,7,14,0.355217758217342
70,16,31,3,12,2821,9,3,15,0.305032448142692
71,17,31,7,15,1703,9,7,15,0.305032448142692
72,17,31,7,15,1124,9,7,15,0.305032448142692
73,17,31,7,15,867,9,7,15,0.305032448142692
74,17,31,7,15,789,9,7,15,0.305032448142692
75,18,31,9,12,652,8,9,14,0.355217758217342
76,18,31,9,13,1498,8,9,14,0.355217758217342
77,18,31,9,13,885,8,9,14,0.355217758217342
78,19,31,8,11,4761,1,8,11,0.819343117294424
79,19,31,8,11,2999,1,8,11,0.819343117294424
80,19,31,8,11,2562,1,8,11,0.819343117294424
81,19,31,8,11,4229,1,8,11,0.819343117294424
82,19,31,8,11,2096,1,8,11,0.819343117294424
83,19,31,8,11,2984,1,8,11,0.819343117294424
84,19,31,8,11,2262,1,8,11,0.819343117294424
85,19,31,8,11,1202,1,8,11,0.819343117294424
86,19,31,8,11,3574,1,8,11,0.819343117294424
87,19,31,8,11,919,1,8,11,0.819343117294424
88,19,31,8,11,2614,1,8,11,0.819343117294424
89,19,31,8,11,2675,1,8,11,0.819343117294424
90,19,31,8,11,1244,1,8,11,0.819343117294424
91,20,31,4,9,2469,3,4,9,0.894024899225912
92,20,31,4,9,1639,3,4,9,0.894024899225912
93,21,31,8,11,1884,1,8,11,0.819343117294424
94,21,31,8,11,1894,1,8,11,0.819343117294424
95,21,31,8,11,1772,1,8,11,0.819343117294424
96,21,31,8,11,969,1,8,11,0.819343117294424
97,21,31,8,11,605,1,8,11,0.819343117294424
98,21,31,8,11,818,1,8,11,0.819343117294424
99,22,31,8,15,2699,9,8,15,0.305032448142692
101,22,31,8,15,596,9,8,15,0.305032448142692
102,22,31,8,15,942,9,8,15,0.305032448142692
103,23,31,1,8,1415,5,1,13,0.364476752160197
104,23,31,1,8,1373,5,1,13,0.364476752160197
105,23,31,1,8,1742,5,1,13,0.364476752160197
106,24,31,9,14,1443,8,9,14,0.355217758217342
107,24,31,9,14,1705,8,9,14,0.355217758217342
108,25,31,9,13,2462,7,9,12,0.437052512458924
109,25,31,9,13,2491,7,9,12,0.437052512458924
110,26,31,4,9,1071,3,4,9,0.894024899225912
111,26,31,4,9,1055,3,4,9,0.894024899225912
112,26,31,4,9,1282,3,4,9,0.894024899225912
113,26,31,4,9,69,3,4,9,0.894024899225912
114,27,31,5,10,1361,6,5,15,0.248971300342506
115,27,31,5,10,1936,6,5,15,0.248971300342506
116,27,31,5,10,1407,6,5,15,0.248971300342506
117,27,31,5,10,2185,6,5,15,0.248971300342506
118,27,31,5,10,1245,6,5,15,0.248971300342506
120,28,31,5,10,1102,6,5,15,0.248971300342506
121,28,31,5,10,1357,6,5,15,0.248971300342506
122,29,31,5,10,1196,6,5,15,0.248971300342506
123,29,31,5,10,1408,6,5,15,0.248971300342506
124,29,31,5,10,1119,6,5,15,0.248971300342506
125,29,31,5,10,1260,6,5,15,0.248971300342506
126,29,31,5,10,917,6,5,15,0.248971300342506
