"seccion","munn","edon","disloc2016","disloc2013","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,2,15,14,7,7,1952,14,0.201449541749591
2,1,2,15,14,7,7,2013,14,0.201449541749591
3,1,2,15,14,7,7,1875,14,0.201449541749591
4,1,2,15,14,7,7,2273,14,0.201449541749591
5,1,2,15,14,7,7,496,14,0.201449541749591
6,1,2,15,14,7,7,1723,14,0.201449541749591
7,1,2,15,14,7,7,594,14,0.201449541749591
8,1,2,15,14,7,7,1679,14,0.201449541749591
9,1,2,15,14,7,7,1296,14,0.201449541749591
10,1,2,15,14,7,7,1289,14,0.201449541749591
11,1,2,16,14,6,6,2910,14,0.560195271524248
12,1,2,16,14,6,6,5599,14,0.560195271524248
13,1,2,16,14,6,6,21096,14,0.560195271524248
14,1,2,16,14,6,6,17781,14,0.560195271524248
15,1,2,16,14,6,6,1936,14,0.560195271524248
16,1,2,16,14,6,6,1784,14,0.560195271524248
17,1,2,16,14,6,6,3285,14,0.560195271524248
18,1,2,16,14,6,6,2121,14,0.560195271524248
19,1,2,16,14,6,6,1371,14,0.560195271524248
20,1,2,15,14,7,7,1829,14,0.201449541749591
21,1,2,15,14,7,7,842,14,0.201449541749591
22,1,2,15,14,7,7,906,14,0.201449541749591
23,1,2,15,14,7,7,1117,14,0.201449541749591
24,1,2,15,14,7,7,1358,14,0.201449541749591
25,1,2,15,14,7,7,1038,14,0.201449541749591
26,1,2,15,14,7,7,960,14,0.201449541749591
27,1,2,15,14,7,7,1473,14,0.201449541749591
28,1,2,16,14,6,6,376,14,0.560195271524248
29,1,2,16,14,6,6,1082,14,0.560195271524248
30,1,2,16,14,6,6,1610,14,0.560195271524248
31,1,2,16,14,6,6,702,14,0.560195271524248
32,1,2,16,14,6,6,2033,14,0.560195271524248
33,1,2,16,14,6,6,2326,14,0.560195271524248
34,1,2,16,14,6,6,1794,14,0.560195271524248
35,1,2,16,14,6,6,3438,14,0.560195271524248
36,1,2,16,14,6,6,5283,14,0.560195271524248
37,1,2,16,14,6,6,3384,14,0.560195271524248
38,1,2,16,14,6,6,2353,14,0.560195271524248
39,1,2,16,14,6,6,1672,14,0.560195271524248
40,1,2,16,14,6,6,2041,14,0.560195271524248
41,1,2,16,14,6,6,1292,14,0.560195271524248
42,1,2,16,14,6,6,1124,14,0.560195271524248
43,1,2,15,14,7,7,726,14,0.201449541749591
44,1,2,15,14,7,7,800,14,0.201449541749591
45,1,2,15,14,7,7,866,14,0.201449541749591
46,1,2,15,14,7,7,836,14,0.201449541749591
47,1,2,15,14,7,7,807,14,0.201449541749591
48,1,2,15,14,7,7,2192,14,0.201449541749591
49,1,2,15,14,7,7,132,14,0.201449541749591
50,1,2,15,14,7,7,379,14,0.201449541749591
51,1,2,15,14,7,7,516,14,0.201449541749591
52,1,2,15,14,7,7,866,14,0.201449541749591
53,1,2,15,14,7,7,576,14,0.201449541749591
54,1,2,15,14,7,7,680,14,0.201449541749591
55,1,2,16,14,6,6,691,14,0.560195271524248
56,1,2,16,14,6,6,1315,14,0.560195271524248
57,1,2,16,14,6,6,1169,14,0.560195271524248
58,1,2,16,14,6,6,1422,14,0.560195271524248
59,1,2,16,14,6,6,1595,14,0.560195271524248
60,1,2,16,14,6,6,2407,14,0.560195271524248
61,1,2,16,14,6,6,2002,14,0.560195271524248
62,1,2,16,14,6,6,2430,14,0.560195271524248
63,1,2,16,14,6,6,748,14,0.560195271524248
64,1,2,16,14,6,6,898,14,0.560195271524248
65,1,2,16,14,6,6,1396,14,0.560195271524248
66,1,2,16,14,6,6,812,14,0.560195271524248
67,1,2,15,14,7,7,797,14,0.201449541749591
68,1,2,16,15,6,6,755,14,0.560195271524248
69,1,2,16,14,6,6,745,14,0.560195271524248
70,1,2,16,14,6,6,606,14,0.560195271524248
71,1,2,16,14,6,6,791,14,0.560195271524248
72,1,2,16,14,6,6,1327,14,0.560195271524248
73,1,2,16,14,6,6,713,14,0.560195271524248
74,1,2,16,14,6,6,833,14,0.560195271524248
75,1,2,16,14,6,6,1080,14,0.560195271524248
76,1,2,16,15,6,6,1187,14,0.560195271524248
77,1,2,16,15,6,6,1116,14,0.560195271524248
78,1,2,16,15,6,6,830,14,0.560195271524248
79,1,2,16,15,6,6,1138,14,0.560195271524248
80,1,2,16,15,6,6,1121,14,0.560195271524248
81,1,2,16,14,6,6,939,14,0.560195271524248
82,1,2,16,14,6,6,515,14,0.560195271524248
83,1,2,16,15,6,6,1267,14,0.560195271524248
84,1,2,16,15,6,6,1139,14,0.560195271524248
85,1,2,16,15,6,6,883,14,0.560195271524248
86,1,2,16,15,6,6,1641,14,0.560195271524248
87,1,2,15,15,7,7,1383,14,0.201449541749591
88,1,2,16,15,6,6,2240,14,0.560195271524248
89,1,2,16,15,6,6,1234,14,0.560195271524248
90,1,2,16,15,6,6,1122,14,0.560195271524248
91,1,2,16,15,6,6,788,14,0.560195271524248
92,1,2,16,15,6,6,1077,14,0.560195271524248
93,1,2,16,15,6,6,1258,14,0.560195271524248
94,1,2,16,15,6,6,1768,14,0.560195271524248
95,1,2,16,14,6,6,2103,14,0.560195271524248
96,1,2,16,14,6,6,1753,14,0.560195271524248
97,1,2,16,14,6,6,1595,14,0.560195271524248
98,1,2,16,14,6,6,2322,14,0.560195271524248
99,1,2,16,15,6,6,1276,14,0.560195271524248
100,1,2,16,15,6,6,1536,14,0.560195271524248
101,1,2,16,15,6,6,1211,14,0.560195271524248
102,1,2,16,15,6,6,1281,14,0.560195271524248
103,1,2,16,15,6,6,1441,14,0.560195271524248
104,1,2,16,15,6,6,1725,14,0.560195271524248
105,1,2,16,15,6,6,1865,14,0.560195271524248
106,1,2,16,15,6,6,1907,14,0.560195271524248
107,1,2,16,15,6,6,1811,14,0.560195271524248
108,1,2,16,14,6,6,3977,14,0.560195271524248
109,1,2,16,14,6,6,3358,14,0.560195271524248
110,1,2,16,15,6,6,1329,14,0.560195271524248
111,1,2,15,15,7,7,900,14,0.201449541749591
112,1,2,15,15,7,7,1246,14,0.201449541749591
113,1,2,15,15,7,7,1030,14,0.201449541749591
114,1,2,16,15,6,6,1802,14,0.560195271524248
115,1,2,16,15,6,6,2277,14,0.560195271524248
116,1,2,15,15,7,7,3320,14,0.201449541749591
117,1,2,15,15,7,7,2185,14,0.201449541749591
118,1,2,16,15,6,6,1558,14,0.560195271524248
119,1,2,16,15,6,6,1200,14,0.560195271524248
120,1,2,16,15,6,6,1420,14,0.560195271524248
121,1,2,16,15,6,6,1240,14,0.560195271524248
122,1,2,15,15,7,7,1131,14,0.201449541749591
124,1,2,15,15,7,7,1831,14,0.201449541749591
125,1,2,15,15,7,7,1147,14,0.201449541749591
126,1,2,17,15,8,8,19001,15,0.714309213908252
127,1,2,15,15,7,7,1265,14,0.201449541749591
128,1,2,15,14,7,7,1290,14,0.201449541749591
129,1,2,15,14,7,7,1096,14,0.201449541749591
130,1,2,15,14,7,7,1828,14,0.201449541749591
131,1,2,15,14,7,7,2635,14,0.201449541749591
132,1,2,15,14,7,7,1581,14,0.201449541749591
133,1,2,15,14,7,7,2283,14,0.201449541749591
134,1,2,17,15,8,8,4115,15,0.714309213908252
135,1,2,17,15,8,8,1134,15,0.714309213908252
136,1,2,17,15,8,8,1704,15,0.714309213908252
137,1,2,17,15,8,8,1032,15,0.714309213908252
138,1,2,17,15,8,8,1374,15,0.714309213908252
139,1,2,17,15,8,8,2058,15,0.714309213908252
140,1,2,17,15,8,8,2157,15,0.714309213908252
141,1,2,17,15,8,8,1848,15,0.714309213908252
142,1,2,17,15,8,8,5567,15,0.714309213908252
143,1,2,17,15,8,8,962,15,0.714309213908252
144,1,2,17,15,8,8,892,15,0.714309213908252
145,1,2,17,15,8,8,1540,15,0.714309213908252
146,1,2,17,15,8,8,1425,15,0.714309213908252
147,1,2,17,15,8,8,1384,15,0.714309213908252
148,1,2,17,15,8,8,2727,15,0.714309213908252
149,1,2,17,15,8,8,2266,15,0.714309213908252
150,1,2,17,15,8,8,862,15,0.714309213908252
151,1,2,17,15,8,8,2814,15,0.714309213908252
152,1,2,17,15,8,8,2324,15,0.714309213908252
153,1,2,17,15,8,8,3999,15,0.714309213908252
154,1,2,17,15,8,8,1720,15,0.714309213908252
155,1,2,17,15,8,8,758,15,0.714309213908252
156,1,2,17,15,8,8,1415,15,0.714309213908252
157,1,2,17,15,8,8,1229,15,0.714309213908252
158,1,2,17,15,8,8,3687,15,0.714309213908252
159,1,2,17,15,8,8,1194,15,0.714309213908252
160,1,2,17,15,8,8,1367,15,0.714309213908252
161,1,2,17,15,8,8,1679,15,0.714309213908252
162,1,2,17,15,8,8,1948,15,0.714309213908252
163,1,2,17,15,8,8,709,15,0.714309213908252
164,1,2,17,15,8,8,654,15,0.714309213908252
165,1,2,17,15,8,8,681,15,0.714309213908252
166,1,2,15,14,7,7,2740,14,0.201449541749591
167,1,2,15,14,7,7,322,14,0.201449541749591
168,1,2,15,14,7,7,2114,14,0.201449541749591
169,1,2,15,14,7,7,1630,14,0.201449541749591
170,1,2,15,14,7,7,678,14,0.201449541749591
171,1,2,15,14,7,7,5320,14,0.201449541749591
172,1,2,16,14,6,6,9173,14,0.560195271524248
173,1,2,15,14,7,7,1871,14,0.201449541749591
174,1,2,15,14,7,7,127,14,0.201449541749591
175,1,2,15,14,7,7,1685,14,0.201449541749591
176,1,2,17,15,8,8,10966,15,0.714309213908252
177,1,2,17,15,8,8,1410,15,0.714309213908252
178,1,2,17,15,8,8,6936,15,0.714309213908252
179,1,2,17,15,8,8,814,15,0.714309213908252
180,1,2,17,15,8,8,1143,15,0.714309213908252
181,1,2,17,15,8,8,1592,15,0.714309213908252
182,1,2,17,15,8,8,1171,15,0.714309213908252
183,1,2,17,15,8,8,1877,15,0.714309213908252
184,1,2,17,15,8,8,397,15,0.714309213908252
185,1,2,17,15,8,8,7380,15,0.714309213908252
186,1,2,17,15,8,8,6562,15,0.714309213908252
187,1,2,17,15,8,8,5852,15,0.714309213908252
188,1,2,17,15,8,8,3125,15,0.714309213908252
189,1,2,17,15,8,8,10196,15,0.714309213908252
190,1,2,17,15,8,8,3179,15,0.714309213908252
191,1,2,17,15,8,8,949,15,0.714309213908252
192,1,2,17,15,8,8,7632,15,0.714309213908252
193,1,2,17,15,8,8,321,15,0.714309213908252
194,1,2,17,15,8,8,5492,15,0.714309213908252
195,1,2,17,15,8,8,5797,15,0.714309213908252
196,1,2,17,15,8,8,1159,15,0.714309213908252
197,1,2,17,15,8,8,4885,15,0.714309213908252
198,1,2,17,15,8,8,519,15,0.714309213908252
199,1,2,17,15,8,8,2671,15,0.714309213908252
200,1,2,17,15,8,8,305,15,0.714309213908252
201,1,2,17,15,8,8,430,15,0.714309213908252
202,1,2,17,15,8,8,612,15,0.714309213908252
203,1,2,17,15,8,8,492,15,0.714309213908252
204,1,2,17,15,8,8,194,15,0.714309213908252
206,1,2,15,14,7,7,767,14,0.201449541749591
