"seccion","munn","edon","disloc2018","disloc2012","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,7,18,16,5,24,5562,16,0.304579434802276
2,1,7,18,16,5,24,2709,16,0.304579434802276
3,1,7,18,16,5,24,3514,16,0.304579434802276
4,1,7,18,16,5,24,764,16,0.304579434802276
5,1,7,18,16,5,24,1906,16,0.304579434802276
6,1,7,18,16,5,24,2767,16,0.304579434802276
7,2,7,3,3,1,16,3339,3,0.456242725409435
8,2,7,3,3,1,16,1660,3,0.456242725409435
9,2,7,3,3,1,16,3622,3,0.456242725409435
10,2,7,3,3,1,16,1641,3,0.456242725409435
11,2,7,3,3,1,16,1863,3,0.456242725409435
12,2,7,3,3,1,16,1307,3,0.456242725409435
13,2,7,3,3,1,16,1129,3,0.456242725409435
14,2,7,3,3,1,16,1680,3,0.456242725409435
15,2,7,3,3,1,16,1763,3,0.456242725409435
16,2,7,3,3,1,16,2184,3,0.456242725409435
17,2,7,3,3,1,16,2647,3,0.456242725409435
18,2,7,3,3,1,16,1142,3,0.456242725409435
19,2,7,3,3,1,16,2931,3,0.456242725409435
20,2,7,3,3,1,16,1998,3,0.456242725409435
21,3,7,18,16,5,24,1799,16,0.304579434802276
22,3,7,18,16,5,24,2043,16,0.304579434802276
23,3,7,18,16,5,24,1491,16,0.304579434802276
24,3,7,18,16,5,24,2135,16,0.304579434802276
25,3,7,18,16,5,24,2934,16,0.304579434802276
26,3,7,18,16,5,24,2645,16,0.304579434802276
27,3,7,18,16,5,24,2486,16,0.304579434802276
28,3,7,18,16,5,24,3244,16,0.304579434802276
29,3,7,18,16,5,24,1510,16,0.304579434802276
30,3,7,18,16,5,24,1313,16,0.304579434802276
31,3,7,18,16,5,24,1545,16,0.304579434802276
32,3,7,18,16,5,24,1339,16,0.304579434802276
33,3,7,18,16,5,24,767,16,0.304579434802276
34,3,7,18,16,5,24,2807,16,0.304579434802276
35,4,7,20,7,19,23,4060,20,0.489501221073645
36,4,7,20,7,19,23,3069,20,0.489501221073645
37,4,7,20,7,19,23,4617,20,0.489501221073645
38,4,7,20,7,19,23,1972,20,0.489501221073645
39,4,7,20,7,19,23,2675,20,0.489501221073645
40,4,7,20,7,19,23,3912,20,0.489501221073645
41,4,7,20,7,19,23,3278,20,0.489501221073645
42,4,7,20,7,19,23,4149,20,0.489501221073645
43,4,7,20,7,19,23,2855,20,0.489501221073645
