"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
1,1,8,"cua",9,1,1,2,11,"meoqui",1,1,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
2,1,8,"cua",9,1,1,2,11,"meoqui",1,2,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
3,1,8,"cua",9,1,1,2,11,"meoqui",1,3,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
4,1,8,"cua",9,1,1,2,11,"meoqui",1,4,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
5,1,8,"cua",9,1,1,2,11,"meoqui",1,5,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
6,1,8,"cua",9,1,1,2,11,"meoqui",1,6,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
7,1,8,"cua",9,1,1,2,11,"meoqui",1,7,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
8,1,8,"cua",9,1,1,2,11,"meoqui",1,8,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
10,1,8,"cua",9,1,1,2,11,"meoqui",1,9,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
11,1,8,"cua",9,1,1,2,11,"meoqui",1,10,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
12,1,8,"cua",9,1,1,2,11,"meoqui",1,11,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
13,1,8,"cua",9,1,1,2,11,"meoqui",1,12,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
14,1,8,"cua",9,1,1,2,11,"meoqui",1,13,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
15,1,8,"cua",9,1,1,2,11,"meoqui",1,14,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
16,1,8,"cua",9,1,1,2,11,"meoqui",1,15,8,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
17,2,8,"cua",7,5,5,5,11,"meoqui",10,16,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
18,2,8,"cua",7,5,5,5,11,"meoqui",10,17,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
19,2,8,"cua",7,5,5,5,11,"meoqui",10,18,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
20,2,8,"cua",7,5,5,5,11,"meoqui",10,19,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
21,2,8,"cua",7,5,5,5,11,"meoqui",10,20,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
22,2,8,"cua",7,5,5,5,11,"meoqui",10,21,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
23,2,8,"cua",7,5,5,5,11,"meoqui",10,22,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
24,2,8,"cua",7,5,5,5,11,"meoqui",10,23,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
25,2,8,"cua",7,5,5,5,11,"meoqui",10,24,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
