"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","SQ","dsi_pob"
1,2,"df",9,5,5,905,15,15,5,0.38667654803957
2,2,"df",9,5,5,1109,15,15,5,0.38667654803957
3,2,"df",9,5,5,1149,15,15,5,0.38667654803957
4,2,"df",9,5,5,1077,15,15,5,0.38667654803957
5,2,"df",9,5,5,1102,15,15,5,0.38667654803957
6,2,"df",9,5,5,1010,15,15,5,0.38667654803957
7,2,"df",9,5,5,850,15,15,5,0.38667654803957
8,2,"df",9,5,5,1427,15,15,5,0.38667654803957
9,2,"df",9,5,5,1006,15,15,5,0.38667654803957
10,2,"df",9,5,5,1335,15,15,5,0.38667654803957
11,2,"df",9,5,5,818,15,15,5,0.38667654803957
12,2,"df",9,5,5,821,15,15,5,0.38667654803957
13,2,"df",9,5,5,1225,15,15,5,0.38667654803957
14,2,"df",9,5,5,868,15,15,5,0.38667654803957
15,2,"df",9,5,5,882,15,15,5,0.38667654803957
16,2,"df",9,5,5,1220,15,15,5,0.38667654803957
17,2,"df",9,5,5,913,15,15,5,0.38667654803957
18,2,"df",9,5,5,1010,15,15,5,0.38667654803957
19,2,"df",9,5,5,899,15,15,5,0.38667654803957
20,2,"df",9,5,5,812,15,15,5,0.38667654803957
21,2,"df",9,5,5,1085,15,15,5,0.38667654803957
22,2,"df",9,5,5,1163,15,15,5,0.38667654803957
23,2,"df",9,5,5,912,15,15,5,0.38667654803957
24,2,"df",9,5,5,937,15,15,5,0.38667654803957
25,2,"df",9,5,5,846,15,15,5,0.38667654803957
26,2,"df",9,5,5,861,15,15,5,0.38667654803957
27,2,"df",9,5,5,1070,15,15,5,0.38667654803957
28,2,"df",9,5,5,1606,15,15,5,0.38667654803957
29,2,"df",9,5,5,1023,15,15,5,0.38667654803957
30,2,"df",9,5,5,1324,15,15,5,0.38667654803957
31,2,"df",9,5,5,1073,15,15,5,0.38667654803957
32,2,"df",9,5,5,943,15,15,5,0.38667654803957
33,2,"df",9,5,5,792,15,15,5,0.38667654803957
34,2,"df",9,5,5,799,15,15,5,0.38667654803957
35,2,"df",9,5,5,883,15,15,5,0.38667654803957
36,2,"df",9,5,5,958,15,15,5,0.38667654803957
37,2,"df",9,5,5,996,15,15,5,0.38667654803957
38,2,"df",9,5,5,970,15,15,5,0.38667654803957
39,2,"df",9,5,5,1106,15,15,5,0.38667654803957
40,2,"df",9,5,5,844,15,15,5,0.38667654803957
41,2,"df",9,5,5,1008,15,15,5,0.38667654803957
42,2,"df",9,5,5,862,15,15,5,0.38667654803957
43,2,"df",9,5,5,750,15,15,5,0.38667654803957
44,2,"df",9,5,5,828,15,15,5,0.38667654803957
45,2,"df",9,5,5,989,15,15,5,0.38667654803957
46,2,"df",9,5,5,793,15,15,5,0.38667654803957
47,2,"df",9,5,5,1022,15,15,5,0.38667654803957
48,2,"df",9,5,5,1316,15,15,5,0.38667654803957
49,2,"df",9,5,5,865,15,15,5,0.38667654803957
50,2,"df",9,5,5,1200,15,15,5,0.38667654803957
51,2,"df",9,5,5,1314,15,15,5,0.38667654803957
52,2,"df",9,5,5,941,15,15,5,0.38667654803957
53,2,"df",9,5,5,880,15,15,5,0.38667654803957
54,2,"df",9,5,5,1315,15,15,5,0.38667654803957
55,2,"df",9,5,5,1029,15,15,5,0.38667654803957
56,2,"df",9,3,5,4431,16,16,3,0.677524860648151
57,2,"df",9,3,5,1589,16,16,3,0.677524860648151
58,2,"df",9,3,5,1500,16,16,3,0.677524860648151
59,2,"df",9,3,5,1398,16,16,3,0.677524860648151
60,2,"df",9,3,5,1489,16,16,3,0.677524860648151
61,2,"df",9,3,5,1582,16,16,3,0.677524860648151
62,2,"df",9,3,5,1358,16,16,3,0.677524860648151
63,2,"df",9,3,5,1044,16,16,3,0.677524860648151
64,2,"df",9,3,5,1594,16,16,3,0.677524860648151
65,2,"df",9,3,5,1670,16,16,3,0.677524860648151
66,2,"df",9,3,5,1274,16,16,3,0.677524860648151
67,2,"df",9,3,5,1841,16,16,3,0.677524860648151
68,2,"df",9,3,5,1326,16,16,3,0.677524860648151
69,2,"df",9,3,5,1458,16,16,3,0.677524860648151
70,2,"df",9,3,5,2447,16,16,3,0.677524860648151
71,2,"df",9,3,5,1757,16,16,3,0.677524860648151
72,2,"df",9,3,5,1601,16,16,3,0.677524860648151
73,2,"df",9,3,5,1330,16,16,3,0.677524860648151
74,2,"df",9,3,5,1012,16,16,3,0.677524860648151
75,2,"df",9,3,5,1056,16,16,3,0.677524860648151
76,2,"df",9,3,5,1591,16,16,3,0.677524860648151
77,2,"df",9,3,5,1278,16,16,3,0.677524860648151
78,2,"df",9,3,5,913,16,16,3,0.677524860648151
79,2,"df",9,3,5,4576,16,16,3,0.677524860648151
80,2,"df",9,3,5,1494,16,16,3,0.677524860648151
81,2,"df",9,3,5,737,16,16,3,0.677524860648151
82,2,"df",9,5,5,1856,15,15,5,0.38667654803957
83,2,"df",9,3,5,1137,16,16,3,0.677524860648151
84,2,"df",9,3,5,1913,16,16,3,0.677524860648151
85,2,"df",9,3,5,898,16,16,3,0.677524860648151
86,2,"df",9,3,5,1388,16,16,3,0.677524860648151
87,2,"df",9,3,5,1599,16,16,3,0.677524860648151
88,2,"df",9,3,5,1275,16,16,3,0.677524860648151
89,2,"df",9,3,3,701,16,16,3,0.677524860648151
90,2,"df",9,3,5,1338,16,16,3,0.677524860648151
91,2,"df",9,3,5,1043,16,16,3,0.677524860648151
92,2,"df",9,5,5,1151,15,15,5,0.38667654803957
93,2,"df",9,5,5,841,15,15,5,0.38667654803957
94,2,"df",9,3,5,1088,15,15,5,0.38667654803957
95,2,"df",9,3,5,1351,15,15,5,0.38667654803957
96,2,"df",9,3,5,1382,15,15,5,0.38667654803957
97,2,"df",9,5,5,2009,15,15,5,0.38667654803957
98,2,"df",9,5,5,923,15,15,5,0.38667654803957
99,2,"df",9,5,5,937,15,15,5,0.38667654803957
100,2,"df",9,5,5,1182,15,15,5,0.38667654803957
101,2,"df",9,5,5,1302,15,15,5,0.38667654803957
102,2,"df",9,5,5,1134,15,15,5,0.38667654803957
103,2,"df",9,5,5,1612,15,15,5,0.38667654803957
104,2,"df",9,5,5,1045,15,15,5,0.38667654803957
105,2,"df",9,3,5,903,16,16,3,0.677524860648151
106,2,"df",9,5,3,2004,16,16,3,0.677524860648151
107,2,"df",9,5,3,1406,16,16,3,0.677524860648151
108,2,"df",9,5,3,1030,15,15,5,0.38667654803957
109,2,"df",9,5,5,1830,15,15,5,0.38667654803957
110,2,"df",9,5,5,903,15,15,5,0.38667654803957
111,2,"df",9,5,5,1516,15,15,5,0.38667654803957
112,2,"df",9,5,5,763,15,15,5,0.38667654803957
113,2,"df",9,5,5,751,15,15,5,0.38667654803957
114,2,"df",9,5,5,669,15,15,5,0.38667654803957
115,2,"df",9,5,5,711,15,15,5,0.38667654803957
116,2,"df",9,5,5,729,15,15,5,0.38667654803957
117,2,"df",9,5,5,753,15,15,5,0.38667654803957
118,2,"df",9,5,5,793,15,15,5,0.38667654803957
119,2,"df",9,5,5,1514,15,15,5,0.38667654803957
120,2,"df",9,5,5,903,15,15,5,0.38667654803957
121,2,"df",9,5,5,997,15,15,5,0.38667654803957
122,2,"df",9,5,5,960,15,15,5,0.38667654803957
123,2,"df",9,5,5,977,15,15,5,0.38667654803957
