"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3_jge","panal_cnv1","pri_clv1","panal_cnv2","prd_cnv2","esc1_panalCNV1","esc1_priCLV1","esc2_panalCNV2","esc2_prdCNV2","SQ","dsiSQ_E3"
1,1,13,"hgo",2,4,4,4,1,18,1,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
2,1,13,"hgo",2,4,4,4,1,18,2,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
3,1,13,"hgo",2,4,4,4,1,18,3,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
4,1,13,"hgo",2,4,4,4,1,18,4,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
5,1,13,"hgo",2,4,4,4,1,18,5,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
6,1,13,"hgo",2,4,4,4,1,18,6,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
7,1,13,"hgo",2,4,4,4,1,18,7,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
8,1,13,"hgo",2,4,4,4,1,18,8,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
9,1,13,"hgo",2,4,4,4,1,18,9,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
10,1,13,"hgo",2,4,4,4,1,18,10,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
11,1,13,"hgo",2,4,4,4,1,18,11,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
12,1,13,"hgo",2,4,4,4,1,18,12,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
13,2,13,"hgo",2,4,4,4,10,10,13,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
14,2,13,"hgo",2,4,4,4,10,10,14,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
15,2,13,"hgo",2,4,4,4,10,10,15,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
16,2,13,"hgo",2,4,4,4,10,10,16,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
17,2,13,"hgo",2,4,4,4,10,10,17,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
18,2,13,"hgo",2,4,4,4,10,10,18,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
19,2,13,"hgo",2,4,4,4,10,10,19,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
20,2,13,"hgo",2,4,4,4,10,10,20,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
21,2,13,"hgo",2,4,4,4,10,10,21,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
22,2,13,"hgo",2,4,4,4,10,10,22,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
23,2,13,"hgo",2,4,4,4,10,10,23,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
24,2,13,"hgo",2,4,4,4,10,10,24,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
25,2,13,"hgo",2,4,4,4,10,10,25,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
26,2,13,"hgo",2,4,4,4,10,10,26,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
27,2,13,"hgo",2,4,4,4,10,10,27,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
28,2,13,"hgo",2,4,4,4,10,10,28,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
29,2,13,"hgo",2,4,4,4,10,10,29,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
30,2,13,"hgo",2,4,4,4,10,10,30,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
31,2,13,"hgo",2,4,4,4,10,10,31,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
32,2,13,"hgo",2,4,4,4,10,10,32,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
33,2,13,"hgo",2,4,4,4,10,10,33,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.336
34,3,13,"hgo",6,3,3,3,2,14,34,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
35,3,13,"hgo",6,3,3,3,2,14,35,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
36,3,13,"hgo",6,3,3,3,2,14,36,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
37,3,13,"hgo",6,3,3,3,2,14,37,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
38,3,13,"hgo",6,3,3,3,2,14,38,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
39,3,13,"hgo",6,3,3,3,2,14,39,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
40,3,13,"hgo",6,3,3,3,2,14,40,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
41,3,13,"hgo",6,3,3,3,2,14,41,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
42,3,13,"hgo",6,3,3,3,2,14,42,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
43,3,13,"hgo",6,3,3,3,2,14,43,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
44,3,13,"hgo",6,3,3,3,2,14,44,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
45,3,13,"hgo",6,3,3,3,2,14,45,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
46,3,13,"hgo",6,3,3,3,2,14,46,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
47,3,13,"hgo",6,3,3,3,2,14,47,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
48,3,13,"hgo",6,3,3,3,2,14,48,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
49,3,13,"hgo",6,3,3,3,2,14,49,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
50,3,13,"hgo",6,3,3,3,2,14,50,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
51,3,13,"hgo",6,3,3,3,2,14,51,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
52,3,13,"hgo",6,3,3,3,2,14,52,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
53,3,13,"hgo",6,3,3,3,2,14,53,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
54,3,13,"hgo",6,3,3,3,2,14,54,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
55,3,13,"hgo",6,3,3,3,2,14,55,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
56,3,13,"hgo",6,3,3,3,2,14,56,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
57,3,13,"hgo",6,3,3,3,2,14,57,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
58,3,13,"hgo",6,3,3,3,2,14,58,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
59,3,13,"hgo",6,3,3,3,2,14,59,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
60,3,13,"hgo",6,3,3,3,2,14,60,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
61,3,13,"hgo",6,3,3,3,2,14,61,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
62,3,13,"hgo",6,3,3,3,2,14,62,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
63,3,13,"hgo",6,3,3,3,2,14,63,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
64,3,13,"hgo",6,3,3,3,2,14,64,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
65,3,13,"hgo",6,3,3,3,2,14,65,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
66,3,13,"hgo",6,3,3,3,2,14,66,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
67,3,13,"hgo",6,3,3,3,2,14,67,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
68,3,13,"hgo",6,3,3,3,2,14,68,13,3,2,1,1,2,2,1,1,2,1,0,1,0,14,0.569
69,4,13,"hgo",2,4,4,4,1,10,69,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
70,4,13,"hgo",2,4,4,4,1,10,70,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
71,4,13,"hgo",2,4,4,4,1,10,71,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
72,4,13,"hgo",2,4,4,4,1,10,72,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
73,4,13,"hgo",2,4,4,4,1,10,73,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
74,4,13,"hgo",2,4,4,4,1,10,74,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
75,4,13,"hgo",2,4,4,4,1,10,75,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
76,4,13,"hgo",2,4,4,4,1,10,76,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
77,4,13,"hgo",2,4,4,4,1,10,77,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
78,4,13,"hgo",2,4,4,4,1,10,78,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
79,4,13,"hgo",2,4,4,4,1,10,79,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
80,4,13,"hgo",2,4,4,4,1,10,80,13,4,8,9,9,1,8,9,9,1,1,0,1,0,10,0.479
81,5,13,"hgo",3,5,3,3,3,5,81,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
82,5,13,"hgo",3,5,3,3,3,5,82,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
83,5,13,"hgo",3,5,3,3,3,5,83,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
84,5,13,"hgo",3,5,3,3,3,5,84,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
85,5,13,"hgo",3,5,3,3,3,5,85,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
86,5,13,"hgo",3,5,3,3,3,5,86,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
87,5,13,"hgo",3,5,3,3,3,5,87,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
88,5,13,"hgo",3,5,3,3,3,5,88,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
89,5,13,"hgo",3,5,3,3,3,5,89,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
90,5,13,"hgo",3,5,3,3,3,5,90,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
91,5,13,"hgo",3,5,3,3,3,5,91,13,5,2,6,6,3,2,6,6,3,1,0,1,0,14,0.184
92,6,13,"hgo",5,2,2,2,4,16,92,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
93,6,13,"hgo",5,2,2,2,4,16,93,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
94,6,13,"hgo",5,2,2,2,4,16,94,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
95,6,13,"hgo",5,2,2,2,4,16,95,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
96,6,13,"hgo",5,2,2,2,4,16,96,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
97,6,13,"hgo",5,2,2,2,4,16,97,13,6,6,18,18,4,6,18,18,4,1,0,1,0,6,0.621
