"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E3"
1,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
2,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
3,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
4,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
5,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
6,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
7,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
8,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
9,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
10,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
11,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
12,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.151
13,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
14,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
15,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
16,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
17,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
18,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
19,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
20,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
21,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
22,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
23,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.605
24,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
25,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
26,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
27,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
28,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
29,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.991
