"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc1996","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_clv1","panal_cnv1","pes_clv1","pes_iee1","pri_clv1","pvem_clv1","morena_clv2","panal_clv2","pan_cnv2","pes_clv2","prd_clv2","prd_cnv2","prd_iee2","pri_clv2","pri_clv2.1","esc1_panalCLV1","esc1_panalCNV1","esc1_pesCLV1","esc1_pesIEE1","esc1_priCLV1","esc1_pvemCLV1","esc2_morCLV2","esc2_panalCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCLV2","esc2_prdCNV2","esc2_prdIEE2","esc2_priCLV2","esc2_priCLV2.1","SQ","dsiSQ_E3"
1,1,15,"mex",5,1,1,1,14,13,1,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
2,1,15,"mex",5,1,1,1,14,13,2,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
3,1,15,"mex",5,1,1,1,14,13,3,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
4,1,15,"mex",5,1,1,1,14,13,4,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
5,1,15,"mex",5,1,1,1,14,13,5,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
6,1,15,"mex",5,1,1,1,14,13,6,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
7,1,15,"mex",5,1,1,1,14,13,7,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
8,1,15,"mex",5,1,1,1,14,13,8,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
9,1,15,"mex",5,1,1,1,14,13,9,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
10,1,15,"mex",5,1,1,1,14,13,10,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
11,1,15,"mex",5,1,1,1,14,13,11,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
12,1,15,"mex",5,1,1,1,14,13,12,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
13,1,15,"mex",5,1,1,1,14,13,13,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
14,1,15,"mex",5,1,1,1,14,13,14,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
15,1,15,"mex",5,1,1,1,14,13,15,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
16,1,15,"mex",5,1,1,1,14,13,16,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
17,1,15,"mex",5,1,1,1,14,13,17,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
18,1,15,"mex",5,1,1,1,14,13,18,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
19,1,15,"mex",5,1,1,1,14,13,19,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
20,1,15,"mex",5,1,1,1,14,13,20,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
21,1,15,"mex",5,1,1,1,14,13,21,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
22,1,15,"mex",5,1,1,1,14,13,22,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
23,1,15,"mex",5,1,1,1,14,13,23,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
24,1,15,"mex",5,1,1,1,14,13,24,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
25,1,15,"mex",5,1,1,1,14,13,25,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
26,1,15,"mex",5,1,1,1,14,13,26,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
27,1,15,"mex",5,1,1,1,14,13,27,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
28,1,15,"mex",5,1,1,1,14,13,28,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
29,1,15,"mex",5,1,1,1,14,13,29,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
30,1,15,"mex",5,1,1,1,14,13,30,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
31,1,15,"mex",5,1,1,1,14,13,31,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
32,1,15,"mex",5,1,1,1,14,13,32,15,1,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
33,2,15,"mex",21,5,5,5,39,39,33,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
34,2,15,"mex",21,5,5,5,39,39,34,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
35,2,15,"mex",21,5,5,5,39,39,35,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
36,2,15,"mex",21,5,5,5,39,39,36,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
37,2,15,"mex",21,5,5,5,39,39,37,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
38,2,15,"mex",21,5,5,5,39,39,38,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
39,2,15,"mex",21,5,5,5,39,39,39,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
40,2,15,"mex",21,5,5,5,39,39,40,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
41,2,15,"mex",21,5,5,5,39,39,41,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
42,2,15,"mex",21,5,5,5,39,39,42,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
43,2,15,"mex",21,5,5,5,39,39,43,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
44,2,15,"mex",21,5,5,5,39,39,44,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
45,2,15,"mex",21,5,5,5,39,39,45,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
46,2,15,"mex",21,5,5,5,39,39,46,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
47,2,15,"mex",21,5,5,5,39,39,47,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
48,2,15,"mex",21,5,5,5,39,39,48,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
49,2,15,"mex",21,5,5,5,39,39,49,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
50,2,15,"mex",21,5,5,5,39,39,50,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
51,2,15,"mex",21,5,5,5,39,39,51,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
52,2,15,"mex",21,5,5,5,39,39,52,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
53,2,15,"mex",21,5,5,5,39,39,53,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
54,2,15,"mex",21,5,5,5,39,39,54,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
55,2,15,"mex",21,5,5,5,39,39,55,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
56,2,15,"mex",21,5,5,5,39,39,56,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
57,2,15,"mex",21,5,5,5,39,39,57,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
58,2,15,"mex",21,5,5,5,39,39,58,15,2,17,15,16,17,17,15,15,15,15,2,15,15,15,18,11,15,15,16,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,39,0.83
59,3,15,"mex",5,1,1,1,14,13,59,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
60,3,15,"mex",5,1,1,1,14,13,60,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
61,3,15,"mex",5,1,1,1,14,13,61,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
62,3,15,"mex",5,1,1,1,14,13,62,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
63,3,15,"mex",5,1,1,1,14,13,63,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
64,3,15,"mex",5,1,1,1,14,13,64,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
65,3,15,"mex",5,1,1,1,14,13,65,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
66,3,15,"mex",5,1,1,1,14,13,66,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
67,3,15,"mex",5,1,1,1,14,13,67,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
68,3,15,"mex",5,1,1,1,14,13,68,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
69,3,15,"mex",5,1,1,1,14,13,69,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
70,3,15,"mex",5,1,1,1,14,13,70,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
71,3,15,"mex",5,1,1,1,14,13,71,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
72,3,15,"mex",5,1,1,1,14,13,72,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
73,3,15,"mex",5,1,1,1,14,13,73,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
74,3,15,"mex",5,1,1,1,14,13,74,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
75,3,15,"mex",5,1,1,1,14,13,75,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
76,3,15,"mex",5,1,1,1,14,13,76,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
77,3,15,"mex",5,1,1,1,14,13,77,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
78,3,15,"mex",5,1,1,1,14,13,78,15,3,10,1,4,3,10,5,5,1,3,1,1,7,5,8,1,1,1,4,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,14,0.421
