"seccion","munn","edon","disloc2017","disloc2005","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,18,1,18,1,1,767,18,0.776477254330581
2,1,18,1,18,1,1,1400,18,0.776477254330581
3,1,18,1,18,1,1,3246,18,0.776477254330581
4,1,18,1,18,1,1,921,18,0.776477254330581
5,1,18,1,18,1,1,1330,18,0.776477254330581
6,1,18,1,18,1,1,599,18,0.776477254330581
7,1,18,1,18,1,1,695,18,0.776477254330581
8,1,18,1,18,1,1,1084,18,0.776477254330581
9,1,18,1,18,1,1,2172,18,0.776477254330581
10,1,18,1,18,1,1,1337,18,0.776477254330581
11,1,18,1,18,1,1,360,18,0.776477254330581
12,1,18,1,18,1,1,736,18,0.776477254330581
13,1,18,1,18,1,1,725,18,0.776477254330581
14,1,18,1,18,1,1,278,18,0.776477254330581
15,1,18,1,18,1,1,520,18,0.776477254330581
16,1,18,1,18,1,1,1389,18,0.776477254330581
17,1,18,1,18,1,1,1112,18,0.776477254330581
18,1,18,1,18,1,1,1243,18,0.776477254330581
19,1,18,1,18,1,1,188,18,0.776477254330581
20,1,18,1,18,1,1,392,18,0.776477254330581
21,1,18,1,18,1,1,531,18,0.776477254330581
22,1,18,1,18,1,1,302,18,0.776477254330581
23,1,18,1,18,1,1,824,18,0.776477254330581
24,1,18,1,18,1,1,1155,18,0.776477254330581
25,1,18,1,18,1,1,161,18,0.776477254330581
26,1,18,1,18,1,1,337,18,0.776477254330581
27,1,18,1,18,1,1,671,18,0.776477254330581
28,1,18,1,18,1,1,482,18,0.776477254330581
29,1,18,1,18,1,1,197,18,0.776477254330581
30,1,18,1,18,1,1,289,18,0.776477254330581
31,1,18,1,18,1,1,300,18,0.776477254330581
32,1,18,1,18,1,1,422,18,0.776477254330581
33,1,18,1,18,1,1,1062,18,0.776477254330581
34,1,18,1,18,1,1,481,18,0.776477254330581
35,1,18,1,18,1,1,159,18,0.776477254330581
36,1,18,1,18,1,1,993,18,0.776477254330581
37,1,18,1,18,1,1,358,18,0.776477254330581
38,1,18,1,18,1,1,1248,18,0.776477254330581
39,1,18,1,18,1,1,1029,18,0.776477254330581
40,1,18,1,18,1,1,903,18,0.776477254330581
41,1,18,1,18,1,1,406,18,0.776477254330581
42,1,18,1,18,1,1,293,18,0.776477254330581
43,1,18,1,18,1,1,758,18,0.776477254330581
44,1,18,1,18,1,1,235,18,0.776477254330581
45,1,18,1,18,1,1,286,18,0.776477254330581
46,1,18,1,18,1,1,1040,18,0.776477254330581
47,1,18,1,18,1,1,720,18,0.776477254330581
48,1,18,1,18,1,1,399,18,0.776477254330581
49,2,18,16,7,17,18,835,13,0.715922854747042
50,2,18,16,7,17,18,1075,13,0.715922854747042
51,2,18,16,7,17,18,847,13,0.715922854747042
52,2,18,16,7,17,18,1546,13,0.715922854747042
53,2,18,16,7,17,18,1238,13,0.715922854747042
54,2,18,16,7,17,18,1223,13,0.715922854747042
55,2,18,16,7,17,18,334,13,0.715922854747042
56,2,18,16,7,17,18,820,13,0.715922854747042
57,2,18,16,7,17,18,1038,13,0.715922854747042
58,2,18,16,7,17,18,685,13,0.715922854747042
59,2,18,16,7,17,18,1714,13,0.715922854747042
60,2,18,16,7,17,18,753,13,0.715922854747042
61,2,18,16,7,17,18,1142,13,0.715922854747042
62,2,18,16,7,17,18,365,13,0.715922854747042
63,2,18,16,7,17,18,441,13,0.715922854747042
64,2,18,16,7,17,18,294,13,0.715922854747042
65,2,18,16,7,17,18,895,13,0.715922854747042
66,3,18,16,13,17,18,548,13,0.715922854747042
67,3,18,16,13,17,18,963,13,0.715922854747042
68,3,18,16,13,17,18,853,13,0.715922854747042
69,3,18,16,13,17,18,587,13,0.715922854747042
70,3,18,16,13,17,18,259,13,0.715922854747042
71,3,18,16,13,17,18,256,13,0.715922854747042
72,3,18,16,13,17,18,134,13,0.715922854747042
73,3,18,16,13,17,18,86,13,0.715922854747042
74,3,18,16,13,17,18,532,13,0.715922854747042
75,3,18,16,13,17,18,603,13,0.715922854747042
76,3,18,16,13,17,18,152,13,0.715922854747042
77,3,18,16,13,17,18,648,13,0.715922854747042
78,3,18,16,13,17,18,689,13,0.715922854747042
79,3,18,16,13,17,18,977,13,0.715922854747042
80,3,18,16,13,17,18,588,13,0.715922854747042
81,3,18,16,13,17,18,248,13,0.715922854747042
82,3,18,16,13,17,18,616,13,0.715922854747042
83,3,18,16,13,17,18,770,13,0.715922854747042
84,3,18,16,13,17,18,133,13,0.715922854747042
86,3,18,16,13,17,18,361,13,0.715922854747042
87,3,18,16,13,17,18,63,13,0.715922854747042
88,3,18,16,13,17,18,537,13,0.715922854747042
