"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","SQ","dsiSQ_E3"
1,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.01,1,18,1,1,1,1,1,1,1,1,18,0.77
2,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.02,2,18,1,1,1,1,1,1,1,1,18,0.77
3,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.02,3,18,1,1,1,1,1,1,1,1,18,0.77
4,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.02,4,18,1,1,1,1,1,1,1,1,18,0.77
5,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,5,18,1,1,1,1,1,1,1,1,18,0.77
6,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,6,18,1,1,1,1,1,1,1,1,18,0.77
7,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,7,18,1,1,1,1,1,1,1,1,18,0.77
8,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.01,8,18,1,1,1,1,1,1,1,1,18,0.77
9,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.01,9,18,1,1,1,1,1,1,1,1,18,0.77
10,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.01,10,18,1,1,1,1,1,1,1,1,18,0.77
11,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,11,18,1,1,1,1,1,1,1,1,18,0.77
12,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,12,18,1,1,1,1,1,1,1,1,18,0.77
13,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.03,13,18,1,1,1,1,1,1,1,1,18,0.77
14,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.04,14,18,1,1,1,1,1,1,1,1,18,0.77
15,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.04,15,18,1,1,1,1,1,1,1,1,18,0.77
16,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.04,16,18,1,1,1,1,1,1,1,1,18,0.77
17,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.04,17,18,1,1,1,1,1,1,1,1,18,0.77
18,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.04,18,18,1,1,1,1,1,1,1,1,18,0.77
19,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,19,18,1,1,1,1,1,1,1,1,18,0.77
20,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,20,18,1,1,1,1,1,1,1,1,18,0.77
21,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,21,18,1,1,1,1,1,1,1,1,18,0.77
22,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,22,18,1,1,1,1,1,1,1,1,18,0.77
23,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,23,18,1,1,1,1,1,1,1,1,18,0.77
24,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.02,24,18,1,1,1,1,1,1,1,1,18,0.77
25,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,25,18,1,1,1,1,1,1,1,1,18,0.77
26,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,26,18,1,1,1,1,1,1,1,1,18,0.77
27,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,27,18,1,1,1,1,1,1,1,1,18,0.77
28,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,28,18,1,1,1,1,1,1,1,1,18,0.77
29,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,29,18,1,1,1,1,1,1,1,1,18,0.77
30,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,30,18,1,1,1,1,1,1,1,1,18,0.77
31,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,31,18,1,1,1,1,1,1,1,1,18,0.77
32,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,32,18,1,1,1,1,1,1,1,1,18,0.77
33,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,33,18,1,1,1,1,1,1,1,1,18,0.77
34,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,34,18,1,1,1,1,1,1,1,1,18,0.77
35,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,35,18,1,1,1,1,1,1,1,1,18,0.77
36,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,36,18,1,1,1,1,1,1,1,1,18,0.77
37,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,37,18,1,1,1,1,1,1,1,1,18,0.77
38,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,38,18,1,1,1,1,1,1,1,1,18,0.77
39,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,39,18,1,1,1,1,1,1,1,1,18,0.77
40,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,40,18,1,1,1,1,1,1,1,1,18,0.77
41,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,41,18,1,1,1,1,1,1,1,1,18,0.77
42,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,42,18,1,1,1,1,1,1,1,1,18,0.77
43,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,43,18,1,1,1,1,1,1,1,1,18,0.77
44,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,44,18,1,1,1,1,1,1,1,1,18,0.77
45,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,45,18,1,1,1,1,1,1,1,1,18,0.77
46,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,46,18,1,1,1,1,1,1,1,1,18,0.77
47,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,47,18,1,1,1,1,1,1,1,1,18,0.77
48,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,48,18,1,1,1,1,1,1,1,1,18,0.77
49,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.01,49,18,2,17,18,18,18,18,0,0,13,0.734
50,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.01,50,18,2,17,18,18,18,18,0,0,13,0.734
51,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,51,18,2,17,18,18,18,18,0,0,13,0.734
52,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,52,18,2,17,18,18,18,18,0,0,13,0.734
53,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,53,18,2,17,18,18,18,18,0,0,13,0.734
54,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,54,18,2,17,18,18,18,18,0,0,13,0.734
55,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,55,18,2,17,18,18,18,18,0,0,13,0.734
56,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,56,18,2,17,18,18,18,18,0,0,13,0.734
57,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,57,18,2,17,18,18,18,18,0,0,13,0.734
58,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,58,18,2,17,18,18,18,18,0,0,13,0.734
59,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,59,18,2,17,18,18,18,18,0,0,13,0.734
60,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,60,18,2,17,18,18,18,18,0,0,13,0.734
61,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,61,18,2,17,18,18,18,18,0,0,13,0.734
62,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,62,18,2,17,18,18,18,18,0,0,13,0.734
63,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,63,18,2,17,18,18,18,18,0,0,13,0.734
64,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,64,18,2,17,18,18,18,18,0,0,13,0.734
65,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,65,18,2,17,18,18,18,18,0,0,13,0.734
66,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,66,18,3,17,18,18,18,18,0,0,13,0.734
67,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,67,18,3,17,18,18,18,18,0,0,13,0.734
68,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,68,18,3,17,18,18,18,18,0,0,13,0.734
69,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,69,18,3,17,18,18,18,18,0,0,13,0.734
70,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,70,18,3,17,18,18,18,18,0,0,13,0.734
71,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,71,18,3,17,18,18,18,18,0,0,13,0.734
72,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,72,18,3,17,18,18,18,18,0,0,13,0.734
73,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,73,18,3,17,18,18,18,18,0,0,13,0.734
74,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,74,18,3,17,18,18,18,18,0,0,13,0.734
75,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,75,18,3,17,18,18,18,18,0,0,13,0.734
76,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,76,18,3,17,18,18,18,18,0,0,13,0.734
77,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,77,18,3,17,18,18,18,18,0,0,13,0.734
78,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,78,18,3,17,18,18,18,18,0,0,13,0.734
79,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,79,18,3,17,18,18,18,18,0,0,13,0.734
80,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,80,18,3,17,18,18,18,18,0,0,13,0.734
81,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,81,18,3,17,18,18,18,18,0,0,13,0.734
82,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,82,18,3,17,18,18,18,18,0,0,13,0.734
83,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,83,18,3,17,18,18,18,18,0,0,13,0.734
84,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,84,18,3,17,18,18,18,18,0,0,13,0.734
86,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,85,18,3,17,18,18,18,18,0,0,13,0.734
87,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,86,18,3,17,18,18,18,18,0,0,13,0.734
88,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,87,18,3,17,18,18,18,18,0,0,13,0.734
89,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,88,18,3,17,18,18,18,18,0,0,13,0.734
90,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.04,89,18,4,12,3,3,3,3,0,0,14,0.191
91,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,90,18,4,11,4,4,4,4,0,0,14,0.532
92,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,91,18,4,11,4,4,4,4,0,0,14,0.532
93,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,92,18,4,11,4,4,4,4,0,0,14,0.532
94,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,93,18,4,11,4,4,4,4,0,0,14,0.532
95,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,94,18,4,11,4,4,4,4,0,0,14,0.532
96,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,95,18,4,11,4,4,4,4,0,0,14,0.532
97,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,96,18,4,11,4,4,4,4,0,0,14,0.532
98,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,97,18,4,11,4,4,4,4,0,0,14,0.532
99,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,98,18,4,11,4,4,4,4,0,0,14,0.532
100,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,99,18,4,11,4,4,4,4,0,0,14,0.532
101,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,100,18,4,11,4,4,4,4,0,0,14,0.532
102,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,101,18,4,11,4,4,4,4,0,0,14,0.532
103,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,102,18,4,11,4,4,4,4,0,0,14,0.532
104,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,103,18,4,11,4,4,4,4,0,0,14,0.532
105,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,104,18,4,11,4,4,4,4,0,0,14,0.532
106,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,105,18,4,11,4,4,4,4,0,0,14,0.532
107,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,106,18,4,11,4,4,4,4,0,0,14,0.532
108,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,107,18,4,11,4,4,4,4,0,0,14,0.532
109,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,108,18,4,11,4,4,4,4,0,0,14,0.532
110,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,109,18,4,11,4,4,4,4,0,0,14,0.532
111,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.03,110,18,4,11,4,4,4,4,0,0,14,0.532
112,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,111,18,4,11,4,4,4,4,0,0,14,0.532
113,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,112,18,4,11,4,4,4,4,0,0,14,0.532
114,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,113,18,4,11,4,4,4,4,0,0,14,0.532
115,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.07,114,18,4,11,4,4,4,4,0,0,14,0.532
116,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.07,115,18,4,12,3,3,3,3,0,0,14,0.191
