"seccion","munn","edon","disloc2018","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,24,4,4,4,1,1602,4,1
2,1,24,4,4,4,1,2706,4,1
3,1,24,4,4,4,1,358,4,1
4,1,24,4,4,4,1,560,4,1
5,1,24,4,4,4,1,357,4,1
6,1,24,4,4,4,1,2030,4,1
7,1,24,4,4,4,1,1667,4,1
8,1,24,4,4,4,1,2175,4,1
9,1,24,4,4,4,1,395,4,1
10,1,24,4,4,4,1,201,4,1
11,1,24,4,4,4,1,1664,4,1
12,1,24,4,4,4,1,881,4,1
13,1,24,4,4,4,1,1496,4,1
14,1,24,4,4,4,1,2993,4,1
15,2,24,11,11,7,3,369,11,0.762206775246503
16,2,24,11,11,7,3,340,11,0.762206775246503
17,2,24,11,11,7,3,410,11,0.762206775246503
18,2,24,11,11,7,3,152,11,0.762206775246503
19,2,24,11,11,7,3,386,11,0.762206775246503
20,2,24,11,11,7,3,232,11,0.762206775246503
21,2,24,11,11,7,3,284,11,0.762206775246503
22,2,24,11,11,7,3,230,11,0.762206775246503
23,2,24,11,11,7,3,649,11,0.762206775246503
24,2,24,11,11,7,3,221,11,0.762206775246503
25,2,24,11,11,7,3,185,11,0.762206775246503
26,2,24,11,11,7,3,1305,11,0.762206775246503
27,2,24,11,11,7,3,425,11,0.762206775246503
28,2,24,11,11,7,3,812,11,0.762206775246503
29,2,24,11,11,7,3,212,11,0.762206775246503
30,2,24,11,11,7,3,562,11,0.762206775246503
31,2,24,11,11,7,3,375,11,0.762206775246503
32,2,24,11,11,7,3,525,11,0.762206775246503
33,2,24,11,11,7,3,517,11,0.762206775246503
34,3,24,14,14,5,4,3325,14,1
35,3,24,14,14,5,4,964,14,1
36,3,24,14,14,5,4,1324,14,1
37,3,24,14,14,5,4,725,14,1
38,3,24,14,14,5,4,1177,14,1
39,3,24,14,14,5,4,2069,14,1
40,3,24,14,14,5,4,300,14,1
41,3,24,14,14,5,4,2040,14,1
42,3,24,14,14,5,4,1540,14,1
43,3,24,14,14,5,4,2655,14,1
44,3,24,14,14,5,4,2541,14,1
45,3,24,14,14,5,4,2853,14,1
46,3,24,14,14,5,4,2939,14,1
47,3,24,14,14,5,4,1626,14,1
48,3,24,14,14,5,4,3046,14,1
49,3,24,14,14,5,4,1940,14,1
50,3,24,14,14,5,4,832,14,1
51,3,24,14,14,5,4,2330,14,1
52,3,24,14,14,5,4,1258,14,1
53,3,24,14,14,5,4,2813,14,1
54,3,24,14,14,5,4,1717,14,1
55,3,24,14,14,5,4,1350,14,1
56,3,24,14,14,5,4,1407,14,1
57,3,24,14,14,5,4,1813,14,1
58,3,24,14,14,5,4,1346,14,1
59,3,24,14,14,5,4,1192,14,1
60,4,24,3,2,4,2,301,3,0.801942632523428
61,4,24,3,2,4,2,132,3,0.801942632523428
62,4,24,3,2,4,2,117,3,0.801942632523428
63,4,24,3,2,4,2,153,3,0.801942632523428
64,4,24,3,2,4,2,831,3,0.801942632523428
65,4,24,3,2,4,2,450,3,0.801942632523428
66,4,24,3,2,4,2,123,3,0.801942632523428
67,4,24,3,2,4,2,37,3,0.801942632523428
68,4,24,3,2,4,2,657,3,0.801942632523428
69,4,24,3,2,4,2,247,3,0.801942632523428
70,4,24,3,2,4,2,539,3,0.801942632523428
71,4,24,3,2,4,2,229,3,0.801942632523428
72,4,24,3,2,4,2,126,3,0.801942632523428
73,4,24,3,2,4,2,87,3,0.801942632523428
75,4,24,3,2,4,2,69,3,0.801942632523428
76,4,24,3,2,4,2,84,3,0.801942632523428
77,4,24,3,2,4,2,250,3,0.801942632523428
78,5,24,11,11,7,3,1337,11,0.762206775246503
79,5,24,11,11,7,3,2641,11,0.762206775246503
80,5,24,11,11,7,3,1441,11,0.762206775246503
81,5,24,11,11,7,3,1051,11,0.762206775246503
82,5,24,11,11,7,3,572,11,0.762206775246503
83,5,24,11,11,7,3,726,11,0.762206775246503
84,5,24,11,11,7,3,1270,11,0.762206775246503
85,5,24,11,11,7,3,2221,11,0.762206775246503
86,5,24,11,11,7,3,900,11,0.762206775246503
87,5,24,11,11,7,3,613,11,0.762206775246503
88,5,24,11,11,7,3,835,11,0.762206775246503
89,5,24,11,11,7,3,722,11,0.762206775246503
90,5,24,11,11,7,3,1116,11,0.762206775246503
91,5,24,11,11,7,3,509,11,0.762206775246503
92,5,24,11,11,7,3,354,11,0.762206775246503
93,5,24,11,11,7,3,837,11,0.762206775246503
94,5,24,11,11,7,3,366,11,0.762206775246503
95,5,24,11,11,7,3,642,11,0.762206775246503
96,5,24,11,11,7,3,501,11,0.762206775246503
97,5,24,11,11,7,3,270,11,0.762206775246503
98,6,24,1,1,3,5,1625,1,0.918786648877129
99,6,24,1,1,3,5,220,1,0.918786648877129
101,6,24,1,1,3,5,502,1,0.918786648877129
102,6,24,1,1,3,5,385,1,0.918786648877129
103,6,24,1,1,3,5,543,1,0.918786648877129
105,6,24,1,1,3,5,364,1,0.918786648877129
106,6,24,1,1,3,5,1342,1,0.918786648877129
107,6,24,1,1,3,5,248,1,0.918786648877129
108,6,24,1,1,3,5,587,1,0.918786648877129
109,6,24,1,1,3,5,313,1,0.918786648877129
110,6,24,1,1,3,5,283,1,0.918786648877129
111,6,24,1,1,3,5,417,1,0.918786648877129
112,6,24,1,1,3,5,670,1,0.918786648877129
113,6,24,1,1,3,5,342,1,0.918786648877129
114,6,24,1,1,3,5,170,1,0.918786648877129
115,6,24,1,1,3,5,470,1,0.918786648877129
116,6,24,1,1,3,5,361,1,0.918786648877129
117,6,24,1,1,3,5,287,1,0.918786648877129
118,6,24,1,1,3,5,591,1,0.918786648877129
119,7,24,1,1,3,5,3077,1,0.918786648877129
120,7,24,1,1,3,5,2654,1,0.918786648877129
121,7,24,1,1,3,5,2423,1,0.918786648877129
122,7,24,1,1,3,5,3434,1,0.918786648877129
123,7,24,1,1,3,5,251,1,0.918786648877129
124,7,24,1,1,3,5,396,1,0.918786648877129
125,7,24,1,1,3,5,584,1,0.918786648877129
126,7,24,1,1,3,5,638,1,0.918786648877129
127,7,24,1,1,3,5,421,1,0.918786648877129
128,7,24,1,1,3,5,482,1,0.918786648877129
129,7,24,1,1,3,5,165,1,0.918786648877129
130,7,24,1,1,3,5,331,1,0.918786648877129
131,7,24,1,1,3,5,1708,1,0.918786648877129
132,7,24,1,1,3,5,204,1,0.918786648877129
133,7,24,1,1,3,5,462,1,0.918786648877129
134,7,24,1,1,3,5,455,1,0.918786648877129
135,7,24,1,1,3,5,808,1,0.918786648877129
136,8,24,10,2,7,6,1323,10,0.718862664932169
137,8,24,10,2,7,6,1367,10,0.718862664932169
138,8,24,10,2,7,6,834,10,0.718862664932169
139,8,24,10,2,7,6,2015,10,0.718862664932169
140,8,24,10,2,7,6,1195,10,0.718862664932169
141,8,24,10,2,7,6,1929,10,0.718862664932169
