"seccion","munn","edon","disloc2017","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,26,6,6,3,3,1735,18,0.115099321993577
2,1,26,6,6,3,3,900,18,0.115099321993577
3,2,26,7,7,4,4,1617,7,0.553721354183094
4,2,26,7,7,4,4,918,7,0.553721354183094
5,2,26,7,7,4,4,401,7,0.553721354183094
6,2,26,7,7,4,4,2940,7,0.553721354183094
7,2,26,7,7,4,4,1686,7,0.553721354183094
8,2,26,7,7,4,4,3625,7,0.553721354183094
9,2,26,7,7,4,4,3906,7,0.553721354183094
10,2,26,7,7,4,4,3808,7,0.553721354183094
11,2,26,7,7,4,4,1028,7,0.553721354183094
12,2,26,7,7,4,4,1269,7,0.553721354183094
13,2,26,7,7,4,4,1059,7,0.553721354183094
14,2,26,7,7,4,4,2967,7,0.553721354183094
15,2,26,7,7,4,4,901,7,0.553721354183094
16,2,26,7,7,4,4,378,7,0.553721354183094
17,2,26,7,7,4,4,2594,7,0.553721354183094
18,2,26,7,7,4,4,2067,7,0.553721354183094
19,2,26,7,7,4,4,3200,7,0.553721354183094
20,2,26,7,7,4,4,5621,7,0.553721354183094
21,2,26,7,7,4,4,1627,7,0.553721354183094
22,2,26,7,7,4,4,7851,7,0.553721354183094
23,2,26,7,7,4,4,8013,7,0.553721354183094
24,2,26,7,7,4,4,9456,7,0.553721354183094
25,2,26,7,7,4,4,1928,7,0.553721354183094
26,2,26,7,7,4,4,5092,7,0.553721354183094
27,2,26,7,7,4,4,72,7,0.553721354183094
28,2,26,7,7,4,4,221,7,0.553721354183094
29,2,26,7,7,4,4,104,7,0.553721354183094
30,2,26,7,7,4,4,272,7,0.553721354183094
31,2,26,7,7,4,4,4246,7,0.553721354183094
32,2,26,7,7,4,4,276,7,0.553721354183094
34,3,26,3,3,2,2,1190,3,0.743117354062897
35,3,26,3,3,2,2,2630,3,0.743117354062897
37,3,26,3,3,2,2,555,3,0.743117354062897
38,4,26,18,18,3,3,804,18,0.115099321993577
39,4,26,18,18,3,3,317,18,0.115099321993577
40,4,26,18,18,3,3,133,18,0.115099321993577
41,5,26,6,6,3,3,884,18,0.115099321993577
42,5,26,6,6,3,3,1084,18,0.115099321993577
43,5,26,6,6,3,3,395,18,0.115099321993577
44,5,26,6,6,3,3,396,18,0.115099321993577
45,5,26,6,6,3,3,289,18,0.115099321993577
46,6,26,3,3,2,2,636,3,0.743117354062897
47,7,26,18,18,3,3,1252,18,0.115099321993577
48,8,26,18,18,3,3,560,18,0.115099321993577
49,8,26,18,18,3,3,109,18,0.115099321993577
50,8,26,18,18,3,3,36,18,0.115099321993577
51,8,26,18,18,3,3,79,18,0.115099321993577
52,9,26,7,7,3,3,1158,18,0.115099321993577
53,9,26,7,7,3,3,311,18,0.115099321993577
54,10,26,6,6,4,4,1231,7,0.553721354183094
55,10,26,6,6,4,4,416,7,0.553721354183094
