"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,27,6,1,3737,18,6,18,0.512159448887043
2,1,27,6,1,2647,18,6,18,0.512159448887043
3,1,27,6,1,1447,18,6,18,0.512159448887043
4,1,27,6,1,1324,18,6,18,0.512159448887043
5,1,27,6,1,2012,18,6,18,0.512159448887043
6,1,27,6,1,779,18,6,18,0.512159448887043
7,1,27,6,1,1681,18,6,18,0.512159448887043
8,1,27,6,1,1682,18,6,18,0.512159448887043
9,1,27,6,1,1456,18,6,18,0.512159448887043
10,1,27,6,1,474,18,6,18,0.512159448887043
11,1,27,6,1,697,18,6,18,0.512159448887043
12,1,27,6,1,894,18,6,18,0.512159448887043
13,1,27,6,1,1547,18,6,18,0.512159448887043
14,1,27,6,1,948,18,6,18,0.512159448887043
15,1,27,6,1,1056,18,6,18,0.512159448887043
16,1,27,6,1,1031,18,6,18,0.512159448887043
17,1,27,6,1,1311,18,6,18,0.512159448887043
18,1,27,6,1,1544,18,6,18,0.512159448887043
19,1,27,6,1,451,18,6,18,0.512159448887043
20,1,27,6,1,917,18,6,18,0.512159448887043
21,1,27,6,1,366,18,6,18,0.512159448887043
22,1,27,6,1,1182,18,6,18,0.512159448887043
23,1,27,6,1,1334,18,6,18,0.512159448887043
24,1,27,6,1,2611,18,6,18,0.512159448887043
25,1,27,6,1,853,18,6,18,0.512159448887043
27,1,27,6,1,1907,18,6,18,0.512159448887043
28,1,27,6,1,212,18,6,18,0.512159448887043
29,1,27,6,1,1171,18,6,18,0.512159448887043
30,1,27,6,1,1514,18,6,18,0.512159448887043
31,1,27,6,1,229,18,6,18,0.512159448887043
32,1,27,6,1,362,18,6,18,0.512159448887043
33,1,27,6,1,544,18,6,18,0.512159448887043
34,1,27,6,1,456,18,6,18,0.512159448887043
35,1,27,6,1,1460,18,6,18,0.512159448887043
36,1,27,6,1,815,18,6,18,0.512159448887043
37,1,27,6,1,1709,18,6,18,0.512159448887043
38,1,27,6,1,1220,18,6,18,0.512159448887043
39,1,27,6,1,1223,18,6,18,0.512159448887043
40,1,27,6,1,1059,18,6,18,0.512159448887043
41,1,27,6,1,1144,18,6,18,0.512159448887043
42,1,27,6,1,2595,18,6,18,0.512159448887043
43,1,27,6,1,1397,18,6,18,0.512159448887043
44,1,27,6,1,1782,18,6,18,0.512159448887043
45,1,27,6,1,1589,18,6,18,0.512159448887043
46,2,27,3,19,1801,11,3,2,0.776259314218244
47,2,27,3,19,8528,11,3,2,0.776259314218244
48,2,27,3,2,2913,11,3,2,0.776259314218244
49,2,27,3,2,1345,11,3,2,0.776259314218244
50,2,27,3,2,2051,11,3,2,0.776259314218244
51,2,27,3,2,2007,11,3,2,0.776259314218244
52,2,27,3,2,1979,11,3,2,0.776259314218244
53,2,27,3,2,1498,11,3,2,0.776259314218244
54,2,27,3,2,1736,11,3,2,0.776259314218244
55,2,27,3,2,4597,11,3,2,0.776259314218244
56,2,27,3,2,1657,11,3,2,0.776259314218244
57,2,27,3,2,808,11,3,2,0.776259314218244
58,2,27,3,2,1019,11,3,2,0.776259314218244
59,2,27,3,2,1141,11,3,2,0.776259314218244
60,2,27,3,2,1492,11,3,2,0.776259314218244
61,2,27,3,2,752,11,3,2,0.776259314218244
62,2,27,3,2,1168,11,3,2,0.776259314218244
63,2,27,3,2,4302,11,3,2,0.776259314218244
64,2,27,3,2,1817,11,3,2,0.776259314218244
65,2,27,3,2,1205,11,3,2,0.776259314218244
66,2,27,3,2,742,11,3,2,0.776259314218244
67,2,27,3,2,734,11,3,2,0.776259314218244
68,2,27,3,2,718,11,3,2,0.776259314218244
69,2,27,3,2,711,11,3,2,0.776259314218244
70,2,27,3,2,1553,11,3,2,0.776259314218244
71,2,27,3,2,6151,8,3,2,0.776259314218244
72,2,27,3,2,1326,8,3,2,0.776259314218244
73,2,27,3,2,971,8,3,2,0.776259314218244
74,2,27,3,2,782,11,3,2,0.776259314218244
75,2,27,3,2,1573,11,3,2,0.776259314218244
76,2,27,3,2,1067,11,3,2,0.776259314218244
77,2,27,3,2,1079,11,3,2,0.776259314218244
78,2,27,3,2,1521,11,3,2,0.776259314218244
79,2,27,3,2,1246,11,3,2,0.776259314218244
80,2,27,3,2,985,8,3,2,0.776259314218244
81,2,27,3,2,2776,8,3,2,0.776259314218244
82,2,27,3,2,1419,11,3,2,0.776259314218244
83,2,27,3,2,1455,11,3,2,0.776259314218244
84,2,27,3,2,1984,11,3,2,0.776259314218244
85,2,27,3,2,1749,11,3,2,0.776259314218244
86,2,27,3,2,4475,8,3,2,0.776259314218244
87,2,27,3,2,3472,8,3,2,0.776259314218244
88,2,27,3,2,2936,11,3,2,0.776259314218244
89,2,27,3,2,2681,8,3,2,0.776259314218244
90,2,27,4,19,2064,9,4,19,0.577405611293268
91,2,27,4,19,1657,9,4,19,0.577405611293268
92,2,27,4,19,2305,10,4,19,0.577405611293268
93,2,27,4,19,1560,9,4,19,0.577405611293268
94,2,27,4,19,1170,9,4,19,0.577405611293268
95,2,27,4,19,2163,9,4,19,0.577405611293268
96,2,27,4,19,1235,9,4,19,0.577405611293268
97,2,27,4,19,1286,9,4,19,0.577405611293268
98,2,27,4,19,2218,9,4,19,0.577405611293268
99,2,27,4,19,1569,9,4,19,0.577405611293268
100,2,27,4,19,2866,9,4,19,0.577405611293268
101,2,27,2,19,2236,10,2,9,0.330566786601877
102,2,27,2,19,1330,10,2,9,0.330566786601877
103,2,27,4,19,2369,9,4,19,0.577405611293268
104,2,27,4,19,2651,9,4,19,0.577405611293268
105,2,27,4,19,2228,9,4,19,0.577405611293268
106,2,27,4,19,1447,9,4,19,0.577405611293268
107,2,27,2,19,2023,9,2,9,0.330566786601877
108,2,27,4,19,978,9,4,19,0.577405611293268
109,2,27,4,19,1481,9,4,19,0.577405611293268
110,2,27,4,19,3465,9,4,19,0.577405611293268
111,2,27,4,19,1177,9,4,19,0.577405611293268
112,2,27,2,19,1524,10,2,9,0.330566786601877
113,2,27,2,19,1775,10,2,9,0.330566786601877
114,2,27,2,19,830,10,2,9,0.330566786601877
115,2,27,2,19,1123,10,2,9,0.330566786601877
116,2,27,2,19,911,10,2,9,0.330566786601877
117,2,27,4,19,667,9,4,19,0.577405611293268
118,2,27,4,19,2348,9,4,19,0.577405611293268
119,2,27,4,19,1679,9,4,19,0.577405611293268
120,2,27,4,19,1966,9,4,19,0.577405611293268
121,2,27,4,19,2437,9,4,19,0.577405611293268
122,2,27,4,19,3777,9,4,19,0.577405611293268
123,2,27,4,19,1670,9,4,19,0.577405611293268
124,2,27,4,19,1484,9,4,19,0.577405611293268
125,2,27,4,19,2184,9,4,19,0.577405611293268
126,2,27,2,19,1250,9,2,9,0.330566786601877
127,2,27,4,19,1616,9,4,19,0.577405611293268
128,2,27,2,19,2045,9,2,9,0.330566786601877
129,2,27,4,19,2279,9,4,19,0.577405611293268
130,2,27,4,19,2708,9,4,19,0.577405611293268
131,2,27,4,19,2294,9,4,19,0.577405611293268
132,2,27,4,19,2689,9,4,19,0.577405611293268
133,2,27,4,19,1670,9,4,19,0.577405611293268
134,2,27,4,19,2935,9,4,19,0.577405611293268
135,2,27,2,19,647,9,2,9,0.330566786601877
136,2,27,4,19,1855,9,4,19,0.577405611293268
137,2,27,4,2,1778,11,4,19,0.577405611293268
138,2,27,4,2,1764,11,4,19,0.577405611293268
139,2,27,4,2,4443,11,4,19,0.577405611293268
140,2,27,4,19,1510,11,4,19,0.577405611293268
141,2,27,2,19,1909,9,2,9,0.330566786601877
142,2,27,2,19,1438,9,2,9,0.330566786601877
143,2,27,2,19,2294,9,2,9,0.330566786601877
144,2,27,4,19,3001,9,4,19,0.577405611293268
145,2,27,4,19,1181,11,4,19,0.577405611293268
146,2,27,4,19,1815,11,4,19,0.577405611293268
147,2,27,4,2,1522,11,4,19,0.577405611293268
148,2,27,4,19,4082,11,4,19,0.577405611293268
149,2,27,4,2,1795,11,4,19,0.577405611293268
150,2,27,4,2,1947,11,4,19,0.577405611293268
151,2,27,4,2,807,11,4,19,0.577405611293268
152,2,27,4,2,3660,11,4,19,0.577405611293268
153,2,27,4,19,1148,11,4,19,0.577405611293268
154,2,27,4,19,3343,11,4,19,0.577405611293268
155,2,27,2,19,3482,9,2,9,0.330566786601877
156,2,27,2,19,2300,9,2,9,0.330566786601877
157,2,27,2,19,2729,9,2,9,0.330566786601877
158,2,27,2,19,1323,9,2,9,0.330566786601877
159,2,27,2,19,1795,9,2,9,0.330566786601877
160,2,27,3,2,3368,11,3,2,0.776259314218244
161,2,27,3,2,3815,8,3,2,0.776259314218244
162,2,27,3,2,4837,11,3,2,0.776259314218244
163,2,27,2,19,2779,10,2,9,0.330566786601877
164,2,27,3,2,1641,11,3,2,0.776259314218244
165,2,27,3,2,3967,8,3,2,0.776259314218244
166,2,27,3,2,2080,8,3,2,0.776259314218244
167,2,27,2,19,784,8,2,9,0.330566786601877
168,3,27,21,3,1395,16,21,3,1
169,3,27,21,3,3474,16,21,3,1
170,3,27,21,3,1652,16,21,3,1
171,3,27,21,3,1537,16,21,3,1
172,3,27,21,3,711,16,21,3,1
173,3,27,21,3,681,16,21,3,1
174,3,27,21,3,734,16,21,3,1
175,3,27,21,3,1373,16,21,3,1
176,3,27,21,3,2082,16,21,3,1
177,3,27,21,3,2795,16,21,3,1
178,3,27,21,3,1202,16,21,3,1
179,3,27,21,3,2193,16,21,3,1
180,3,27,21,3,1730,16,21,3,1
181,3,27,21,3,2552,16,21,3,1
182,3,27,21,3,776,16,21,3,1
183,3,27,21,3,1180,16,21,3,1
184,3,27,21,3,1371,16,21,3,1
185,3,27,21,3,536,16,21,3,1
