"seccion","munn.x","edon.x","disloc2013","disloc2015","disfed2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","iee1","panal_cnv1","pri_clv1","esc1_IEE1","esc1_panalCNV1","esc1_priCLV1","SQ","dsiSQ_E3"
1,1,28,13,3,1,1,28,1,3,3,3,1,3,1,0,1,0,13,0.741
2,1,28,13,3,1,2,28,1,3,3,3,1,3,1,0,1,0,13,0.741
3,1,28,13,3,1,3,28,1,3,3,3,1,3,1,0,1,0,13,0.741
4,1,28,13,3,1,4,28,1,3,3,3,1,3,1,0,1,0,13,0.741
5,1,28,13,3,1,5,28,1,3,3,3,1,3,1,0,1,0,13,0.741
6,1,28,13,3,1,6,28,1,3,3,3,1,3,1,0,1,0,13,0.741
8,1,28,13,3,1,7,28,1,3,3,3,1,3,1,0,1,0,13,0.741
9,1,28,13,3,1,8,28,1,3,3,3,1,3,1,0,1,0,13,0.741
10,1,28,13,3,1,9,28,1,3,3,3,1,3,1,0,1,0,13,0.741
11,1,28,13,3,1,10,28,1,3,3,3,1,3,1,0,1,0,13,0.741
12,1,28,13,3,1,11,28,1,3,3,3,1,3,1,0,1,0,13,0.741
13,2,28,18,10,1,12,28,2,10,10,10,5,10,5,0,1,0,18,0.504
14,2,28,18,10,1,13,28,2,10,10,10,5,10,5,0,1,0,18,0.504
15,2,28,18,10,1,14,28,2,10,10,10,5,10,5,0,1,0,18,0.504
16,2,28,18,10,1,15,28,2,10,10,10,5,10,5,0,1,0,18,0.504
17,2,28,18,10,1,16,28,2,10,10,10,5,10,5,0,1,0,18,0.504
18,2,28,18,10,1,17,28,2,10,10,10,5,10,5,0,1,0,18,0.504
19,2,28,18,10,1,18,28,2,10,10,10,5,10,5,0,1,0,18,0.504
20,2,28,18,10,1,19,28,2,10,10,10,5,10,5,0,1,0,18,0.504
21,2,28,18,10,1,20,28,2,10,10,10,5,10,5,0,1,0,18,0.504
22,2,28,18,10,1,21,28,2,10,10,10,5,10,5,0,1,0,18,0.504
23,2,28,18,10,1,22,28,2,10,10,10,5,10,5,0,1,0,18,0.504
24,2,28,18,10,1,23,28,2,10,10,10,5,10,5,0,1,0,18,0.504
25,2,28,18,10,1,24,28,2,10,10,10,5,10,5,0,1,0,18,0.504
26,2,28,18,10,1,25,28,2,10,10,10,5,10,5,0,1,0,18,0.504
27,2,28,18,10,1,26,28,2,10,10,10,5,10,5,0,1,0,18,0.504
28,2,28,18,10,1,27,28,2,10,10,10,5,10,5,0,1,0,18,0.504
29,2,28,18,10,1,28,28,2,10,10,10,5,10,5,0,1,0,18,0.504
30,2,28,18,10,1,29,28,2,10,10,10,5,10,5,0,1,0,18,0.504
31,2,28,18,10,1,30,28,2,10,10,10,5,10,5,0,1,0,18,0.504
32,2,28,18,10,1,31,28,2,10,10,10,5,10,5,0,1,0,18,0.504
33,2,28,18,10,1,32,28,2,10,10,10,5,10,5,0,1,0,18,0.504
34,3,28,18,10,2,33,28,3,10,10,10,5,10,5,0,1,0,18,0.504
35,3,28,18,10,2,34,28,3,10,10,10,5,10,5,0,1,0,18,0.504
36,3,28,18,10,2,35,28,3,10,10,10,5,10,5,0,1,0,18,0.504
37,3,28,18,10,2,36,28,3,10,10,10,5,10,5,0,1,0,18,0.504
38,3,28,18,10,2,37,28,3,10,10,10,5,10,5,0,1,0,18,0.504
39,3,28,18,10,2,38,28,3,10,10,10,5,10,5,0,1,0,18,0.504
40,3,28,18,10,2,39,28,3,10,10,10,5,10,5,0,1,0,18,0.504
41,3,28,18,10,2,40,28,3,10,10,10,5,10,5,0,1,0,18,0.504
42,3,28,18,10,2,41,28,3,10,10,10,5,10,5,0,1,0,18,0.504
43,3,28,18,10,2,42,28,3,10,10,10,5,10,5,0,1,0,18,0.504
44,3,28,18,10,2,43,28,3,10,10,10,5,10,5,0,1,0,18,0.504
45,3,28,19,10,2,44,28,3,10,10,10,5,10,5,0,1,0,18,0.504
46,3,28,18,10,2,45,28,3,10,10,10,5,10,5,0,1,0,18,0.504
47,3,28,18,10,2,46,28,3,10,10,10,5,10,5,0,1,0,18,0.504
48,3,28,18,10,2,47,28,3,10,10,10,5,10,5,0,1,0,18,0.504
49,3,28,18,10,2,48,28,3,10,10,10,6,10,6,0,1,0,18,0.504
50,3,28,18,10,2,49,28,3,10,10,10,5,10,5,0,1,0,18,0.504
51,3,28,18,10,2,50,28,3,10,10,10,6,10,6,0,1,0,18,0.504
52,3,28,18,10,2,51,28,3,10,10,10,5,10,5,0,1,0,18,0.504
53,3,28,18,10,2,52,28,3,10,10,10,5,10,5,0,1,0,18,0.504
54,3,28,18,10,2,53,28,3,10,10,10,5,10,5,0,1,0,18,0.504
55,3,28,18,10,2,54,28,3,10,10,10,5,10,5,0,1,0,18,0.504
56,3,28,18,10,2,55,28,3,10,10,10,5,10,5,0,1,0,18,0.504
57,3,28,18,10,2,56,28,3,10,10,10,5,10,5,0,1,0,18,0.504
58,3,28,18,10,2,57,28,3,10,10,10,5,10,5,0,1,0,18,0.504
59,3,28,18,10,2,58,28,3,10,10,10,5,10,5,0,1,0,18,0.504
60,3,28,18,10,2,59,28,3,10,10,10,5,10,5,0,1,0,18,0.504
61,3,28,18,10,2,60,28,3,10,10,10,5,10,5,0,1,0,18,0.504
62,3,28,18,10,2,61,28,3,10,10,10,5,10,5,0,1,0,18,0.504
63,3,28,18,10,2,62,28,3,10,10,10,5,10,5,0,1,0,18,0.504
64,3,28,18,10,2,63,28,3,10,10,10,5,10,5,0,1,0,18,0.504
65,3,28,18,10,2,64,28,3,10,10,10,5,10,5,0,1,0,18,0.504
66,3,28,18,10,2,65,28,3,10,10,10,5,10,5,0,1,0,18,0.504
67,3,28,18,10,2,66,28,3,10,10,10,5,10,5,0,1,0,18,0.504
68,3,28,18,10,2,67,28,3,10,10,10,5,10,5,0,1,0,18,0.504
69,3,28,18,10,2,68,28,3,10,10,10,5,10,5,0,1,0,18,0.504
70,3,28,18,10,2,69,28,3,10,10,10,5,10,5,0,1,0,18,0.504
71,3,28,19,10,2,70,28,3,10,10,10,6,10,6,0,1,0,18,0.504
72,3,28,19,9,2,71,28,3,9,9,9,6,9,6,0,1,0,19,0.8
73,3,28,19,9,2,72,28,3,9,9,9,6,9,6,0,1,0,19,0.8
74,3,28,19,9,2,73,28,3,9,9,9,6,9,6,0,1,0,19,0.8
75,3,28,19,9,2,74,28,3,9,9,9,6,9,6,0,1,0,19,0.8
77,3,28,19,9,2,75,28,3,9,9,9,6,9,6,0,1,0,19,0.8
78,3,28,19,9,2,76,28,3,9,9,9,6,9,6,0,1,0,19,0.8
79,3,28,19,9,2,77,28,3,9,9,9,6,9,6,0,1,0,19,0.8
80,3,28,19,9,2,78,28,3,9,9,9,6,9,6,0,1,0,19,0.8
81,3,28,19,9,2,79,28,3,9,9,9,6,9,6,0,1,0,19,0.8
82,3,28,19,9,2,80,28,3,9,9,9,6,9,6,0,1,0,19,0.8
83,3,28,19,9,2,81,28,3,9,9,9,6,9,6,0,1,0,19,0.8
84,3,28,19,9,2,82,28,3,9,9,9,6,9,6,0,1,0,19,0.8
85,3,28,19,9,2,83,28,3,9,9,9,6,9,6,0,1,0,19,0.8
86,3,28,19,9,2,84,28,3,9,9,9,6,9,6,0,1,0,19,0.8
87,3,28,19,9,2,85,28,3,9,9,9,6,9,6,0,1,0,19,0.8
88,3,28,19,9,2,86,28,3,9,9,9,6,9,6,0,1,0,19,0.8
89,3,28,19,9,2,87,28,3,9,9,9,6,9,6,0,1,0,19,0.8
90,3,28,19,9,2,88,28,3,9,9,9,6,9,6,0,1,0,19,0.8
91,3,28,19,9,2,89,28,3,9,9,9,6,9,6,0,1,0,19,0.8
92,3,28,19,9,2,90,28,3,9,9,9,6,9,6,0,1,0,19,0.8
93,3,28,19,9,2,91,28,3,9,9,9,6,9,6,0,1,0,19,0.8
94,3,28,19,9,2,92,28,3,9,9,9,6,9,6,0,1,0,19,0.8
95,3,28,19,9,2,93,28,3,9,9,9,6,9,6,0,1,0,19,0.8
96,3,28,19,9,2,94,28,3,9,9,9,6,9,6,0,1,0,19,0.8
97,3,28,19,9,2,95,28,3,9,9,9,6,9,6,0,1,0,19,0.8
98,3,28,19,9,2,96,28,3,9,9,9,6,9,6,0,1,0,19,0.8
99,3,28,19,9,2,97,28,3,9,9,9,6,9,6,0,1,0,19,0.8
100,3,28,19,10,2,98,28,3,10,10,10,5,10,5,0,1,0,18,0.504
101,4,28,17,1,1,99,28,4,1,1,1,22,1,22,0,1,0,16,0.728
102,4,28,17,1,1,100,28,4,1,1,1,22,1,22,0,1,0,16,0.728
103,4,28,17,1,1,101,28,4,1,1,1,22,1,22,0,1,0,16,0.728
104,4,28,17,1,1,102,28,4,1,1,1,22,1,22,0,1,0,16,0.728
105,4,28,17,1,1,103,28,4,1,1,1,22,1,22,0,1,0,16,0.728
106,4,28,17,1,1,104,28,4,1,1,1,22,1,22,0,1,0,16,0.728
107,4,28,17,1,1,105,28,4,1,1,1,22,1,22,0,1,0,16,0.728
108,5,28,13,3,3,106,28,5,3,3,3,1,3,1,0,1,0,13,0.741
109,5,28,13,3,3,107,28,5,3,3,3,1,3,1,0,1,0,13,0.741
110,5,28,13,3,3,108,28,5,3,3,3,1,3,1,0,1,0,13,0.741
111,5,28,13,3,3,109,28,5,3,3,3,1,3,1,0,1,0,13,0.741
112,5,28,13,3,3,110,28,5,3,3,3,1,3,1,0,1,0,13,0.741
113,5,28,13,3,3,111,28,5,3,3,3,1,3,1,0,1,0,13,0.741
114,5,28,13,3,3,112,28,5,3,3,3,1,3,1,0,1,0,13,0.741
115,5,28,13,3,3,113,28,5,3,3,3,1,3,1,0,1,0,13,0.741
116,6,28,16,1,1,114,28,6,1,1,1,2,1,2,0,1,0,16,0.728
117,6,28,16,1,1,115,28,6,1,1,1,2,1,2,0,1,0,16,0.728
118,6,28,16,1,1,116,28,6,1,1,1,2,1,2,0,1,0,16,0.728
119,6,28,16,1,1,117,28,6,1,1,1,2,1,2,0,1,0,16,0.728
120,6,28,16,1,1,118,28,6,1,1,1,2,1,2,0,1,0,16,0.728
121,6,28,16,1,1,119,28,6,1,1,1,2,1,2,0,1,0,16,0.728
122,6,28,16,1,1,120,28,6,1,1,1,2,1,2,0,1,0,16,0.728
123,6,28,16,1,1,121,28,6,1,1,1,2,1,2,0,1,0,16,0.728
124,6,28,16,1,1,122,28,6,1,1,1,2,1,2,0,1,0,16,0.728
125,7,28,4,12,7,123,28,7,12,12,12,10,12,10,0,1,0,4,0.604
126,7,28,4,12,7,124,28,7,12,12,12,10,12,10,0,1,0,4,0.604
127,7,28,4,12,7,125,28,7,12,12,12,10,12,10,0,1,0,4,0.604
128,7,28,4,12,7,126,28,7,12,12,12,10,12,10,0,1,0,4,0.604
129,7,28,4,12,7,127,28,7,12,12,12,10,12,10,0,1,0,4,0.604
130,7,28,4,12,7,128,28,7,12,12,12,10,12,10,0,1,0,4,0.604
131,7,28,4,12,7,129,28,7,12,12,12,10,12,10,0,1,0,4,0.604
132,7,28,4,12,7,130,28,7,12,12,12,10,12,10,0,1,0,4,0.604
133,7,28,4,12,7,131,28,7,12,12,12,10,12,10,0,1,0,4,0.604
134,7,28,4,12,7,132,28,7,12,12,12,10,12,10,0,1,0,4,0.604
135,7,28,4,12,7,133,28,7,12,12,12,10,12,10,0,1,0,4,0.604
136,7,28,4,12,7,134,28,7,12,12,12,10,12,10,0,1,0,4,0.604
137,7,28,4,12,7,135,28,7,12,12,12,10,12,10,0,1,0,4,0.604
138,7,28,4,12,7,136,28,7,12,12,12,10,12,10,0,1,0,4,0.604
139,7,28,4,12,7,137,28,7,12,12,12,10,12,10,0,1,0,4,0.604
140,7,28,4,12,7,138,28,7,12,12,12,10,12,10,0,1,0,4,0.604
141,7,28,4,12,7,139,28,7,12,12,12,10,12,10,0,1,0,4,0.604
142,7,28,4,12,7,140,28,7,12,12,12,10,12,10,0,1,0,4,0.604
143,8,28,16,1,1,141,28,8,1,1,1,2,1,2,0,1,0,16,0.728
144,8,28,16,1,1,142,28,8,1,1,1,2,1,2,0,1,0,16,0.728
145,8,28,16,1,1,143,28,8,1,1,1,2,1,2,0,1,0,16,0.728
146,8,28,16,1,1,144,28,8,1,1,1,2,1,2,0,1,0,16,0.728
147,8,28,16,1,1,145,28,8,1,1,1,2,1,2,0,1,0,16,0.728
148,8,28,16,1,1,146,28,8,1,1,1,2,1,2,0,1,0,16,0.728
149,8,28,16,1,1,147,28,8,1,1,1,2,1,2,0,1,0,16,0.728
150,8,28,16,1,1,148,28,8,1,1,1,2,1,2,0,1,0,16,0.728
151,9,28,19,9,2,149,28,9,9,9,9,6,9,6,0,1,0,19,0.8
152,9,28,19,9,2,150,28,9,9,9,9,6,9,6,0,1,0,19,0.8
153,9,28,19,9,2,151,28,9,9,9,9,6,9,6,0,1,0,19,0.8
154,9,28,19,9,2,152,28,9,9,9,9,6,9,6,0,1,0,19,0.8
155,9,28,19,9,2,153,28,9,9,9,9,6,9,6,0,1,0,19,0.8
156,9,28,19,9,2,154,28,9,9,9,9,6,9,6,0,1,0,19,0.8
157,9,28,19,9,2,155,28,9,9,9,9,6,9,6,0,1,0,19,0.8
158,9,28,19,9,2,156,28,9,9,9,9,7,9,7,0,1,0,19,0.8
159,9,28,19,9,2,157,28,9,9,9,9,7,9,7,0,1,0,19,0.8
160,9,28,19,8,2,158,28,9,8,8,8,7,8,7,0,1,0,20,0.947
161,9,28,19,9,2,159,28,9,9,9,9,7,9,7,0,1,0,19,0.8
162,9,28,19,8,2,160,28,9,8,8,8,7,8,7,0,1,0,20,0.947
163,9,28,19,9,2,161,28,9,9,9,9,6,9,6,0,1,0,19,0.8
164,9,28,19,9,2,162,28,9,9,9,9,7,9,7,0,1,0,19,0.8
165,9,28,19,9,2,163,28,9,9,9,9,6,9,6,0,1,0,19,0.8
166,9,28,19,8,2,164,28,9,8,8,8,7,8,7,0,1,0,20,0.947
167,9,28,19,8,2,165,28,9,8,8,8,7,8,7,0,1,0,20,0.947
168,9,28,19,8,2,166,28,9,8,8,8,7,8,7,0,1,0,20,0.947
169,9,28,20,8,2,167,28,9,8,8,8,7,8,7,0,1,0,20,0.947
170,9,28,20,8,2,168,28,9,8,8,8,7,8,7,0,1,0,20,0.947
171,9,28,20,8,4,169,28,9,8,8,8,7,8,7,0,1,0,20,0.947
172,9,28,20,8,2,170,28,9,8,8,8,7,8,7,0,1,0,20,0.947
173,9,28,20,8,2,171,28,9,8,8,8,7,8,7,0,1,0,20,0.947
174,9,28,20,8,2,172,28,9,8,8,8,7,8,7,0,1,0,20,0.947
175,9,28,20,8,2,173,28,9,8,8,8,7,8,7,0,1,0,20,0.947
177,9,28,20,8,2,174,28,9,8,8,8,7,8,7,0,1,0,20,0.947
178,9,28,20,8,2,175,28,9,8,8,8,7,8,7,0,1,0,20,0.947
179,9,28,20,8,2,176,28,9,8,8,8,7,8,7,0,1,0,20,0.947
180,9,28,20,8,4,177,28,9,8,8,8,7,8,7,0,1,0,20,0.947
181,9,28,20,8,4,178,28,9,8,8,8,7,8,7,0,1,0,20,0.947
182,9,28,20,8,4,179,28,9,8,8,8,7,8,7,0,1,0,20,0.947
183,9,28,20,8,4,180,28,9,8,8,8,7,8,7,0,1,0,20,0.947
184,9,28,20,8,4,181,28,9,8,8,8,7,8,7,0,1,0,20,0.947
185,9,28,20,8,4,182,28,9,8,8,8,7,8,7,0,1,0,20,0.947
186,9,28,20,8,4,183,28,9,8,8,8,7,8,7,0,1,0,20,0.947
187,9,28,20,8,2,184,28,9,8,8,8,7,8,7,0,1,0,20,0.947
188,9,28,20,8,2,185,28,9,8,8,8,7,8,7,0,1,0,20,0.947
189,9,28,20,8,2,186,28,9,8,8,8,7,8,7,0,1,0,20,0.947
190,9,28,20,8,2,187,28,9,8,8,8,7,8,7,0,1,0,20,0.947
191,9,28,20,8,2,188,28,9,8,8,8,7,8,7,0,1,0,20,0.947
192,9,28,20,8,2,189,28,9,8,8,8,7,8,7,0,1,0,20,0.947
193,9,28,20,8,2,190,28,9,8,8,8,7,8,7,0,1,0,20,0.947
194,9,28,20,8,2,191,28,9,8,8,8,7,8,7,0,1,0,20,0.947
195,9,28,20,8,2,192,28,9,8,8,8,7,8,7,0,1,0,20,0.947
196,9,28,20,8,2,193,28,9,8,8,8,7,8,7,0,1,0,20,0.947
197,9,28,20,8,4,194,28,9,8,8,8,7,8,7,0,1,0,20,0.947
198,9,28,20,8,4,195,28,9,8,8,8,7,8,7,0,1,0,20,0.947
199,9,28,20,8,4,196,28,9,8,8,8,7,8,7,0,1,0,20,0.947
200,9,28,20,8,4,197,28,9,8,8,8,7,8,7,0,1,0,20,0.947
201,9,28,20,8,2,198,28,9,8,8,8,7,8,7,0,1,0,20,0.947
202,9,28,20,8,2,199,28,9,8,8,8,7,8,7,0,1,0,20,0.947
203,9,28,20,8,2,200,28,9,8,8,8,7,8,7,0,1,0,20,0.947
204,9,28,20,8,2,201,28,9,8,8,8,7,8,7,0,1,0,20,0.947
205,9,28,20,8,2,202,28,9,8,8,8,7,8,7,0,1,0,20,0.947
206,9,28,20,8,2,203,28,9,8,8,8,7,8,7,0,1,0,20,0.947
207,9,28,20,8,2,204,28,9,8,8,8,7,8,7,0,1,0,20,0.947
208,9,28,20,8,2,205,28,9,8,8,8,7,8,7,0,1,0,20,0.947
209,9,28,20,8,2,206,28,9,8,8,8,7,8,7,0,1,0,20,0.947
210,9,28,20,8,2,207,28,9,8,8,8,7,8,7,0,1,0,20,0.947
211,9,28,20,8,2,208,28,9,8,8,8,7,8,7,0,1,0,20,0.947
212,9,28,20,8,4,209,28,9,8,8,8,7,8,7,0,1,0,20,0.947
213,9,28,20,8,4,210,28,9,8,8,8,7,8,7,0,1,0,20,0.947
214,9,28,20,8,4,211,28,9,8,8,8,7,8,7,0,1,0,20,0.947
215,9,28,20,8,4,212,28,9,8,8,8,7,8,7,0,1,0,20,0.947
216,9,28,20,8,4,213,28,9,8,8,8,7,8,7,0,1,0,20,0.947
217,9,28,20,8,4,214,28,9,8,8,8,7,8,7,0,1,0,20,0.947
218,9,28,20,8,2,215,28,9,8,8,8,7,8,7,0,1,0,20,0.947
219,9,28,20,8,2,216,28,9,8,8,8,7,8,7,0,1,0,20,0.947
220,9,28,20,8,2,217,28,9,8,8,8,7,8,7,0,1,0,20,0.947
221,9,28,20,8,2,218,28,9,8,8,8,7,8,7,0,1,0,20,0.947
222,9,28,20,8,2,219,28,9,8,8,8,7,8,7,0,1,0,20,0.947
223,9,28,20,8,2,220,28,9,8,8,8,7,8,7,0,1,0,20,0.947
224,9,28,20,8,2,221,28,9,8,8,8,7,8,7,0,1,0,20,0.947
225,9,28,20,8,4,222,28,9,8,8,8,7,8,7,0,1,0,20,0.947
226,9,28,20,8,4,223,28,9,8,8,8,7,8,7,0,1,0,20,0.947
227,9,28,20,8,4,224,28,9,8,8,8,7,8,7,0,1,0,20,0.947
228,9,28,20,8,4,225,28,9,8,8,8,7,8,7,0,1,0,20,0.947
229,9,28,20,8,4,226,28,9,8,8,8,7,8,7,0,1,0,20,0.947
230,9,28,20,8,4,227,28,9,8,8,8,7,8,7,0,1,0,20,0.947
231,9,28,20,8,4,228,28,9,8,8,8,7,8,7,0,1,0,20,0.947
232,9,28,20,8,4,229,28,9,8,8,8,7,8,7,0,1,0,20,0.947
233,9,28,20,8,2,230,28,9,8,8,8,7,8,7,0,1,0,20,0.947
234,9,28,20,8,2,231,28,9,8,8,8,7,8,7,0,1,0,20,0.947
235,9,28,20,8,2,232,28,9,8,8,8,7,8,7,0,1,0,20,0.947
236,9,28,20,8,4,233,28,9,8,8,8,7,8,7,0,1,0,20,0.947
237,9,28,20,8,4,234,28,9,8,8,8,7,8,7,0,1,0,20,0.947
238,9,28,20,8,4,235,28,9,8,8,8,7,8,7,0,1,0,20,0.947
239,9,28,20,8,4,236,28,9,8,8,8,7,8,7,0,1,0,20,0.947
240,9,28,20,8,4,237,28,9,8,8,8,7,8,7,0,1,0,20,0.947
241,9,28,20,8,4,238,28,9,8,8,8,7,8,7,0,1,0,20,0.947
242,9,28,20,8,4,239,28,9,8,8,8,7,8,7,0,1,0,20,0.947
