"seccion","munn","edon","disloc2016","disloc2013","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,29,8,3,10,8,1538,3,0.814544166458943
2,1,29,8,3,10,8,3949,3,0.814544166458943
3,1,29,8,3,10,8,3848,3,0.814544166458943
4,1,29,8,3,10,8,832,3,0.814544166458943
5,2,29,8,2,7,8,3165,3,0.814544166458943
6,2,29,8,2,7,8,1143,3,0.814544166458943
7,2,29,8,2,7,8,442,3,0.814544166458943
8,2,29,8,2,7,8,2704,3,0.814544166458943
9,2,29,8,2,7,8,2223,3,0.814544166458943
10,2,29,8,2,7,8,3402,3,0.814544166458943
11,2,29,8,2,7,8,1057,3,0.814544166458943
12,3,29,4,15,8,4,1335,15,0.276267877412032
13,3,29,4,16,8,4,2516,15,0.276267877412032
14,3,29,4,16,8,4,6027,15,0.276267877412032
15,3,29,4,16,8,4,2090,15,0.276267877412032
16,3,29,4,15,8,4,1791,15,0.276267877412032
17,3,29,4,15,8,4,1501,15,0.276267877412032
18,3,29,4,15,8,4,1086,15,0.276267877412032
19,3,29,4,16,8,4,1037,15,0.276267877412032
20,3,29,4,16,8,4,1350,15,0.276267877412032
21,3,29,4,16,8,4,568,15,0.276267877412032
22,3,29,4,16,8,4,1785,15,0.276267877412032
23,3,29,4,15,8,4,587,15,0.276267877412032
24,3,29,4,15,8,4,923,15,0.276267877412032
25,3,29,4,15,8,4,1815,15,0.276267877412032
26,3,29,4,15,8,4,1805,15,0.276267877412032
27,3,29,4,15,8,4,2139,15,0.276267877412032
28,3,29,4,16,8,4,1606,15,0.276267877412032
29,3,29,4,16,8,4,2046,15,0.276267877412032
30,3,29,4,16,8,4,8534,15,0.276267877412032
31,3,29,4,16,8,4,3486,15,0.276267877412032
32,3,29,4,16,8,4,2342,15,0.276267877412032
33,3,29,4,15,8,4,3127,15,0.276267877412032
34,3,29,4,15,8,4,1046,15,0.276267877412032
35,3,29,4,15,8,4,1691,15,0.276267877412032
36,3,29,4,15,8,4,1986,15,0.276267877412032
