"seccion","munn","edon","disloc2016","disloc2007","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,30,1,10,20,1,2034,10,0.0348736387841861
2,1,30,1,10,20,1,2071,10,0.0348736387841861
3,1,30,1,10,20,1,3024,10,0.0348736387841861
4,1,30,1,10,20,1,1085,10,0.0348736387841861
5,2,30,2,10,23,2,1557,10,0.0351277362635936
6,2,30,2,10,23,2,1557,10,0.0351277362635936
7,3,30,3,10,13,3,4453,10,0.026506238953856
8,3,30,3,20,13,3,2056,10,0.026506238953856
9,3,30,3,NA,13,3,3599,10,0.026506238953856
10,3,30,3,10,13,3,3201,10,0.026506238953856
11,3,30,3,10,13,3,1192,10,0.026506238953856
12,3,30,3,10,13,3,1392,10,0.026506238953856
13,3,30,3,10,13,3,1029,10,0.026506238953856
14,3,30,3,10,13,3,2901,10,0.026506238953856
15,3,30,3,8,13,3,1839,10,0.026506238953856
16,3,30,3,12,13,3,1137,10,0.026506238953856
17,3,30,3,10,13,3,419,10,0.026506238953856
18,3,30,3,10,13,3,994,10,0.026506238953856
19,3,30,3,10,13,3,713,10,0.026506238953856
20,3,30,3,10,13,3,862,10,0.026506238953856
21,3,30,3,10,13,3,885,10,0.026506238953856
22,3,30,3,10,13,3,2884,10,0.026506238953856
23,3,30,3,8,13,3,1928,10,0.026506238953856
24,3,30,3,10,13,3,2207,10,0.026506238953856
25,3,30,3,10,13,3,2300,10,0.026506238953856
26,3,30,3,10,13,3,2641,10,0.026506238953856
27,3,30,3,10,13,3,2118,10,0.026506238953856
28,3,30,3,12,13,3,1513,10,0.026506238953856
29,3,30,3,10,13,3,986,10,0.026506238953856
30,3,30,3,10,13,3,1511,10,0.026506238953856
31,3,30,3,10,13,3,2194,10,0.026506238953856
32,3,30,3,10,13,3,2712,10,0.026506238953856
33,3,30,3,10,13,3,989,10,0.026506238953856
34,3,30,3,10,13,3,2187,10,0.026506238953856
35,3,30,3,NA,13,3,1585,10,0.026506238953856
36,3,30,3,10,13,3,2338,10,0.026506238953856
37,3,30,3,10,13,3,3004,10,0.026506238953856
38,3,30,3,28,13,3,2779,10,0.026506238953856
39,3,30,3,28,13,3,2329,10,0.026506238953856
40,3,30,3,10,13,3,1521,10,0.026506238953856
41,3,30,3,10,13,3,1598,10,0.026506238953856
42,3,30,3,10,13,3,3315,10,0.026506238953856
43,3,30,3,10,13,3,3984,10,0.026506238953856
44,3,30,3,10,13,3,2545,10,0.026506238953856
45,3,30,3,10,13,3,3566,10,0.026506238953856
46,3,30,3,10,13,3,1473,10,0.026506238953856
47,4,30,4,10,8,4,2328,10,0.030587364652215
48,4,30,4,10,8,4,1528,10,0.030587364652215
49,4,30,4,10,8,4,1301,10,0.030587364652215
50,4,30,4,10,8,4,1369,10,0.030587364652215
51,4,30,4,10,8,4,2002,10,0.030587364652215
52,4,30,4,10,8,4,2527,10,0.030587364652215
53,4,30,4,10,8,4,1327,10,0.030587364652215
54,4,30,4,10,8,4,433,10,0.030587364652215
55,4,30,4,10,8,4,969,10,0.030587364652215
56,4,30,4,10,8,4,675,10,0.030587364652215
57,4,30,4,10,8,4,999,10,0.030587364652215
58,4,30,4,10,8,4,425,10,0.030587364652215
59,4,30,4,10,8,4,563,10,0.030587364652215
60,4,30,4,10,8,4,1208,10,0.030587364652215
61,4,30,4,10,8,4,1247,10,0.030587364652215
62,4,30,4,10,8,4,469,10,0.030587364652215
63,4,30,4,10,8,4,1130,10,0.030587364652215
64,4,30,4,10,8,4,385,10,0.030587364652215
65,4,30,4,10,8,4,810,10,0.030587364652215
66,4,30,4,10,8,4,910,10,0.030587364652215
67,4,30,4,10,8,4,991,10,0.030587364652215
68,4,30,4,10,8,4,1551,10,0.030587364652215
69,4,30,4,10,8,4,1650,10,0.030587364652215
70,4,30,4,10,8,4,1725,10,0.030587364652215
71,4,30,4,10,8,4,1143,10,0.030587364652215
72,4,30,4,10,8,4,696,10,0.030587364652215
73,4,30,4,10,8,4,750,10,0.030587364652215
74,4,30,4,10,8,4,981,10,0.030587364652215
75,4,30,4,10,8,4,1113,10,0.030587364652215
76,4,30,4,10,8,4,1864,10,0.030587364652215
77,4,30,4,10,8,4,1156,10,0.030587364652215
78,4,30,4,10,8,4,311,10,0.030587364652215
79,4,30,4,10,8,4,694,10,0.030587364652215
80,4,30,4,10,8,4,296,10,0.030587364652215
81,4,30,4,10,8,4,443,10,0.030587364652215
82,4,30,4,10,8,4,239,10,0.030587364652215
83,4,30,4,20,8,4,1113,10,0.030587364652215
84,4,30,4,20,8,4,1368,10,0.030587364652215
85,5,30,11,20,22,11,1515,10,0.0383018202390572
86,5,30,11,20,22,11,1244,10,0.0383018202390572
87,5,30,11,10,22,11,287,10,0.0383018202390572
88,5,30,11,10,22,11,498,10,0.0383018202390572
89,5,30,11,NA,22,11,286,10,0.0383018202390572
90,5,30,11,NA,22,11,10,10,0.0383018202390572
91,5,30,11,NA,22,11,898,10,0.0383018202390572
92,6,30,6,NA,15,6,3603,10,0.0374651093929494
93,6,30,6,NA,15,6,1656,10,0.0374651093929494
94,6,30,6,NA,15,6,1354,10,0.0374651093929494
95,6,30,6,NA,15,6,1758,10,0.0374651093929494
96,6,30,6,NA,15,6,675,10,0.0374651093929494
97,6,30,6,NA,15,6,1728,10,0.0374651093929494
98,6,30,6,NA,15,6,2167,10,0.0374651093929494
99,6,30,6,NA,15,6,1111,10,0.0374651093929494
100,6,30,6,13,15,6,1272,10,0.0374651093929494
101,6,30,6,10,15,6,1911,10,0.0374651093929494
102,6,30,6,10,15,6,389,10,0.0374651093929494
103,6,30,6,10,15,6,748,10,0.0374651093929494
104,6,30,6,10,15,6,839,10,0.0374651093929494
105,6,30,6,10,15,6,1633,10,0.0374651093929494
106,7,30,7,10,14,7,2418,10,0.0324173337550792
107,7,30,7,10,14,7,2728,10,0.0324173337550792
108,7,30,7,10,14,7,1109,10,0.0324173337550792
109,8,30,8,10,25,8,1457,10,0.0396361325125296
110,8,30,8,10,25,8,2625,10,0.0396361325125296
111,8,30,8,10,25,8,1321,10,0.0396361325125296
112,8,30,8,10,25,8,1764,10,0.0396361325125296
113,8,30,8,10,25,8,992,10,0.0396361325125296
114,8,30,8,10,25,8,1737,10,0.0396361325125296
115,8,30,8,10,25,8,1576,10,0.0396361325125296
116,8,30,8,10,25,8,1903,10,0.0396361325125296
117,8,30,8,10,25,8,1358,10,0.0396361325125296
118,8,30,8,10,25,8,1816,10,0.0396361325125296
119,8,30,8,10,25,8,1395,10,0.0396361325125296
120,8,30,8,10,25,8,2194,10,0.0396361325125296
121,8,30,8,10,25,8,4750,10,0.0396361325125296
122,8,30,8,10,25,8,810,10,0.0396361325125296
123,8,30,8,10,25,8,1281,10,0.0396361325125296
124,8,30,8,10,25,8,773,10,0.0396361325125296
125,8,30,8,10,25,8,710,10,0.0396361325125296
126,8,30,8,10,25,8,751,10,0.0396361325125296
127,8,30,8,10,25,8,199,10,0.0396361325125296
128,8,30,8,10,25,8,1408,10,0.0396361325125296
129,8,30,8,10,25,8,2109,10,0.0396361325125296
130,8,30,8,10,25,8,2390,10,0.0396361325125296
131,8,30,8,10,25,8,1346,10,0.0396361325125296
132,8,30,8,10,25,8,1063,10,0.0396361325125296
133,8,30,8,10,25,8,1403,10,0.0396361325125296
