"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2007","disloc2016","X","edon.y","munn.y","escenario1","escenario2","escenario3","iee1","panal_cnv1","pan_cnv1","pan_clv2","pan_cnv2","pri_clv2","esc1_IEE1","esc1_panalCNV1","esc1_panalCNV1.1","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E3"
1,1,30,"ver",5,9,9,9,10,1,1,30,1,20,1,1,20,20,1,1,1,1,1,1,1,1,1,1,10,0.028
2,1,30,"ver",5,9,9,9,10,1,2,30,1,20,1,1,20,20,1,1,1,1,1,1,1,1,1,1,10,0.028
3,1,30,"ver",5,9,9,9,10,1,3,30,1,20,1,1,20,20,1,1,1,1,1,1,1,1,1,1,10,0.028
4,1,30,"ver",5,9,9,9,10,1,4,30,1,20,1,1,20,20,1,1,1,1,1,1,1,1,1,1,10,0.028
5,2,30,"ver",6,8,8,8,10,2,5,30,2,23,2,2,23,23,2,2,2,2,1,1,1,1,1,1,10,0.047
6,2,30,"ver",6,8,8,8,10,2,6,30,2,23,2,2,23,23,2,2,2,2,1,1,1,1,1,1,10,0.047
7,3,30,"ver",13,20,20,17,10,3,7,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
8,3,30,"ver",13,20,20,17,20,3,8,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
9,3,30,"ver",13,20,20,17,NA,3,9,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
10,3,30,"ver",13,20,20,17,10,3,10,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
11,3,30,"ver",13,20,20,17,10,3,11,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
12,3,30,"ver",13,20,20,17,10,3,12,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
13,3,30,"ver",13,20,20,17,10,3,13,30,3,13,3,3,13,13,3,3,3,3,1,1,1,1,1,1,10,0.025
