"seccion","munn","edon","disloc2017","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,31,1,8,8,1,1645,8,0.979897888826871
2,1,31,1,8,8,1,276,8,0.979897888826871
3,1,31,1,8,8,1,271,8,0.979897888826871
4,1,31,1,8,8,1,1346,8,0.979897888826871
5,1,31,1,8,8,1,2323,8,0.979897888826871
6,1,31,1,8,8,1,494,8,0.979897888826871
7,2,31,2,14,8,2,2691,14,0.16914155049865
8,2,31,2,14,8,2,2597,14,0.16914155049865
9,2,31,2,14,8,2,3782,14,0.16914155049865
10,2,31,2,14,8,2,2902,14,0.16914155049865
11,2,31,2,14,8,2,935,14,0.16914155049865
12,2,31,2,14,8,2,1660,14,0.16914155049865
13,2,31,2,14,8,2,769,14,0.16914155049865
14,3,31,3,12,7,3,1925,12,0.950068812850891
15,3,31,3,12,7,3,2101,12,0.950068812850891
16,3,31,3,12,7,3,2083,12,0.950068812850891
17,3,31,3,12,7,3,2594,12,0.950068812850891
18,3,31,3,12,7,3,1644,12,0.950068812850891
20,4,31,4,9,3,4,1807,9,0.935374174480972
21,4,31,4,9,3,4,1258,9,0.935374174480972
22,4,31,4,9,3,4,921,9,0.935374174480972
23,4,31,4,9,3,4,813,9,0.935374174480972
24,4,31,4,9,3,4,882,9,0.935374174480972
25,5,31,5,9,6,5,999,15,0.21052169087041
26,5,31,5,9,6,5,1054,15,0.21052169087041
27,6,31,5,10,6,5,2149,15,0.21052169087041
28,6,31,5,10,6,5,2399,15,0.21052169087041
29,6,31,5,10,6,5,1746,15,0.21052169087041
30,6,31,5,10,6,5,1256,15,0.21052169087041
31,6,31,5,10,6,5,468,15,0.21052169087041
32,6,31,5,10,6,5,621,15,0.21052169087041
33,7,31,5,9,6,5,1214,15,0.21052169087041
34,7,31,5,9,6,5,1984,15,0.21052169087041
35,7,31,5,9,6,5,1640,15,0.21052169087041
36,7,31,5,9,6,5,1965,15,0.21052169087041
37,8,31,6,11,4,6,1489,10,0.531111453566941
38,8,31,6,11,4,6,1325,10,0.531111453566941
39,8,31,6,11,4,6,471,10,0.531111453566941
40,8,31,6,11,4,6,948,10,0.531111453566941
41,9,31,5,10,6,5,1058,15,0.21052169087041
42,9,31,5,10,6,5,976,15,0.21052169087041
43,9,31,5,10,6,5,1070,15,0.21052169087041
44,9,31,5,10,6,5,1191,15,0.21052169087041
45,9,31,5,10,6,5,213,15,0.21052169087041
46,9,31,5,10,6,5,189,15,0.21052169087041
47,10,31,7,15,9,7,1711,15,0.299056764361313
48,10,31,7,15,9,7,428,15,0.299056764361313
49,10,31,7,15,9,7,268,15,0.299056764361313
50,11,31,1,8,5,1,1253,8,0.979897888826871
51,11,31,1,8,5,1,3135,8,0.979897888826871
52,11,31,1,8,5,1,900,8,0.979897888826871
53,11,31,1,8,5,1,1543,8,0.979897888826871
54,12,31,5,15,6,5,538,15,0.21052169087041
55,12,31,5,15,6,5,1028,15,0.21052169087041
56,12,31,5,15,6,5,972,15,0.21052169087041
57,12,31,5,15,6,5,759,15,0.21052169087041
58,12,31,5,15,6,5,401,15,0.21052169087041
59,13,31,4,9,3,4,2209,9,0.935374174480972
60,13,31,4,9,3,4,1568,9,0.935374174480972
61,13,31,4,9,3,4,2319,9,0.935374174480972
62,13,31,4,9,3,4,1319,9,0.935374174480972
63,13,31,4,9,3,4,139,9,0.935374174480972
64,13,31,4,9,3,4,1591,9,0.935374174480972
65,14,31,8,15,9,8,1314,11,0.771659886682157
66,14,31,8,15,9,8,198,11,0.771659886682157
67,15,31,7,14,8,7,1480,15,0.299056764361313
68,15,31,7,14,8,7,2602,15,0.299056764361313
69,15,31,7,14,8,7,886,15,0.299056764361313
70,16,31,3,12,9,3,2821,12,0.950068812850891
71,17,31,7,15,9,7,1703,15,0.299056764361313
72,17,31,7,15,9,7,1124,15,0.299056764361313
73,17,31,7,15,9,7,867,15,0.299056764361313
74,17,31,7,15,9,7,789,15,0.299056764361313
75,18,31,9,12,8,9,652,13,0.928134195660042
76,18,31,9,13,8,9,1498,13,0.928134195660042
77,18,31,9,13,8,9,885,13,0.928134195660042
78,19,31,8,11,1,8,4761,11,0.771659886682157
79,19,31,8,11,1,8,2999,11,0.771659886682157
80,19,31,8,11,1,8,2562,11,0.771659886682157
81,19,31,8,11,1,8,4229,11,0.771659886682157
82,19,31,8,11,1,8,2096,11,0.771659886682157
83,19,31,8,11,1,8,2984,11,0.771659886682157
84,19,31,8,11,1,8,2262,11,0.771659886682157
85,19,31,8,11,1,8,1202,11,0.771659886682157
86,19,31,8,11,1,8,3574,11,0.771659886682157
87,19,31,8,11,1,8,919,11,0.771659886682157
88,19,31,8,11,1,8,2614,11,0.771659886682157
89,19,31,8,11,1,8,2675,11,0.771659886682157
90,19,31,8,11,1,8,1244,11,0.771659886682157
91,20,31,4,9,3,4,2469,9,0.935374174480972
92,20,31,4,9,3,4,1639,9,0.935374174480972
93,21,31,8,11,1,8,1884,11,0.771659886682157
94,21,31,8,11,1,8,1894,11,0.771659886682157
95,21,31,8,11,1,8,1772,11,0.771659886682157
96,21,31,8,11,1,8,969,11,0.771659886682157
97,21,31,8,11,1,8,605,11,0.771659886682157
98,21,31,8,11,1,8,818,11,0.771659886682157
99,22,31,8,15,9,8,2699,11,0.771659886682157
101,22,31,8,15,9,8,596,11,0.771659886682157
102,22,31,8,15,9,8,942,11,0.771659886682157
103,23,31,1,8,5,1,1415,8,0.979897888826871
104,23,31,1,8,5,1,1373,8,0.979897888826871
105,23,31,1,8,5,1,1742,8,0.979897888826871
106,24,31,9,14,8,9,1443,13,0.928134195660042
107,24,31,9,14,8,9,1705,13,0.928134195660042
108,25,31,9,13,7,9,2462,13,0.928134195660042
109,25,31,9,13,7,9,2491,13,0.928134195660042
110,26,31,4,9,3,4,1071,9,0.935374174480972
111,26,31,4,9,3,4,1055,9,0.935374174480972
112,26,31,4,9,3,4,1282,9,0.935374174480972
113,26,31,4,9,3,4,69,9,0.935374174480972
114,27,31,5,10,6,5,1361,15,0.21052169087041
115,27,31,5,10,6,5,1936,15,0.21052169087041
116,27,31,5,10,6,5,1407,15,0.21052169087041
117,27,31,5,10,6,5,2185,15,0.21052169087041
118,27,31,5,10,6,5,1245,15,0.21052169087041
120,28,31,5,10,6,5,1102,15,0.21052169087041
121,28,31,5,10,6,5,1357,15,0.21052169087041
122,29,31,5,10,6,5,1196,15,0.21052169087041
123,29,31,5,10,6,5,1408,15,0.21052169087041
124,29,31,5,10,6,5,1119,15,0.21052169087041
125,29,31,5,10,6,5,1260,15,0.21052169087041
126,29,31,5,10,6,5,917,15,0.21052169087041
127,30,31,7,15,9,7,877,15,0.299056764361313
128,30,31,7,15,9,7,747,15,0.299056764361313
129,30,31,7,15,9,7,1261,15,0.299056764361313
130,30,31,7,15,9,7,641,15,0.299056764361313
131,31,31,5,10,6,5,1011,15,0.21052169087041
132,31,31,5,10,6,5,1309,15,0.21052169087041
133,31,31,5,10,6,5,452,15,0.21052169087041
134,32,31,6,15,4,6,2592,10,0.531111453566941
135,32,31,6,15,4,6,2056,10,0.531111453566941
136,32,31,6,15,4,6,1811,10,0.531111453566941
137,32,31,6,15,4,6,2517,10,0.531111453566941
138,32,31,6,15,4,6,2980,10,0.531111453566941
139,32,31,6,15,4,6,711,10,0.531111453566941
140,32,31,6,15,4,6,576,10,0.531111453566941
141,32,31,6,15,4,6,2300,10,0.531111453566941
142,33,31,9,13,5,9,2030,13,0.928134195660042
143,33,31,9,13,5,9,1443,13,0.928134195660042
144,33,31,9,13,5,9,1764,13,0.928134195660042
145,33,31,9,13,5,9,2681,13,0.928134195660042
146,33,31,9,13,5,9,1233,13,0.928134195660042
147,33,31,9,13,5,9,294,13,0.928134195660042
148,33,31,9,13,5,9,2175,13,0.928134195660042
149,33,31,9,13,5,9,3842,13,0.928134195660042
150,33,31,9,13,5,9,1566,13,0.928134195660042
151,33,31,9,13,5,9,2042,13,0.928134195660042
152,34,31,7,14,6,7,712,15,0.299056764361313
153,34,31,7,14,6,7,1166,15,0.299056764361313
154,34,31,7,14,6,7,985,15,0.299056764361313
155,34,31,7,14,6,7,1264,15,0.299056764361313
156,34,31,7,14,6,7,1935,15,0.299056764361313
157,35,31,5,14,6,5,939,15,0.21052169087041
158,35,31,5,14,6,5,766,15,0.21052169087041
159,35,31,5,14,6,5,1815,15,0.21052169087041
160,35,31,5,14,6,5,1187,15,0.21052169087041
161,35,31,5,14,6,5,990,15,0.21052169087041
162,36,31,7,14,8,7,1031,15,0.299056764361313
163,36,31,7,14,8,7,1612,15,0.299056764361313
164,36,31,7,14,8,7,1729,15,0.299056764361313
165,36,31,7,14,8,7,1816,15,0.299056764361313
166,36,31,7,14,8,7,75,15,0.299056764361313
167,36,31,7,14,8,7,965,15,0.299056764361313
168,37,31,7,14,6,7,1908,15,0.299056764361313
