"seccion","munn","edon","disloc2016","disloc2013","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,32,14,14,1,7,409,15,0.560451166367598
2,1,32,14,14,1,7,804,15,0.560451166367598
3,1,32,14,14,1,7,1081,15,0.560451166367598
4,1,32,14,14,1,7,411,15,0.560451166367598
5,1,32,14,14,1,7,415,15,0.560451166367598
6,1,32,14,14,1,7,820,15,0.560451166367598
7,1,32,14,14,1,7,220,15,0.560451166367598
8,1,32,14,14,1,7,684,15,0.560451166367598
9,1,32,14,14,1,7,177,15,0.560451166367598
10,1,32,14,14,1,7,438,15,0.560451166367598
11,1,32,14,14,1,7,73,15,0.560451166367598
12,1,32,14,14,1,7,76,15,0.560451166367598
13,1,32,14,14,1,7,706,15,0.560451166367598
14,2,32,13,14,4,2,902,10,0.419911520943777
15,2,32,13,14,4,2,732,10,0.419911520943777
16,2,32,13,14,4,2,201,10,0.419911520943777
17,2,32,13,14,4,2,1224,10,0.419911520943777
18,2,32,13,14,4,2,954,10,0.419911520943777
19,2,32,13,14,4,2,430,10,0.419911520943777
20,2,32,13,14,4,2,531,10,0.419911520943777
21,2,32,13,14,4,2,124,10,0.419911520943777
22,3,32,14,15,1,7,714,15,0.560451166367598
23,3,32,14,15,1,7,440,15,0.560451166367598
24,3,32,14,15,1,7,563,15,0.560451166367598
25,3,32,14,15,1,7,88,15,0.560451166367598
26,3,32,14,15,1,7,350,15,0.560451166367598
27,3,32,14,15,1,7,222,15,0.560451166367598
28,3,32,14,15,1,7,216,15,0.560451166367598
29,3,32,14,15,1,7,90,15,0.560451166367598
30,3,32,14,15,1,7,9,15,0.560451166367598
31,4,32,14,15,1,7,447,15,0.560451166367598
32,4,32,14,15,1,7,683,15,0.560451166367598
33,4,32,14,15,1,7,501,15,0.560451166367598
34,4,32,14,15,1,7,533,15,0.560451166367598
35,4,32,14,15,1,7,745,15,0.560451166367598
36,4,32,14,15,1,7,393,15,0.560451166367598
37,4,32,14,15,1,7,343,15,0.560451166367598
38,4,32,14,15,1,7,487,15,0.560451166367598
39,4,32,14,15,1,7,240,15,0.560451166367598
40,5,32,2,3,15,14,5243,3,0.404537829685691
41,5,32,2,3,15,14,2705,3,0.404537829685691
42,5,32,2,3,15,14,734,3,0.404537829685691
43,5,32,2,3,15,14,740,3,0.404537829685691
44,5,32,2,3,15,14,2158,3,0.404537829685691
45,5,32,2,3,15,14,1474,3,0.404537829685691
46,5,32,2,3,15,14,832,3,0.404537829685691
47,5,32,2,3,15,14,1005,3,0.404537829685691
48,5,32,2,3,15,14,5350,3,0.404537829685691
49,5,32,2,3,15,14,676,3,0.404537829685691
50,5,32,2,3,15,14,1463,3,0.404537829685691
51,5,32,2,3,15,14,1079,3,0.404537829685691
52,5,32,2,3,15,14,579,3,0.404537829685691
53,5,32,2,3,15,14,2759,3,0.404537829685691
54,5,32,2,3,15,14,4309,3,0.404537829685691
55,5,32,2,3,15,14,2551,3,0.404537829685691
56,5,32,2,3,15,14,1929,3,0.404537829685691
57,5,32,2,3,15,14,2188,3,0.404537829685691
58,5,32,2,3,15,14,1333,3,0.404537829685691
