"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",821,5,9,"df",1,1,12,12,12,3366,0.752,0.818982423557729,0.066982423557729,0,0,0
"2",822,5,9,"df",1,1,12,12,12,2562,0.752,0.818982423557729,0.066982423557729,0,0,0
"3",823,5,9,"df",1,1,12,12,12,2648,0.752,0.818982423557729,0.066982423557729,0,0,0
"4",824,5,9,"df",1,1,12,12,12,3085,0.752,0.818982423557729,0.066982423557729,0,0,0
"5",825,5,9,"df",1,1,12,12,12,1861,0.752,0.818982423557729,0.066982423557729,0,0,0
"6",826,5,9,"df",1,1,12,12,12,1967,0.752,0.818982423557729,0.066982423557729,0,0,0
"7",827,5,9,"df",1,1,12,12,12,5014,0.752,0.818982423557729,0.066982423557729,0,0,0
"8",828,5,9,"df",1,1,12,12,12,2360,0.752,0.818982423557729,0.066982423557729,0,0,0
"9",829,5,9,"df",1,1,12,12,12,1730,0.752,0.818982423557729,0.066982423557729,0,0,0
"10",830,5,9,"df",1,1,12,12,12,2270,0.752,0.818982423557729,0.066982423557729,0,0,0
"11",831,5,9,"df",1,1,12,12,12,2440,0.752,0.818982423557729,0.066982423557729,0,0,0
"12",832,5,9,"df",1,1,12,12,12,1976,0.752,0.818982423557729,0.066982423557729,0,0,0
"13",833,5,9,"df",1,1,12,12,12,3812,0.752,0.818982423557729,0.066982423557729,0,0,0
"14",834,5,9,"df",1,1,12,12,12,2135,0.752,0.818982423557729,0.066982423557729,0,0,0
"15",835,5,9,"df",1,1,12,12,12,2191,0.752,0.818982423557729,0.066982423557729,0,0,0
"16",836,5,9,"df",1,1,12,12,12,1616,0.752,0.818982423557729,0.066982423557729,0,0,0
"17",837,5,9,"df",1,1,12,12,12,1986,0.752,0.818982423557729,0.066982423557729,0,0,0
"18",838,5,9,"df",1,1,12,12,12,1668,0.752,0.818982423557729,0.066982423557729,0,0,0
"19",839,5,9,"df",1,1,12,12,12,1986,0.752,0.818982423557729,0.066982423557729,0,0,0
"20",840,5,9,"df",1,1,12,12,12,1842,0.752,0.818982423557729,0.066982423557729,0,0,0
"21",841,5,9,"df",1,1,12,12,12,2557,0.752,0.818982423557729,0.066982423557729,0,0,0
"22",842,5,9,"df",1,1,12,12,12,3055,0.752,0.818982423557729,0.066982423557729,0,0,0
"23",843,5,9,"df",1,1,12,12,12,2240,0.752,0.818982423557729,0.066982423557729,0,0,0
"24",844,5,9,"df",1,1,12,12,12,1543,0.752,0.818982423557729,0.066982423557729,0,0,0
"25",845,5,9,"df",1,1,12,12,12,1429,0.752,0.818982423557729,0.066982423557729,0,0,0
"26",846,5,9,"df",1,1,12,12,12,1710,0.752,0.818982423557729,0.066982423557729,0,0,0
"27",847,5,9,"df",1,1,12,12,12,1669,0.752,0.818982423557729,0.066982423557729,0,0,0
"28",848,5,9,"df",1,1,12,12,12,1937,0.752,0.818982423557729,0.066982423557729,0,0,0
"29",849,5,9,"df",1,1,12,12,12,2377,0.752,0.818982423557729,0.066982423557729,0,0,0
"30",850,5,9,"df",1,1,12,12,12,2151,0.752,0.818982423557729,0.066982423557729,0,0,0
"31",851,5,9,"df",1,1,12,12,12,1602,0.752,0.818982423557729,0.066982423557729,0,0,0
"32",852,5,9,"df",1,1,12,12,12,6402,0.752,0.818982423557729,0.066982423557729,0,0,0
"33",853,5,9,"df",1,1,12,12,12,1703,0.752,0.818982423557729,0.066982423557729,0,0,0
"34",854,5,9,"df",1,1,12,12,12,2054,0.752,0.818982423557729,0.066982423557729,0,0,0
"35",855,5,9,"df",1,1,12,12,12,1739,0.752,0.818982423557729,0.066982423557729,0,0,0
"36",856,5,9,"df",1,1,12,12,12,2129,0.752,0.818982423557729,0.066982423557729,0,0,0
"37",857,5,9,"df",1,1,12,12,12,1861,0.752,0.818982423557729,0.066982423557729,0,0,0
"38",858,5,9,"df",1,1,12,12,12,1605,0.752,0.818982423557729,0.066982423557729,0,0,0
"39",859,5,9,"df",1,1,12,12,12,3438,0.752,0.818982423557729,0.066982423557729,0,0,0
"40",860,5,9,"df",1,1,12,12,12,2982,0.752,0.818982423557729,0.066982423557729,0,0,0
"41",861,5,9,"df",1,1,12,12,12,1657,0.752,0.818982423557729,0.066982423557729,0,0,0
"42",862,5,9,"df",1,1,12,12,12,887,0.752,0.818982423557729,0.066982423557729,0,0,0
"43",863,5,9,"df",1,1,12,12,12,1597,0.752,0.818982423557729,0.066982423557729,0,0,0
"44",864,5,9,"df",1,1,12,12,12,1614,0.752,0.818982423557729,0.066982423557729,0,0,0
"45",865,5,9,"df",1,1,12,12,12,8123,0.752,0.818982423557729,0.066982423557729,0,0,0
"46",866,5,9,"df",1,1,12,12,12,1838,0.752,0.818982423557729,0.066982423557729,0,0,0
"47",867,5,9,"df",1,1,12,12,12,1538,0.752,0.818982423557729,0.066982423557729,0,0,0
"48",868,5,9,"df",1,1,12,12,12,1562,0.752,0.818982423557729,0.066982423557729,0,0,0
"49",869,5,9,"df",1,1,12,12,12,1408,0.752,0.818982423557729,0.066982423557729,0,0,0
"50",870,5,9,"df",1,1,12,12,12,14151,0.752,0.818982423557729,0.066982423557729,0,0,0
"51",871,5,9,"df",1,1,12,12,12,1989,0.752,0.818982423557729,0.066982423557729,0,0,0
"52",872,5,9,"df",1,1,12,12,12,1642,0.752,0.818982423557729,0.066982423557729,0,0,0
"53",873,5,9,"df",1,1,12,12,12,1484,0.752,0.818982423557729,0.066982423557729,0,0,0
"54",874,5,9,"df",1,1,12,12,12,1804,0.752,0.818982423557729,0.066982423557729,0,0,0
