"edon.x","disloc2018","disloc2012","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
4,11,2,9,11,0.333,0.306,0.5
4,11,1,9,11,0.333,0.306,0.5
4,7,7,7,7,0.308,0.136,0.5
4,7,3,7,7,0.308,0.136,0.5
4,9,5,9,9,0.333,0.364,0.538
4,6,4,13,6,0.955,0.913,0.957
4,9,6,6,9,0.387,0.364,0.538
4,1,17,1,1,0.7,0.96,0.733
4,3,19,3,3,0.632,0.967,0.649
4,15,11,14,15,0.409,0.123,0.381
4,15,10,19,15,0.688,0.123,0.381
4,12,9,17,12,0.958,0.567,0.6
4,17,8,18,17,0.92,0.383,0.439
4,14,12,16,14,0.356,0.34,0.931
4,14,20,16,14,0.356,0.34,0.931
4,4,14,4,4,1,1,1
4,21,15,11,21,0.92,0.926,0.852
4,20,16,12,20,0.217,0.935,0.452
4,18,21,21,18,1,1,1
4,2,18,2,2,0.914,1,0.914
4,19,13,20,19,1,1,1
