"edon.x","disloc2017","disloc2011","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
5,5,13,6,5,0.556,0.41,0.484
5,1,15,5,3,0.798,0.798,1
5,5,14,6,5,0.556,0.41,0.484
5,12,5,7,11,0.81,1,0.81
5,5,12,6,5,0.556,0.41,0.484
5,4,11,2,4,0.412,0.443,0.528
5,7,10,3,8,0.376,0.618,0.684
5,7,6,3,8,0.376,0.618,0.684
5,2,16,8,16,1,0.784,0.784
5,14,4,16,13,0.214,0.7,0.495
5,14,1,16,13,0.214,0.7,0.495
5,15,2,14,14,0.702,0.199,0.31
5,15,3,13,14,0.386,0.199,0.31
5,8,9,12,7,0.283,0.283,1
5,9,8,11,10,0.65,0.65,1
5,11,7,9,9,0.15,0.15,1
