"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
14,3,2,3,2,0.256,0.151,0.211
14,17,4,8,4,0.352,0.605,0.455
14,1,3,8,3,0.352,0.991,0.584
14,19,5,4,5,0.293,0.593,0.327
14,18,4,8,4,0.352,0.605,0.455
14,5,4,6,4,0.689,0.605,0.455
14,15,8,7,8,0.481,1,0.481
14,0,3,2,3,0.578,0.991,0.584
14,2,9,5,9,0.757,1,0.757
14,12,13,14,13,0.364,0.364,1
14,9,12,12,12,0.682,0.682,1
14,11,12,12,12,0.682,0.682,1
14,13,11,13,11,0.443,0.443,1
14,14,10,11,10,0.646,0.646,1
14,8,13,14,13,0.364,0.364,1
14,7,2,1,2,0.232,0.151,0.211
14,16,14,20,14,0.57,0.793,0.657
14,20,16,19,16,0.72,0.84,0.561
14,10,19,16,19,0.603,0.566,0.74
14,4,17,17,17,0.643,0.748,0.817
14,6,19,17,19,0.643,0.566,0.74
