"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
17,9,9,1,1,0.467,0.462,0.434
17,13,4,11,11,0.589,0.614,0.788
17,18,11,2,2,0.487,0.633,0.434
17,16,10,3,3,0.568,0.477,0.742
17,8,9,4,1,0.472,0.462,0.434
17,14,4,12,12,0.482,0.53,0.94
17,15,7,12,12,0.482,0.53,0.94
17,1,2,10,9,0.342,0.409,0.876
17,2,1,8,8,0.33,0.326,0.936
17,3,2,10,9,0.342,0.409,0.876
17,4,2,10,9,0.342,0.409,0.876
17,5,8,5,4,0.28,0.28,1
17,6,6,6,6,0.483,0.483,1
17,7,6,6,6,0.483,0.483,1
17,11,11,1,2,0.467,0.633,0.434
17,17,4,11,11,0.589,0.614,0.788
17,12,3,9,10,0.171,0.174,0.844
17,10,10,3,3,0.568,0.477,0.742
