"edon.x","disloc2010","disloc2018","escenario1","escenario3_tribunal","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
20,3,1,16,1,0.661,0.654,0.655
20,25,2,13,2,0.56,0.56,1
20,22,3,3,3,0.201,0.678,0.386
20,1,16,3,16,0.201,0.206,0.723
20,20,4,17,4,0.5,0.828,0.437
20,15,5,14,5,0.616,0.616,1
20,5,6,5,6,0.369,0.358,0.953
20,16,7,4,7,0.214,0.377,0.319
20,19,3,2,3,0.301,0.678,0.386
20,4,8,20,8,0.239,0.299,0.679
20,18,9,22,9,0.14,0.297,0.308
20,24,11,20,11,0.239,0.615,0.631
20,21,5,14,5,0.616,0.616,1
20,8,10,11,10,0.725,0.606,0.311
20,23,11,18,11,0.435,0.615,0.631
20,13,12,7,12,0.585,0.698,0.509
20,10,13,19,13,0.395,0.743,0.295
20,14,7,1,7,0.388,0.377,0.319
20,17,15,4,15,0.214,0.758,0.23
20,12,14,8,14,0.331,0.505,0.746
20,2,18,16,18,0.661,0.255,0.418
20,11,21,10,21,0.784,0.973,0.757
20,7,10,19,10,0.395,0.606,0.311
20,6,6,5,6,0.369,0.358,0.953
20,9,13,21,13,0.939,0.743,0.295
