"edon","disloc2011","disloc2018","dsi_pob","P_Total"
3,9,4,0.407147620341327,864
3,10,4,0.407147620341327,1331
3,11,4,0.407147620341327,988
3,12,4,0.407147620341327,89
3,0,4,0.407147620341327,68
3,13,1,0.502574393367306,1123
3,14,3,0.773587882612812,1871
3,15,3,0.773587882612812,302
3,1,12,0.510801625591178,1400
3,2,11,0.428935756111475,505
3,3,15,0.305132477529276,295
3,5,15,0.305132477529276,704
3,4,13,0.266992142802655,1407
3,6,12,0.510801625591178,2090
3,16,9,0.0623352908219377,1536
3,7,9,0.0623352908219377,18276
3,8,5,0.197824953097145,2635
