"edon","disloc2012","disloc2018","dsi_pob","P_Total"
4,2,11,0.28851283160323,730
4,1,11,0.28851283160323,1276
4,7,7,0.122314049586777,7054
4,3,7,0.122314049586777,2817
4,5,9,0.371582049464692,753
4,4,6,0.93917622036624,1182
4,6,9,0.371582049464692,2902
4,17,1,0.955111196873945,2181
4,19,3,0.955485923409955,754
4,11,15,0.301426920164215,7130
4,10,15,0.301426920164215,3472
4,9,12,0.644325035639873,1834
4,8,17,0.428312562405237,1002
4,12,14,0.188018905529298,28157
4,20,14,0.188018905529298,1589
4,14,4,1,3519
4,15,21,0.978893916056989,951
4,16,20,0.979257822662662,2002
4,21,18,1,2711
4,18,2,1,2426
4,13,19,1,3785
