"edon","disloc2012","disloc2018","dsi_pob","P_Total"
7,16,18,0.304579434802276,5562
7,3,3,0.456242725409435,3339
7,7,20,0.489501221073645,4060
7,12,11,0.418367146532592,3226
7,17,17,0.645878010557572,2716
7,4,20,0.489501221073645,2233
7,23,23,0.532334285913431,2123
7,15,15,0.394510873166899,1760
7,14,2,0.211951803076597,6772
7,10,11,0.418367146532592,3384
7,24,24,0.73548933976434,2650
7,9,9,1,1464
7,13,12,0.551967396841569,1431
7,6,6,0.672571485725081,6070
7,22,21,0.368006706749977,849
7,21,20,0.489501221073645,2613
7,20,10,0.199514187920945,4179
7,11,11,0.418367146532592,2832
7,8,8,0.561679960789927,2825
7,5,5,0.829467513259666,4271
7,18,19,0.558032120005085,2574
7,1,1,0.351149242626716,11313
7,2,1,0.351149242626716,1802
7,19,19,0.558032120005085,879
