"edon","disloc2013","disloc2016","dsi_pob","P_Total"
8,1,11,0.63413817914094,732
8,10,11,0.63413817914094,3914
8,22,20,0.941415305173443,1133
8,11,13,0.486011355790732,637
8,21,22,0.851438214492889,1583
8,14,13,0.486011355790732,241
8,12,20,0.941415305173443,458
8,13,14,0.952746802380705,1489
8,19,18,0.247694106916944,924
8,18,16,0.358304048341274,791
8,16,18,0.247694106916944,4027
8,15,12,0.54565634523496,19342
8,17,12,0.54565634523496,4564
8,20,19,0.891888055946221,943
8,2,2,0.374437797669014,7094
8,3,4,0.32632592642433,305
8,6,2,0.374437797669014,7702
8,4,5,0.245086461576388,9966
8,9,5,0.245086461576388,618
8,7,5,0.245086461576388,916
8,5,4,0.32632592642433,456
8,8,9,0.205414042462639,969
