"edon","disloc2016","disloc2013","dsi_pob","P_Total"
13,1,18,0.442706274669176,1422
13,10,10,0.303233084403132,2833
13,2,14,0.605985157862381,5385
13,3,5,0.221011134840365,2062
13,4,16,0.700472298978972,2564
13,10,11,0.303233084403132,2261
13,7,13,0.327451216770549,2734
13,8,15,0.22602435987,2766
13,10,3,0.303233084403132,4495
13,4,6,0.700472298978972,1342
13,9,17,0.433006924577152,2668
13,8,9,0.22602435987,623
13,12,2,0.559453664734376,1723
13,1,1,0.442706274669176,1376
13,18,7,0.742729497641092,920
13,4,4,0.700472298978972,2114
13,8,8,0.22602435987,1343
13,13,12,0.784273925196326,22156
