"edon","disloc2018","disloc2010","dsi_pob","P_Total"
20,1,3,0.472473025817415,1172
20,2,25,0.516635911727047,977
20,3,22,0.621446501502105,1644
20,16,1,0.306720117510252,2249
20,4,20,0.85337593617197,1156
20,5,15,0.734178700731726,1012
20,6,5,0.417759329345216,885
20,7,16,0.38118366956688,3918
20,3,19,0.621446501502105,1070
20,8,4,0.305846713117237,540
20,9,18,0.231561662993463,2003
20,11,24,0.634993424240327,2816
20,5,21,0.734178700731726,710
20,10,8,0.613579627708687,2459
20,11,23,0.634993424240327,1481
20,12,13,0.73249839012787,1713
20,13,10,0.748594156258608,1404
20,7,14,0.38118366956688,334
20,15,17,0.777170746283523,1518
20,14,12,0.517111927576636,2747
20,18,2,0.238942841929808,2822
20,21,11,0.972513153098255,1451
20,10,7,0.613579627708687,2299
20,6,6,0.417759329345216,5561
20,13,9,0.748594156258608,773
