"","edon.x","disloc2015.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2015.y","escenario1","dsi_SQ_E3_pob","pob_total","dif"
"1",12,8,4,0.988,12,8,8,24,0.997951935291525,1622,0.00995193529152505
"2",12,4,9,1,12,4,4,24,1,878,0
"3",12,5,5,1,12,5,5,18,1,1530,0
"4",12,3,7,1,12,3,3,18,1,1251,0
"5",12,9,6,1,12,9,9,20,1,6223,0
"6",12,6,8,1,12,6,6,22,1,2464,0
"7",12,7,3,1,12,7,7,21,1,1360,0
"8",12,26,1,0.925,12,26,26,12,0.887719920544835,3881,0.0372800794551651
"9",12,17,20,1,12,17,17,5,1,1519,0
"10",12,28,14,0.963,12,28,28,15,0.905141202027516,2557,0.0578587979724839
"11",12,27,15,0.979,12,27,27,15,0.931295304128585,1247,0.047704695871415
"12",12,20,22,1,12,20,20,11,1,728,0
"13",12,18,21,1,12,18,18,4,1,1844,0
"14",12,23,23,1,12,23,23,12,1,1259,0
"15",12,10,26,1,12,10,10,3,1,1007,0
"16",12,14,13,1,12,14,14,6,1,4404,0
"17",12,15,16,0.981,12,15,15,6,0.971477527349414,1370,0.00952247265058603
"18",12,12,27,0.99,12,12,12,10,0.997806550731613,675,0.00780655073161296
"19",12,25,12,0.904,12,25,25,27,0.884326694682989,7040,0.0196733053170111
"20",12,1,11,1,12,1,1,25,1,10726,0
"21",12,2,10,1,12,2,2,25,1,3651,0
"22",12,19,25,1,12,19,19,11,1,1868,0
"23",12,22,24,1,12,22,22,7,1,6477,0
"24",12,11,28,1,12,11,11,28,1,650,0
"25",12,13,18,1,12,13,13,13,1,2105,0
"26",12,24,19,1,12,24,24,12,1,1365,0
"27",12,16,17,1,12,16,16,8,1,6660,0
"28",12,21,2,1,12,21,21,4,1,1853,0
