"","edon.x","disloc2012.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2012.y","escenario3","dsi_SQ_E1_pob","pob_total","dif"
"1",16,19,5,0.726,16,14,19,14,0.774991111111111,1889,0.048991111111111
"2",16,21,8,0.802,16,10,21,10,0.747074537740297,2596,0.0549254622597031
"3",16,20,8,0.802,16,10,21,10,0.747074537740297,2596,0.0549254622597031
"4",16,8,9,0.438,16,12,8,12,0.488470443219923,1894,0.050470443219923
"5",16,2,13,0.49,16,9,2,9,0.581085634066448,1073,0.091085634066448
"6",16,1,13,0.49,16,9,2,9,0.581085634066448,1073,0.091085634066448
"7",16,13,14,0.904,16,2,13,2,0.928389569177732,986,0.0243895691777319
"8",16,23,3,0.814,16,11,23,11,0.838136971449223,2653,0.024136971449223
"9",16,22,3,0.814,16,11,23,11,0.838136971449223,2653,0.024136971449223
"10",16,3,15,0.281,16,8,3,8,0.227315033739407,1459,0.053684966260593
"11",16,23,3,0.814,16,16,22,16,0.838136971449223,2906,0.024136971449223
"12",16,22,3,0.814,16,16,22,16,0.838136971449223,2906,0.024136971449223
"13",16,4,11,0.918,16,1,4,1,0.905754783280048,1475,0.012245216719952
"14",16,18,4,0.384,16,6,18,6,0.32505665869633,3422,0.05894334130367
"15",16,7,10,0.248,16,4,7,4,0.215455134371135,875,0.032544865628865
"16",16,15,10,0.248,16,4,7,4,0.215455134371135,875,0.032544865628865
"17",16,14,10,0.248,16,4,7,4,0.215455134371135,875,0.032544865628865
"18",16,9,2,0.584,16,15,9,15,0.581519899309926,1362,0.00248010069007398
"19",16,5,2,0.584,16,15,9,15,0.581519899309926,1362,0.00248010069007398
"20",16,9,2,0.584,16,15,5,15,0.581519899309926,744,0.00248010069007398
"21",16,5,2,0.584,16,15,5,15,0.581519899309926,744,0.00248010069007398
"22",16,2,13,0.49,16,5,1,5,0.581085634066448,1178,0.091085634066448
"23",16,1,13,0.49,16,5,1,5,0.581085634066448,1178,0.091085634066448
"24",16,7,10,0.248,16,4,15,4,0.215455134371135,2060,0.032544865628865
"25",16,15,10,0.248,16,4,15,4,0.215455134371135,2060,0.032544865628865
"26",16,14,10,0.248,16,4,15,4,0.215455134371135,2060,0.032544865628865
"27",16,12,12,0.601,16,3,12,3,0.613051358500246,6009,0.012051358500246
"28",16,24,18,1,16,18,24,18,1,10135,0
"29",16,10,22,0.397,16,20,10,20,0.27459276700306,1544,0.12240723299694
"30",16,11,22,0.397,16,20,10,20,0.27459276700306,1544,0.12240723299694
"31",16,16,22,0.397,16,20,10,20,0.27459276700306,1544,0.12240723299694
"32",16,10,22,0.397,16,21,11,21,0.27459276700306,1116,0.12240723299694
"33",16,11,22,0.397,16,21,11,21,0.27459276700306,1116,0.12240723299694
"34",16,16,22,0.397,16,21,11,21,0.27459276700306,1116,0.12240723299694
"35",16,17,21,0.631,16,19,17,19,0.539903454614114,358,0.091096545385886
"36",16,10,22,0.397,16,19,16,19,0.27459276700306,412,0.12240723299694
"37",16,11,22,0.397,16,19,16,19,0.27459276700306,412,0.12240723299694
"38",16,16,22,0.397,16,19,16,19,0.27459276700306,412,0.12240723299694
"39",16,21,8,0.802,16,11,20,11,0.747074537740297,3297,0.0549254622597031
"40",16,20,8,0.802,16,11,20,11,0.747074537740297,3297,0.0549254622597031
"41",16,7,10,0.248,16,4,14,4,0.215455134371135,3146,0.032544865628865
"42",16,15,10,0.248,16,4,14,4,0.215455134371135,3146,0.032544865628865
"43",16,14,10,0.248,16,4,14,4,0.215455134371135,3146,0.032544865628865
"44",16,6,17,1,16,17,6,17,1,2485,0
