"","edon.x","disloc2012.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2012.y","escenario3","escenario3jge","dsi_SQ_E1_pob","pob_total","dif"
"1",17,9,1,0.467,17,9,9,1,1,0.522361632425693,2107,0.055361632425693
"2",17,11,1,0.467,17,9,9,1,1,0.522361632425693,2107,0.055361632425693
"3",17,13,11,0.589,17,4,13,11,11,0.618307926213958,2745,0.0293079262139581
"4",17,17,11,0.589,17,4,13,11,11,0.618307926213958,2745,0.0293079262139581
"5",17,18,2,0.487,17,11,18,2,2,0.517925557851719,3542,0.030925557851719
"6",17,16,3,0.568,17,10,16,3,3,0.573835786512419,1941,0.00583578651241901
"7",17,10,3,0.568,17,10,16,3,3,0.573835786512419,1941,0.00583578651241901
"8",17,8,4,0.472,17,9,8,1,1,0.477015949614448,1071,0.00501594961444801
"9",17,14,12,0.482,17,4,14,12,11,0.598694974058631,5717,0.116694974058631
"10",17,15,12,0.482,17,4,14,12,11,0.598694974058631,5717,0.116694974058631
"11",17,14,12,0.482,17,7,15,12,12,0.598694974058631,1380,0.116694974058631
"12",17,15,12,0.482,17,7,15,12,12,0.598694974058631,1380,0.116694974058631
"13",17,1,10,0.342,17,2,1,9,9,0.335320290831181,4047,0.00667970916881905
"14",17,3,10,0.342,17,2,1,9,9,0.335320290831181,4047,0.00667970916881905
"15",17,4,10,0.342,17,2,1,9,9,0.335320290831181,4047,0.00667970916881905
"16",17,2,8,0.33,17,1,2,8,8,0.403471711976488,4773,0.073471711976488
"17",17,1,10,0.342,17,2,3,9,9,0.335320290831181,1242,0.00667970916881905
"18",17,3,10,0.342,17,2,3,9,9,0.335320290831181,1242,0.00667970916881905
"19",17,4,10,0.342,17,2,3,9,9,0.335320290831181,1242,0.00667970916881905
"20",17,1,10,0.342,17,2,4,9,9,0.335320290831181,936,0.00667970916881905
"21",17,3,10,0.342,17,2,4,9,9,0.335320290831181,936,0.00667970916881905
"22",17,4,10,0.342,17,2,4,9,9,0.335320290831181,936,0.00667970916881905
"23",17,5,5,0.28,17,8,5,4,4,0.33052259872293,5445,0.05052259872293
"24",17,6,6,0.483,17,6,6,6,6,0.343587586572479,1865,0.139412413427521
"25",17,7,6,0.483,17,6,6,6,6,0.343587586572479,1865,0.139412413427521
"26",17,6,6,0.483,17,6,7,6,6,0.343587586572479,3503,0.139412413427521
"27",17,7,6,0.483,17,6,7,6,6,0.343587586572479,3503,0.139412413427521
"28",17,9,1,0.467,17,11,11,2,2,0.522361632425693,2087,0.055361632425693
"29",17,11,1,0.467,17,11,11,2,2,0.522361632425693,2087,0.055361632425693
"30",17,13,11,0.589,17,4,17,11,11,0.618307926213958,2583,0.0293079262139581
"31",17,17,11,0.589,17,4,17,11,11,0.618307926213958,2583,0.0293079262139581
"32",17,12,9,0.171,17,3,12,10,10,0.129603635218428,2222,0.041396364781572
"33",17,16,3,0.568,17,10,10,3,3,0.573835786512419,2263,0.00583578651241901
"34",17,10,3,0.568,17,10,10,3,3,0.573835786512419,2263,0.00583578651241901
