"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",19,3,1,0.971,19,20,20,3,0.973815906434386,1144,0.00281590643438601
"2",19,1,2,0.911,19,21,22,1,0.872096574160055,767,0.038903425839945
"3",19,1,2,0.911,19,21,22,1,0.872096574160055,767,0.038903425839945
"4",19,4,3,0.512,19,24,22,2,0.379941296806902,243,0.132058703193098
"5",19,10,12,1,19,5,16,10,1,3790,0
"6",NA,NA,11,NA,19,16,16,9,1,9198,NA
"7",NA,NA,13,NA,19,7,16,11,1,3155,NA
"8",19,2,4,0.537,19,26,26,4,0.407051909892262,2174,0.129948090107738
"9",19,4,4,0.537,19,26,26,4,0.407051909892262,2174,0.129948090107738
"10",19,25,5,0.724,19,23,23,25,0.759178469570261,2417,0.0351784695702611
"11",19,23,25,1,19,18,18,23,1,2003,0
"12",19,13,15,1,19,25,17,13,1,4598,0
"13",NA,NA,14,NA,19,17,17,12,1,16014,NA
"14",19,5,7,1,19,12,15,5,1,284,0
"15",19,5,7,1,19,12,15,5,1,284,0
"16",19,6,8,1,19,15,15,6,1,365,0
"17",19,8,10,1,19,14,14,8,1,6041,0
"18",NA,NA,9,NA,19,13,13,7,1,1682,NA
"19",NA,NA,6,NA,19,22,22,26,0.948374707469739,6637,NA
"20",19,19,19,0.974,19,11,3,19,0.982936467497764,1117,0.008936467497764
"21",19,20,20,0.994,19,4,3,20,0.996663896199843,1180,0.00266389619984297
"22",19,20,20,0.994,19,4,3,20,0.996663896199843,1180,0.00266389619984297
"23",NA,NA,21,NA,19,3,4,21,1,1802,NA
"24",19,18,18,0.969,19,6,6,18,0.959791339932658,137,0.009208660067342
"25",19,18,18,0.969,19,6,6,18,0.959791339932658,137,0.009208660067342
"26",19,18,18,0.969,19,6,6,18,0.959791339932658,137,0.009208660067342
"27",NA,NA,17,NA,19,8,7,17,1,1690,NA
"28",19,16,16,1,19,1,1,16,1,2276,0
"29",19,22,22,1,19,2,1,22,1,2497,0
"30",19,14,23,0.989,19,10,11,14,0.987450011562911,1594,0.00154998843708898
"31",19,14,23,0.989,19,10,11,14,0.987450011562911,1594,0.00154998843708898
"32",19,15,24,0.947,19,9,10,15,0.967971746940267,2935,0.020971746940267
"33",19,24,26,1,19,19,19,24,1,8475,0
