"","edon.x","disloc2013.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2013.y","escenario3","dsi_SQ_E1_pob","pob_total","dif"
"1",21,17,12,0.943,21,12,17,1,0.968980398797293,3081,0.0259803987972931
"2",21,6,16,0.349,21,5,6,2,0.365880800644672,2145,0.016880800644672
"3",21,5,16,0.349,21,5,6,2,0.365880800644672,2145,0.016880800644672
"4",21,23,8,0.744,21,23,23,3,0.724181080590147,3789,0.019818919409853
"5",21,18,6,0.855,21,13,18,4,0.869184559773234,3870,0.014184559773234
"6",21,22,3,0.839,21,22,22,5,0.868356997971602,1270,0.0293569979716021
"7",21,2,19,0.296,21,2,2,6,0.277134303764252,1256,0.018865696235748
"8",21,4,19,0.296,21,2,2,6,0.277134303764252,1256,0.018865696235748
"9",21,26,18,0.925,21,26,26,19,0.915160369958539,5461,0.00983963004146104
"10",21,20,10,0.819,21,14,20,8,0.772856211216157,891,0.046143788783843
"11",21,3,7,0.306,21,3,3,7,0.268995548446661,2852,0.037004451553339
"12",21,6,16,0.349,21,5,5,2,0.365880800644672,3923,0.016880800644672
"13",21,5,16,0.349,21,5,5,2,0.365880800644672,3923,0.016880800644672
"14",21,21,11,0.812,21,21,21,10,0.827216382595586,2603,0.015216382595586
"15",21,8,2,0.39,21,8,8,11,0.40175008773184,1455,0.01175008773184
"16",21,9,2,0.39,21,8,8,11,0.40175008773184,1455,0.01175008773184
"17",21,7,2,0.39,21,8,8,11,0.40175008773184,1455,0.01175008773184
"18",21,25,17,0.279,21,24,25,9,0.357854311841049,835,0.078854311841049
"19",21,2,19,0.296,21,2,4,6,0.277134303764252,1763,0.018865696235748
"20",21,4,19,0.296,21,2,4,6,0.277134303764252,1763,0.018865696235748
"21",21,8,2,0.39,21,8,9,11,0.40175008773184,1450,0.01175008773184
"22",21,9,2,0.39,21,8,9,11,0.40175008773184,1450,0.01175008773184
"23",21,7,2,0.39,21,8,9,11,0.40175008773184,1450,0.01175008773184
"24",21,24,5,0.328,21,25,24,12,0.221415760240685,4030,0.106584239759315
"25",21,8,2,0.39,21,8,7,11,0.40175008773184,3111,0.01175008773184
"26",21,9,2,0.39,21,8,7,11,0.40175008773184,3111,0.01175008773184
"27",21,7,2,0.39,21,8,7,11,0.40175008773184,3111,0.01175008773184
"28",21,1,15,1,21,1,1,14,1,2270,0
"29",21,19,14,0.843,21,15,19,15,0.841443524578318,3891,0.00155647542168202
"30",21,13,26,0.655,21,17,13,26,0.546574885041079,364,0.108425114958921
"31",21,11,26,0.655,21,17,13,26,0.546574885041079,364,0.108425114958921
"32",21,13,26,0.655,21,17,11,26,0.546574885041079,773,0.108425114958921
"33",21,11,26,0.655,21,17,11,26,0.546574885041079,773,0.108425114958921
"34",21,10,22,0.261,21,9,10,20,0.231701755515495,1738,0.029298244484505
"35",21,14,25,0.408,21,19,14,25,0.415979559844459,2008,0.00797955984445903
"36",21,15,25,0.408,21,19,14,25,0.415979559844459,2008,0.00797955984445903
"37",21,16,25,0.408,21,19,14,25,0.415979559844459,2008,0.00797955984445903
"38",21,14,25,0.408,21,19,15,25,0.415979559844459,1785,0.00797955984445903
"39",21,15,25,0.408,21,19,15,25,0.415979559844459,1785,0.00797955984445903
"40",21,16,25,0.408,21,19,15,25,0.415979559844459,1785,0.00797955984445903
"41",21,14,25,0.408,21,19,16,25,0.415979559844459,10076,0.00797955984445903
"42",21,15,25,0.408,21,19,16,25,0.415979559844459,10076,0.00797955984445903
"43",21,16,25,0.408,21,19,16,25,0.415979559844459,10076,0.00797955984445903
"44",21,12,24,0.213,21,10,12,24,0.220132979620283,1374,0.007132979620283
