"","edon.x","disloc2013.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2017","disloc2013.y","escenario3","dsi_SQ_E1_pob","pob_total","dif"
"1",25,3,19,0.416,25,3,3,3,0.402935226076802,19421,0.013064773923198
"2",25,4,19,0.416,25,3,3,3,0.402935226076802,19421,0.013064773923198
"3",25,3,19,0.416,25,3,4,3,0.402935226076802,1123,0.013064773923198
"4",25,4,19,0.416,25,3,4,3,0.402935226076802,1123,0.013064773923198
"5",25,8,1,0.584,25,2,8,2,0.633690162627166,1151,0.0496901626271661
"6",25,9,1,0.584,25,2,8,2,0.633690162627166,1151,0.0496901626271661
"7",25,11,16,0.539,25,23,11,23,0.431108169440242,707,0.107891830559758
"8",25,10,16,0.539,25,23,11,23,0.431108169440242,707,0.107891830559758
"9",25,21,5,0.465,25,11,21,11,0.46123758460051,644,0.00376241539949002
"10",25,16,15,0.18,25,19,16,19,0.232806759867417,844,0.052806759867417
"11",25,24,13,0.248,25,18,24,18,0.14136342959222,1241,0.10663657040778
"12",25,12,13,0.248,25,18,24,18,0.14136342959222,1241,0.10663657040778
"13",25,24,13,0.248,25,20,12,20,0.14136342959222,328,0.10663657040778
"14",25,12,13,0.248,25,20,12,20,0.14136342959222,328,0.10663657040778
"15",25,13,12,0.376,25,17,13,17,0.360706222589028,332,0.015293777410972
"16",25,14,11,0.33,25,17,14,17,0.24090829279377,597,0.08909170720623
"17",25,1,2,0.727,25,1,1,1,0.72364541098415,1897,0.00335458901584995
"18",25,5,2,0.727,25,1,1,1,0.72364541098415,1897,0.00335458901584995
"19",25,17,10,0.274,25,19,17,19,0.283983173559659,1597,0.009983173559659
"20",25,18,10,0.274,25,19,17,19,0.283983173559659,1597,0.009983173559659
"21",25,23,3,0.579,25,10,23,10,0.480767930124929,128,0.0982320698750709
"22",25,22,3,0.579,25,10,23,10,0.480767930124929,128,0.0982320698750709
"23",25,2,18,1,25,1,2,1,1,462,0
"24",25,6,23,0.441,25,6,6,6,0.571937541729553,3065,0.130937541729553
"25",25,7,23,0.441,25,6,6,6,0.571937541729553,3065,0.130937541729553
"26",25,6,23,0.441,25,4,7,4,0.571937541729553,452,0.130937541729553
"27",25,7,23,0.441,25,4,7,4,0.571937541729553,452,0.130937541729553
"28",25,20,4,0.452,25,11,20,11,0.325365704060335,268,0.126634295939665
"29",25,19,6,0.201,25,14,19,14,0.327327975860957,3658,0.126327975860957
"30",25,11,16,0.539,25,23,10,23,0.431108169440242,389,0.107891830559758
"31",25,10,16,0.539,25,23,10,23,0.431108169440242,389,0.107891830559758
"32",25,23,3,0.579,25,10,22,10,0.480767930124929,1366,0.0982320698750709
"33",25,22,3,0.579,25,10,22,10,0.480767930124929,1366,0.0982320698750709
"34",25,8,1,0.584,25,2,9,2,0.633690162627166,2445,0.0496901626271661
"35",25,9,1,0.584,25,2,9,2,0.633690162627166,2445,0.0496901626271661
"36",25,17,10,0.274,25,19,18,19,0.283983173559659,1687,0.009983173559659
"37",25,18,10,0.274,25,19,18,19,0.283983173559659,1687,0.009983173559659
"38",25,1,2,0.727,25,5,5,5,0.72364541098415,902,0.00335458901584995
"39",25,5,2,0.727,25,5,5,5,0.72364541098415,902,0.00335458901584995
"40",25,15,17,0.73,25,24,15,24,0.774866788361626,139,0.0448667883616261
