"","edon.x","disloc2012.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2012.y","escenario1","dsi_SQ_E3_pob","pob_total","dif"
"1",27,1,6,0.506,27,6,1,18,0.512159448887043,3737,0.00615944888704301
"2",27,18,6,0.506,27,6,1,18,0.512159448887043,3737,0.00615944888704301
"3",27,19,3,0.828,27,3,19,11,0.776259314218244,1801,0.0517406857817559
"4",27,2,3,0.828,27,3,19,11,0.776259314218244,1801,0.0517406857817559
"5",27,19,3,0.828,27,3,2,11,0.776259314218244,2913,0.0517406857817559
"6",27,2,3,0.828,27,3,2,11,0.776259314218244,2913,0.0517406857817559
"7",27,3,21,1,27,21,3,16,1,1395,0
"8",27,20,11,0.21,27,11,20,7,0.237154933683137,19842,0.027154933683137
"9",27,4,11,0.21,27,11,20,7,0.237154933683137,19842,0.027154933683137
"10",27,21,11,0.21,27,11,20,7,0.237154933683137,19842,0.027154933683137
"11",27,20,11,0.21,27,11,4,7,0.237154933683137,4328,0.027154933683137
"12",27,4,11,0.21,27,11,4,7,0.237154933683137,4328,0.027154933683137
"13",27,21,11,0.21,27,11,4,7,0.237154933683137,4328,0.027154933683137
"14",27,20,11,0.21,27,11,21,7,0.237154933683137,4098,0.027154933683137
"15",27,4,11,0.21,27,11,21,7,0.237154933683137,4098,0.027154933683137
"16",27,21,11,0.21,27,11,21,7,0.237154933683137,4098,0.027154933683137
"17",27,5,12,0.212,27,12,5,5,0.132940894441041,780,0.079059105558959
"18",27,6,18,0.639,27,18,6,12,0.62424131147541,2422,0.0147586885245901
"19",27,7,14,0.814,27,14,7,14,0.816316874243141,3961,0.00231687424314109
"20",27,8,9,0.382,27,9,8,16,0.303384194851291,2839,0.078615805148709
"21",27,12,9,0.382,27,9,8,16,0.303384194851291,2839,0.078615805148709
"22",27,9,5,0.691,27,5,9,8,0.602031873621926,2165,0.0889681263780739
"23",27,10,8,0.438,27,8,10,19,0.369570232184946,2543,0.068429767815054
"24",27,16,8,0.438,27,8,10,19,0.369570232184946,2543,0.068429767815054
"25",27,11,19,0.685,27,19,11,15,0.695432811211871,1604,0.0104328112118709
"26",27,8,9,0.382,27,9,12,16,0.303384194851291,2435,0.078615805148709
"27",27,12,9,0.382,27,9,12,16,0.303384194851291,2435,0.078615805148709
"28",27,13,7,0.573,27,7,13,19,0.634843493126011,2761,0.061843493126011
"29",27,14,1,1,27,1,14,1,1,1232,0
"30",27,15,20,0.714,27,20,15,17,0.714067845513375,2504,6.784551337502e-05
"31",27,10,8,0.438,27,8,16,20,0.369570232184946,2816,0.068429767815054
"32",27,16,8,0.438,27,8,16,20,0.369570232184946,2816,0.068429767815054
"33",27,17,13,0.634,27,13,17,20,0.535646416354944,1921,0.098353583645056
"34",27,1,6,0.506,27,6,18,18,0.512159448887043,807,0.00615944888704301
"35",27,18,6,0.506,27,6,18,18,0.512159448887043,807,0.00615944888704301
