"","edon.x","disloc2013.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2015","disloc2013.y","escenario1","dsi_SQ_E3_pob","pob_total","dif"
"1",28,13,3,1,28,3,13,3,0.706462100652927,752,0.293537899347073
"2",28,18,10,1,28,10,18,10,0.666825290516644,2876,0.333174709483356
"3",28,18,10,1,28,10,19,10,0.666825290516644,6727,0.333174709483356
"4",28,17,1,1,28,1,17,1,0.647225389081846,1858,0.352774610918154
"5",28,17,1,1,28,1,16,1,0.647225389081846,928,0.352774610918154
"6",28,4,12,1,28,12,4,12,0.297280483469605,3496,0.702719516530395
"7",28,19,8,1,28,8,20,8,0.926067716373366,1701,0.073932283626634
"8",28,13,3,1,28,3,14,3,0.706462100652927,1086,0.293537899347073
"9",28,10,16,1,28,16,10,16,0.705056394327469,2053,0.294943605672531
"10",28,10,16,1,28,16,9,16,0.705056394327469,5234,0.294943605672531
"11",28,10,17,1,28,17,11,17,0.395388792837128,2216,0.604611207162872
"12",28,10,17,1,28,17,12,17,0.395388792837128,961,0.604611207162872
"13",28,1,11,1,28,11,1,11,0.20121437772245,12318,0.79878562227755
"14",28,1,13,1,28,13,3,13,0.543163019277136,648,0.456836980722864
"15",28,1,11,1,28,11,2,11,0.20121437772245,3515,0.79878562227755
"16",28,4,18,1,28,18,5,18,0.371239944769603,3814,0.628760055230397
"17",28,6,21,1,28,21,6,21,0.820522192491242,136,0.179477807508758
"18",28,7,22,1,28,22,7,22,0.71073360258863,2959,0.28926639741137
"19",28,6,21,1,28,21,8,21,0.820522192491242,10023,0.179477807508758
"20",28,21,7,1,28,7,21,7,0.954895206207141,5542,0.045104793792859
"21",28,22,6,1,28,6,22,6,0.953080416348511,3063,0.046919583651489
"22",28,15,4,1,28,4,15,4,0.684412074282118,1560,0.315587925717882
