"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2016","disloc2075","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",30,20,1,1,30,1,10,20,1,2034,0
"2",30,20,1,1,30,1,10,20,1,2034,0
"3",30,23,2,1,30,2,10,23,1,1557,0
"4",30,13,3,0.734,30,3,10,13,0.750447205527702,4453,0.0164472055277021
"5",30,13,3,0.734,30,3,10,13,0.750447205527702,4453,0.0164472055277021
"6",30,13,3,0.734,30,3,10,13,0.750447205527702,4453,0.0164472055277021
"7",30,13,3,0.734,30,3,10,13,0.750447205527702,4453,0.0164472055277021
"8",30,13,3,0.734,30,3,10,13,0.750447205527702,4453,0.0164472055277021
"9",30,8,4,1,30,4,10,8,1,2328,0
"10",30,7,11,0.962,30,11,20,22,0.981033661448055,1515,0.0190336614480551
"11",30,15,6,1,30,6,NA,15,1,3603,0
"12",NA,NA,7,NA,30,7,10,14,1,2418,NA
"13",NA,NA,8,NA,30,8,10,25,0.893466136238288,1457,NA
"14",NA,NA,9,NA,30,9,10,5,1,2479,NA
"15",30,24,10,1,30,10,10,24,1,6501,0
"16",30,24,10,1,30,10,10,24,1,6501,0
"17",30,7,11,0.962,30,11,10,7,0.981033661448055,2381,0.0190336614480551
"18",NA,NA,12,NA,30,12,10,10,1,1843,NA
"19",NA,NA,18,NA,30,18,10,21,0.698800809842704,1057,NA
"20",NA,NA,14,NA,30,14,28,1,1,1834,NA
"21",30,4,15,1,30,15,10,4,1,1400,0
"22",NA,NA,8,NA,30,8,10,19,0.893466136238288,2069,NA
"23",30,11,17,1,30,17,10,11,1,3978,0
"24",NA,NA,18,NA,30,18,10,3,0.698800809842704,1883,NA
"25",NA,NA,19,NA,30,19,10,17,1,2800,NA
"26",NA,NA,21,NA,30,21,10,16,0.227354947798903,1719,NA
"27",NA,NA,21,NA,30,21,10,2,0.227354947798903,397,NA
"28",NA,NA,21,NA,30,21,NA,6,0.227354947798903,17596,NA
"29",NA,NA,22,NA,30,22,NA,12,1,1810,NA
"30",30,18,23,0.938,30,23,10,18,0.946820844872945,2030,0.0088208448729451
"31",NA,NA,20,NA,30,20,8,26,0.490509428250921,1729,NA
"32",NA,NA,26,NA,30,26,8,9,1,807,NA
"33",30,30,29,1,30,29,10,30,1,3753,0
"34",NA,NA,30,NA,30,30,19,29,1,17743,NA
"35",30,28,27,1,30,27,8,28,1,4488,0
"36",NA,NA,28,NA,30,28,23,27,1,627,NA
