"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",331,6,11,"gua",2,2,10,10,4,1049,1,1,0,0,0,1
"2",332,6,11,"gua",2,2,10,10,4,896,1,1,0,1,0,0
"3",333,6,11,"gua",2,2,10,10,4,1448,1,1,0,1,0,0
"4",334,6,11,"gua",2,2,10,10,4,934,1,1,0,1,0,0
"5",335,6,11,"gua",2,2,10,10,4,1405,1,1,0,1,0,0
"6",1894,22,11,"gua",1,1,3,11,8,1203,0.894,0.868231083147077,0.025768916852923,0,0,0
"7",1895,22,11,"gua",1,1,3,11,8,1994,0.894,0.868231083147077,0.025768916852923,0,0,0
"8",1896,22,11,"gua",1,1,3,11,8,948,0.894,0.868231083147077,0.025768916852923,0,0,1
"9",1897,22,11,"gua",1,1,3,11,8,2426,0.894,0.868231083147077,0.025768916852923,0,0,0
"10",1898,22,11,"gua",1,1,3,11,8,355,0.894,0.868231083147077,0.025768916852923,1,0,0
"11",1899,22,11,"gua",1,1,3,11,8,1043,0.894,0.868231083147077,0.025768916852923,1,0,0
"12",1900,22,11,"gua",1,1,3,11,8,544,0.894,0.868231083147077,0.025768916852923,1,0,0
"13",1901,22,11,"gua",1,1,3,11,8,2550,0.894,0.868231083147077,0.025768916852923,1,0,0
"14",1902,22,11,"gua",1,1,3,11,8,773,0.894,0.868231083147077,0.025768916852923,0,0,1
"15",1903,22,11,"gua",1,1,3,11,8,1132,0.894,0.868231083147077,0.025768916852923,1,0,0
"16",1904,22,11,"gua",1,1,3,11,8,969,0.894,0.868231083147077,0.025768916852923,1,0,0
"17",1905,22,11,"gua",1,1,3,11,8,1306,0.894,0.868231083147077,0.025768916852923,1,0,0
"18",1906,22,11,"gua",1,1,3,11,8,1352,0.894,0.868231083147077,0.025768916852923,1,0,0
"19",1907,22,11,"gua",1,1,3,11,8,1397,0.894,0.868231083147077,0.025768916852923,0,0,1
"20",1908,22,11,"gua",1,1,3,11,8,956,0.894,0.868231083147077,0.025768916852923,0,0,0
"21",1909,22,11,"gua",1,1,3,11,8,426,0.894,0.868231083147077,0.025768916852923,1,0,0
"22",1910,22,11,"gua",1,1,3,11,8,1908,0.894,0.868231083147077,0.025768916852923,0,0,1
"23",1911,22,11,"gua",1,1,3,11,8,1530,0.894,0.868231083147077,0.025768916852923,1,0,0
"24",2347,29,11,"gua",1,1,3,11,8,1804,0.894,0.868231083147077,0.025768916852923,0,0,0
"25",2348,29,11,"gua",1,1,3,11,8,2178,0.894,0.868231083147077,0.025768916852923,0,0,0
"26",2349,29,11,"gua",1,1,3,11,8,1435,0.894,0.868231083147077,0.025768916852923,0,0,0
"27",2350,29,11,"gua",1,1,3,11,8,1831,0.894,0.868231083147077,0.025768916852923,0,0,1
"28",2351,29,11,"gua",1,1,3,11,8,990,0.894,0.868231083147077,0.025768916852923,1,0,0
"29",2352,29,11,"gua",1,1,3,11,8,1419,0.894,0.868231083147077,0.025768916852923,1,0,0
"30",2353,29,11,"gua",1,1,3,11,8,858,0.894,0.868231083147077,0.025768916852923,1,0,0
"31",2354,29,11,"gua",1,1,3,11,8,1311,0.894,0.868231083147077,0.025768916852923,1,0,0
"32",2355,29,11,"gua",1,1,3,11,8,397,0.894,0.868231083147077,0.025768916852923,1,0,0
"33",2356,29,11,"gua",1,1,3,11,8,2869,0.894,0.868231083147077,0.025768916852923,0,0,1
"34",2357,29,11,"gua",1,1,3,11,8,467,0.894,0.868231083147077,0.025768916852923,1,0,0
"35",2358,29,11,"gua",1,1,3,11,8,2434,0.894,0.868231083147077,0.025768916852923,1,0,0
"36",2359,29,11,"gua",1,1,3,11,8,1545,0.894,0.868231083147077,0.025768916852923,1,0,0
"37",2360,29,11,"gua",1,1,3,11,8,1368,0.894,0.868231083147077,0.025768916852923,1,0,0
"38",2361,29,11,"gua",1,1,3,11,8,1058,0.894,0.868231083147077,0.025768916852923,1,0,0
"39",2362,29,11,"gua",1,1,3,11,8,307,0.894,0.868231083147077,0.025768916852923,1,0,0
"40",2363,29,11,"gua",1,1,3,11,8,983,0.894,0.868231083147077,0.025768916852923,1,0,0
"41",2364,29,11,"gua",1,1,3,11,8,1030,0.894,0.868231083147077,0.025768916852923,1,0,0
"42",2365,29,11,"gua",1,1,3,11,8,1657,0.894,0.868231083147077,0.025768916852923,1,0,0
"43",2366,29,11,"gua",1,1,3,11,8,418,0.894,0.868231083147077,0.025768916852923,1,0,0
"44",2367,29,11,"gua",1,1,3,11,8,338,0.894,0.868231083147077,0.025768916852923,1,0,0
"45",2368,29,11,"gua",1,1,3,11,8,1714,0.894,0.868231083147077,0.025768916852923,1,0,0
"46",2369,29,11,"gua",1,1,3,11,8,1483,0.894,0.868231083147077,0.025768916852923,1,0,0
"47",2370,29,11,"gua",1,1,3,11,8,698,0.894,0.868231083147077,0.025768916852923,1,0,0
"48",2371,29,11,"gua",1,1,3,11,8,1774,0.894,0.868231083147077,0.025768916852923,1,0,0
"49",2372,29,11,"gua",1,1,3,11,8,533,0.894,0.868231083147077,0.025768916852923,1,0,0
"50",2373,29,11,"gua",1,1,3,11,8,1236,0.894,0.868231083147077,0.025768916852923,1,0,0
"51",2374,29,11,"gua",1,1,3,11,8,1404,0.894,0.868231083147077,0.025768916852923,1,0,0
"52",2375,30,11,"gua",1,1,3,11,8,1998,0.894,0.868231083147077,0.025768916852923,0,0,0
"53",2376,30,11,"gua",1,1,3,11,8,1345,0.894,0.868231083147077,0.025768916852923,0,0,0
"54",2377,30,11,"gua",1,1,3,11,8,2096,0.894,0.868231083147077,0.025768916852923,0,0,0
"55",2378,30,11,"gua",1,1,3,11,8,1507,0.894,0.868231083147077,0.025768916852923,0,0,0
"56",2379,30,11,"gua",1,1,3,11,8,2393,0.894,0.868231083147077,0.025768916852923,0,0,0
"57",2380,30,11,"gua",1,1,3,11,8,1550,0.894,0.868231083147077,0.025768916852923,0,0,0
"58",2381,30,11,"gua",1,1,3,11,8,1054,0.894,0.868231083147077,0.025768916852923,0,0,0
"59",2382,30,11,"gua",1,1,3,11,8,2288,0.894,0.868231083147077,0.025768916852923,0,0,0
"60",2383,30,11,"gua",1,1,3,11,8,1409,0.894,0.868231083147077,0.025768916852923,0,0,0
"61",2384,30,11,"gua",1,1,3,11,8,1047,0.894,0.868231083147077,0.025768916852923,0,0,0
"62",2385,30,11,"gua",1,1,3,11,8,3827,0.894,0.868231083147077,0.025768916852923,0,0,0
"63",2386,30,11,"gua",1,1,3,11,8,1520,0.894,0.868231083147077,0.025768916852923,0,0,0
"64",2387,30,11,"gua",1,1,3,11,8,1288,0.894,0.868231083147077,0.025768916852923,0,0,0
"65",2388,30,11,"gua",1,1,3,11,8,2612,0.894,0.868231083147077,0.025768916852923,0,0,0
"66",2389,30,11,"gua",1,1,3,11,8,2487,0.894,0.868231083147077,0.025768916852923,0,0,0
"67",2390,30,11,"gua",1,1,3,11,8,3667,0.894,0.868231083147077,0.025768916852923,0,0,0
"68",2391,30,11,"gua",1,1,3,11,8,859,0.894,0.868231083147077,0.025768916852923,1,0,0
"69",2392,30,11,"gua",1,1,3,11,8,2755,0.894,0.868231083147077,0.025768916852923,1,0,0
"70",2393,30,11,"gua",1,1,3,11,8,1885,0.894,0.868231083147077,0.025768916852923,1,0,0
"71",2394,30,11,"gua",1,1,3,11,8,922,0.894,0.868231083147077,0.025768916852923,1,0,0
"72",2395,30,11,"gua",1,1,3,11,8,1063,0.894,0.868231083147077,0.025768916852923,1,0,0
"73",2396,30,11,"gua",1,1,3,11,8,1220,0.894,0.868231083147077,0.025768916852923,1,0,0
"74",2397,30,11,"gua",1,1,3,11,8,1301,0.894,0.868231083147077,0.025768916852923,1,0,0
"75",2398,30,11,"gua",1,1,3,11,8,2311,0.894,0.868231083147077,0.025768916852923,1,0,0
"76",2399,30,11,"gua",1,1,3,11,8,2663,0.894,0.868231083147077,0.025768916852923,0,0,0
"77",2400,30,11,"gua",1,1,3,11,8,1276,0.894,0.868231083147077,0.025768916852923,0,0,0
"78",2401,30,11,"gua",1,1,3,11,8,1847,0.894,0.868231083147077,0.025768916852923,0,0,1
"79",2402,30,11,"gua",1,1,3,11,8,947,0.894,0.868231083147077,0.025768916852923,1,0,0
"80",2403,30,11,"gua",1,1,3,11,8,869,0.894,0.868231083147077,0.025768916852923,1,0,0
"81",2404,30,11,"gua",1,1,3,11,8,794,0.894,0.868231083147077,0.025768916852923,1,0,0
"82",2405,30,11,"gua",1,1,3,11,8,2189,0.894,0.868231083147077,0.025768916852923,0,0,1
"83",2406,30,11,"gua",1,1,3,11,8,1579,0.894,0.868231083147077,0.025768916852923,1,0,0
"84",2407,30,11,"gua",1,1,3,11,8,2181,0.894,0.868231083147077,0.025768916852923,0,0,0
"85",2408,30,11,"gua",1,1,3,11,8,2182,0.894,0.868231083147077,0.025768916852923,0,0,1
"86",2409,30,11,"gua",1,1,3,11,8,2821,0.894,0.868231083147077,0.025768916852923,0,0,1
"87",2410,30,11,"gua",1,1,3,11,8,1087,0.894,0.868231083147077,0.025768916852923,1,0,0
"88",2411,30,11,"gua",1,1,3,11,8,1172,0.894,0.868231083147077,0.025768916852923,1,0,0
"89",2412,30,11,"gua",1,1,3,11,8,1164,0.894,0.868231083147077,0.025768916852923,1,0,0
"90",2413,30,11,"gua",1,1,3,11,8,2561,0.894,0.868231083147077,0.025768916852923,1,0,0
"91",2414,30,11,"gua",1,1,3,11,8,2488,0.894,0.868231083147077,0.025768916852923,1,0,0
"92",2415,30,11,"gua",1,1,3,11,8,1898,0.894,0.868231083147077,0.025768916852923,1,0,0
"93",2416,30,11,"gua",1,1,3,11,8,757,0.894,0.868231083147077,0.025768916852923,1,0,0
"94",2417,30,11,"gua",1,1,3,11,8,1532,0.894,0.868231083147077,0.025768916852923,1,0,0
"95",2418,30,11,"gua",1,1,3,11,8,707,0.894,0.868231083147077,0.025768916852923,1,0,0
"96",2419,30,11,"gua",1,1,3,11,8,635,0.894,0.868231083147077,0.025768916852923,1,0,0
"97",2420,30,11,"gua",1,1,3,11,8,1780,0.894,0.868231083147077,0.025768916852923,1,0,0
"98",2421,30,11,"gua",1,1,3,11,8,1468,0.894,0.868231083147077,0.025768916852923,1,0,0
"99",2422,30,11,"gua",1,1,3,11,8,1483,0.894,0.868231083147077,0.025768916852923,1,0,0
"100",2423,30,11,"gua",1,1,3,11,8,975,0.894,0.868231083147077,0.025768916852923,1,0,0
"101",2424,30,11,"gua",1,1,3,11,8,1424,0.894,0.868231083147077,0.025768916852923,1,0,0
"102",2425,30,11,"gua",1,1,3,11,8,1410,0.894,0.868231083147077,0.025768916852923,1,0,0
"103",2426,30,11,"gua",1,1,3,11,8,1188,0.894,0.868231083147077,0.025768916852923,1,0,0
"104",2427,30,11,"gua",1,1,3,11,8,1383,0.894,0.868231083147077,0.025768916852923,1,0,0
"105",2428,30,11,"gua",1,1,3,11,8,555,0.894,0.868231083147077,0.025768916852923,1,0,0
"106",2429,30,11,"gua",1,1,3,11,8,1300,0.894,0.868231083147077,0.025768916852923,1,0,0
"107",2430,30,11,"gua",1,1,3,11,8,726,0.894,0.868231083147077,0.025768916852923,1,0,0
"108",2431,30,11,"gua",1,1,3,11,8,986,0.894,0.868231083147077,0.025768916852923,1,0,0
"109",2432,30,11,"gua",1,1,3,11,8,857,0.894,0.868231083147077,0.025768916852923,1,0,0
"110",2433,30,11,"gua",1,1,3,11,8,1007,0.894,0.868231083147077,0.025768916852923,1,0,0
"111",2434,30,11,"gua",1,1,3,11,8,1053,0.894,0.868231083147077,0.025768916852923,1,0,0
"112",2435,30,11,"gua",1,1,3,11,8,1102,0.894,0.868231083147077,0.025768916852923,1,0,0
"113",2436,30,11,"gua",1,1,3,11,8,1422,0.894,0.868231083147077,0.025768916852923,1,0,0
"114",2437,30,11,"gua",1,1,3,11,8,811,0.894,0.868231083147077,0.025768916852923,1,0,0
"115",2438,30,11,"gua",1,1,3,11,8,798,0.894,0.868231083147077,0.025768916852923,1,0,0
"116",2439,30,11,"gua",1,1,3,11,8,1451,0.894,0.868231083147077,0.025768916852923,1,0,0
"117",2440,30,11,"gua",1,1,3,11,8,1289,0.894,0.868231083147077,0.025768916852923,1,0,0
"118",2441,30,11,"gua",1,1,3,11,8,1369,0.894,0.868231083147077,0.025768916852923,1,0,0
"119",2442,30,11,"gua",1,1,3,11,8,936,0.894,0.868231083147077,0.025768916852923,1,0,0
"120",2443,30,11,"gua",1,1,3,11,8,922,0.894,0.868231083147077,0.025768916852923,1,0,0
"121",2444,30,11,"gua",1,1,3,11,8,872,0.894,0.868231083147077,0.025768916852923,1,0,0
"122",2445,30,11,"gua",1,1,3,11,8,447,0.894,0.868231083147077,0.025768916852923,1,0,0
"123",2543,33,11,"gua",2,2,10,10,4,2431,1,1,0,0,0,0
"124",2544,33,11,"gua",2,2,10,10,4,3461,1,1,0,0,0,0
"125",2545,33,11,"gua",2,2,10,10,4,3933,1,1,0,0,0,0
"126",2546,33,11,"gua",2,2,10,10,4,1213,1,1,0,0,0,0
"127",2547,33,11,"gua",2,2,10,10,4,769,1,1,0,0,0,0
"128",2548,33,11,"gua",2,2,10,10,4,2143,1,1,0,0,0,0
"129",2549,33,11,"gua",2,2,10,10,4,2656,1,1,0,0,0,0
"130",2550,33,11,"gua",2,2,10,10,4,2074,1,1,0,0,0,0
"131",2551,33,11,"gua",2,2,10,10,4,6494,1,1,0,0,0,0
"132",2552,33,11,"gua",2,2,10,10,4,1871,1,1,0,0,0,0
"133",2553,33,11,"gua",2,2,10,10,4,1740,1,1,0,0,0,0
"134",2554,33,11,"gua",2,2,10,10,4,1636,1,1,0,0,0,0
"135",2555,33,11,"gua",2,2,10,10,4,850,1,1,0,0,0,0
"136",2556,33,11,"gua",2,2,10,10,4,3362,1,1,0,0,0,0
"137",2557,33,11,"gua",2,2,10,10,4,3158,1,1,0,0,0,0
"138",2558,33,11,"gua",2,2,10,10,4,2829,1,1,0,0,0,0
"139",2559,33,11,"gua",2,2,10,10,4,1998,1,1,0,0,0,0
"140",2560,33,11,"gua",2,2,10,10,4,3606,1,1,0,0,0,0
"141",2561,33,11,"gua",2,2,10,10,4,3358,1,1,0,0,0,0
"142",2563,33,11,"gua",2,2,10,10,4,340,1,1,0,1,0,0
"143",2564,33,11,"gua",2,2,10,10,4,238,1,1,0,1,0,0
"144",2566,33,11,"gua",2,2,10,10,4,243,1,1,0,1,0,0
"145",2568,33,11,"gua",2,2,10,10,4,218,1,1,0,1,0,0
"146",2569,33,11,"gua",2,2,10,10,4,609,1,1,0,1,0,0
"147",2570,33,11,"gua",2,2,10,10,4,142,1,1,0,1,0,0
"148",2571,33,11,"gua",2,2,10,10,4,760,1,1,0,1,0,0
"149",2572,33,11,"gua",2,2,10,10,4,1486,1,1,0,1,0,0
"150",2573,33,11,"gua",2,2,10,10,4,2234,1,1,0,1,0,0
"151",2574,33,11,"gua",2,2,10,10,4,2250,1,1,0,1,0,0
"152",2575,33,11,"gua",2,2,10,10,4,908,1,1,0,1,0,0
"153",2576,33,11,"gua",2,2,10,10,4,871,1,1,0,1,0,0
"154",2577,33,11,"gua",2,2,10,10,4,1191,1,1,0,1,0,0
"155",2578,33,11,"gua",2,2,10,10,4,718,1,1,0,1,0,0
"156",2579,33,11,"gua",2,2,10,10,4,2292,1,1,0,1,0,0
"157",2580,33,11,"gua",2,2,10,10,4,317,1,1,0,1,0,0
"158",2581,33,11,"gua",2,2,10,10,4,3255,1,1,0,1,0,0
"159",2582,33,11,"gua",2,2,10,10,4,1913,1,1,0,1,0,0
"160",2583,33,11,"gua",2,2,10,10,4,1297,1,1,0,1,0,0
"161",2584,33,11,"gua",2,2,10,10,4,1746,1,1,0,1,0,0
"162",2585,33,11,"gua",2,2,10,10,4,2393,1,1,0,1,0,0
"163",2586,33,11,"gua",2,2,10,10,4,2144,1,1,0,1,0,0
"164",2587,33,11,"gua",2,2,10,10,4,6515,1,1,0,0,0,0
"165",2588,33,11,"gua",2,2,10,10,4,3079,1,1,0,0,0,1
"166",2589,33,11,"gua",2,2,10,10,4,2765,1,1,0,1,0,0
"167",2590,33,11,"gua",2,2,10,10,4,1912,1,1,0,1,0,0
"168",2591,33,11,"gua",2,2,10,10,4,1635,1,1,0,0,0,1
"169",2592,33,11,"gua",2,2,10,10,4,1537,1,1,0,0,0,1
"170",2593,33,11,"gua",2,2,10,10,4,1731,1,1,0,1,0,0
"171",2594,33,11,"gua",2,2,10,10,4,1231,1,1,0,1,0,0
"172",2595,33,11,"gua",2,2,10,10,4,2486,1,1,0,1,0,0
"173",2596,33,11,"gua",2,2,10,10,4,753,1,1,0,1,0,0
"174",2597,33,11,"gua",2,2,10,10,4,2086,1,1,0,1,0,0
"175",2598,33,11,"gua",2,2,10,10,4,3223,1,1,0,1,0,0
"176",2599,33,11,"gua",2,2,10,10,4,2368,1,1,0,1,0,0
"177",2600,33,11,"gua",2,2,10,10,4,1745,1,1,0,1,0,0
"178",2601,33,11,"gua",2,2,10,10,4,2953,1,1,0,1,0,0
"179",2602,33,11,"gua",2,2,10,10,4,2838,1,1,0,1,0,0
"180",2603,34,11,"gua",2,2,10,10,4,2220,1,1,0,0,0,1
"181",2604,34,11,"gua",2,2,10,10,4,1487,1,1,0,0,0,1
"182",2605,34,11,"gua",2,2,10,10,4,999,1,1,0,1,0,0
"183",2606,34,11,"gua",2,2,10,10,4,323,1,1,0,1,0,0
"184",2607,34,11,"gua",2,2,10,10,4,511,1,1,0,1,0,0
"185",2891,43,11,"gua",2,2,10,10,4,2066,1,1,0,0,0,1
"186",2892,43,11,"gua",2,2,10,10,4,3116,1,1,0,0,0,1
"187",2893,43,11,"gua",2,2,10,10,4,285,1,1,0,1,0,0
"188",2894,43,11,"gua",2,2,10,10,4,882,1,1,0,1,0,0
"189",2895,43,11,"gua",2,2,10,10,4,797,1,1,0,1,0,0
"190",2896,43,11,"gua",2,2,10,10,4,225,1,1,0,1,0,0
"191",2897,43,11,"gua",2,2,10,10,4,846,1,1,0,1,0,0
"192",2898,43,11,"gua",2,2,10,10,4,754,1,1,0,1,0,0
"193",2899,43,11,"gua",2,2,10,10,4,1982,1,1,0,1,0,0
"194",2900,43,11,"gua",2,2,10,10,4,1652,1,1,0,1,0,0
"195",2901,43,11,"gua",2,2,10,10,4,826,1,1,0,1,0,0
"196",2902,43,11,"gua",2,2,10,10,4,1521,1,1,0,1,0,0
"197",2903,43,11,"gua",2,2,10,10,4,2260,1,1,0,1,0,0
"198",2904,43,11,"gua",2,2,10,10,4,921,1,1,0,1,0,0
"199",2905,43,11,"gua",2,2,10,10,4,1581,1,1,0,1,0,0
"200",2934,45,11,"gua",2,2,10,10,4,878,1,1,0,0,0,1
"201",2935,45,11,"gua",2,2,10,10,4,2264,1,1,0,0,0,1
"202",2936,45,11,"gua",2,2,10,10,4,370,1,1,0,0,0,1
"203",2937,45,11,"gua",2,2,10,10,4,664,1,1,0,1,0,0
"204",2938,45,11,"gua",2,2,10,10,4,559,1,1,0,1,0,0
"205",2939,45,11,"gua",2,2,10,10,4,389,1,1,0,1,0,0
"206",2940,45,11,"gua",2,2,10,10,4,1179,1,1,0,1,0,0
"207",2941,45,11,"gua",2,2,10,10,4,507,1,1,0,1,0,0
"208",2942,45,11,"gua",2,2,10,10,4,1312,1,1,0,1,0,0
"209",2943,45,11,"gua",2,2,10,10,4,521,1,1,0,1,0,0
"210",2944,45,11,"gua",2,2,10,10,4,1022,1,1,0,1,0,0
"211",2945,45,11,"gua",2,2,10,10,4,489,1,1,0,1,0,0
"212",2946,45,11,"gua",2,2,10,10,4,509,1,1,0,1,0,0
"213",2948,45,11,"gua",2,2,10,10,4,532,1,1,0,1,0,0
"214",141,3,11,"gua",9,9,6,5,3,6511,0.56,0.482179835533797,0.077820164466203,0,0,1
"215",142,3,11,"gua",9,9,6,5,3,2540,0.56,0.482179835533797,0.077820164466203,0,0,0
"216",143,3,11,"gua",9,9,6,5,3,1579,0.56,0.482179835533797,0.077820164466203,0,0,0
"217",144,3,11,"gua",9,9,6,5,3,1314,0.56,0.482179835533797,0.077820164466203,0,0,0
"218",145,3,11,"gua",9,9,6,5,3,8141,0.56,0.482179835533797,0.077820164466203,0,0,1
"219",146,3,11,"gua",9,9,6,5,3,2592,0.56,0.482179835533797,0.077820164466203,0,0,0
"220",147,3,11,"gua",9,9,6,5,3,1183,0.56,0.482179835533797,0.077820164466203,0,0,0
"221",148,3,11,"gua",9,9,6,5,3,1026,0.56,0.482179835533797,0.077820164466203,0,0,0
"222",149,3,11,"gua",9,9,6,5,3,779,0.56,0.482179835533797,0.077820164466203,0,0,0
"223",150,3,11,"gua",9,9,6,5,3,1104,0.56,0.482179835533797,0.077820164466203,0,0,0
"224",151,3,11,"gua",9,9,6,5,3,535,0.56,0.482179835533797,0.077820164466203,0,0,0
"225",152,3,11,"gua",9,9,6,5,3,1033,0.56,0.482179835533797,0.077820164466203,0,0,0
"226",153,3,11,"gua",9,9,6,5,3,1089,0.56,0.482179835533797,0.077820164466203,0,0,0
"227",154,3,11,"gua",9,9,6,5,3,1162,0.56,0.482179835533797,0.077820164466203,0,0,0
"228",155,3,11,"gua",9,9,6,5,3,2641,0.56,0.482179835533797,0.077820164466203,0,0,0
"229",156,3,11,"gua",9,9,6,5,3,3850,0.56,0.482179835533797,0.077820164466203,0,0,0
"230",157,3,11,"gua",9,9,6,5,3,4553,0.56,0.482179835533797,0.077820164466203,0,0,0
"231",158,3,11,"gua",9,9,6,5,3,2782,0.56,0.482179835533797,0.077820164466203,0,0,0
"232",159,3,11,"gua",9,9,6,5,3,1414,0.56,0.482179835533797,0.077820164466203,0,0,0
"233",160,3,11,"gua",9,9,6,5,3,671,0.56,0.482179835533797,0.077820164466203,0,0,0
"234",161,3,11,"gua",9,9,6,5,3,718,0.56,0.482179835533797,0.077820164466203,0,0,0
"235",162,3,11,"gua",9,9,6,5,3,288,0.56,0.482179835533797,0.077820164466203,0,0,0
"236",163,3,11,"gua",9,9,6,5,3,753,0.56,0.482179835533797,0.077820164466203,0,0,0
"237",164,3,11,"gua",9,9,6,5,3,5424,0.56,0.482179835533797,0.077820164466203,0,0,0
"238",165,3,11,"gua",9,9,6,5,3,2315,0.56,0.482179835533797,0.077820164466203,0,0,0
"239",166,3,11,"gua",9,9,6,5,3,393,0.56,0.482179835533797,0.077820164466203,0,0,0
"240",167,3,11,"gua",9,9,6,5,3,496,0.56,0.482179835533797,0.077820164466203,0,0,0
"241",168,3,11,"gua",9,9,6,5,3,1550,0.56,0.482179835533797,0.077820164466203,0,0,0
"242",169,3,11,"gua",9,9,6,5,3,1691,0.56,0.482179835533797,0.077820164466203,0,0,0
"243",170,3,11,"gua",9,9,6,5,3,727,0.56,0.482179835533797,0.077820164466203,0,0,0
"244",171,3,11,"gua",9,9,6,5,3,1831,0.56,0.482179835533797,0.077820164466203,0,0,0
"245",172,3,11,"gua",9,9,6,5,3,1141,0.56,0.482179835533797,0.077820164466203,0,0,0
"246",173,3,11,"gua",9,9,6,5,3,7033,0.56,0.482179835533797,0.077820164466203,0,0,0
"247",174,3,11,"gua",9,9,6,5,3,2071,0.56,0.482179835533797,0.077820164466203,0,0,0
"248",175,3,11,"gua",9,9,6,5,3,2591,0.56,0.482179835533797,0.077820164466203,0,0,1
"249",176,3,11,"gua",9,9,6,5,3,553,0.56,0.482179835533797,0.077820164466203,0,0,0
"250",177,3,11,"gua",9,9,6,5,3,1718,0.56,0.482179835533797,0.077820164466203,1,0,0
"251",178,3,11,"gua",9,9,6,5,3,680,0.56,0.482179835533797,0.077820164466203,1,0,0
"252",179,3,11,"gua",9,9,6,5,3,1400,0.56,0.482179835533797,0.077820164466203,1,0,0
"253",180,3,11,"gua",9,9,6,5,3,1622,0.56,0.482179835533797,0.077820164466203,1,0,0
"254",181,3,11,"gua",9,9,6,5,3,936,0.56,0.482179835533797,0.077820164466203,1,0,0
"255",182,3,11,"gua",9,9,6,5,3,1052,0.56,0.482179835533797,0.077820164466203,1,0,0
"256",183,3,11,"gua",9,9,6,5,3,2115,0.56,0.482179835533797,0.077820164466203,1,0,0
"257",184,3,11,"gua",9,9,6,5,3,1289,0.56,0.482179835533797,0.077820164466203,1,0,0
"258",185,3,11,"gua",9,9,6,5,3,1763,0.56,0.482179835533797,0.077820164466203,0,0,0
"259",186,3,11,"gua",9,9,6,5,3,968,0.56,0.482179835533797,0.077820164466203,0,0,0
"260",187,3,11,"gua",9,9,6,5,3,820,0.56,0.482179835533797,0.077820164466203,1,0,0
"261",188,3,11,"gua",9,9,6,5,3,2837,0.56,0.482179835533797,0.077820164466203,1,0,0
"262",189,3,11,"gua",9,9,6,5,3,1974,0.56,0.482179835533797,0.077820164466203,1,0,0
"263",190,3,11,"gua",9,9,6,5,3,2006,0.56,0.482179835533797,0.077820164466203,1,0,0
"264",191,3,11,"gua",9,9,6,5,3,1559,0.56,0.482179835533797,0.077820164466203,1,0,0
"265",192,3,11,"gua",9,9,6,5,3,676,0.56,0.482179835533797,0.077820164466203,1,0,0
"266",193,3,11,"gua",9,9,6,5,3,740,0.56,0.482179835533797,0.077820164466203,1,0,0
"267",194,3,11,"gua",9,9,6,5,3,2066,0.56,0.482179835533797,0.077820164466203,1,0,0
"268",195,3,11,"gua",9,9,6,5,3,954,0.56,0.482179835533797,0.077820164466203,1,0,0
"269",196,3,11,"gua",9,9,6,5,3,172,0.56,0.482179835533797,0.077820164466203,1,0,0
"270",197,3,11,"gua",9,9,6,5,3,1861,0.56,0.482179835533797,0.077820164466203,1,0,0
"271",198,3,11,"gua",9,9,6,5,3,732,0.56,0.482179835533797,0.077820164466203,1,0,0
"272",199,3,11,"gua",9,9,6,5,3,639,0.56,0.482179835533797,0.077820164466203,1,0,0
"273",200,3,11,"gua",9,9,6,5,3,2550,0.56,0.482179835533797,0.077820164466203,1,0,0
"274",201,3,11,"gua",9,9,6,5,3,1384,0.56,0.482179835533797,0.077820164466203,1,0,0
"275",202,3,11,"gua",9,9,6,5,3,1569,0.56,0.482179835533797,0.077820164466203,1,0,0
"276",203,3,11,"gua",9,9,6,5,3,1211,0.56,0.482179835533797,0.077820164466203,1,0,0
"277",204,3,11,"gua",9,9,6,5,3,1463,0.56,0.482179835533797,0.077820164466203,1,0,0
"278",205,3,11,"gua",9,9,6,5,3,1569,0.56,0.482179835533797,0.077820164466203,1,0,0
"279",206,3,11,"gua",9,9,6,5,3,1551,0.56,0.482179835533797,0.077820164466203,1,0,0
"280",207,3,11,"gua",9,9,6,5,3,1098,0.56,0.482179835533797,0.077820164466203,1,0,0
"281",208,3,11,"gua",9,9,6,5,3,1362,0.56,0.482179835533797,0.077820164466203,1,0,0
"282",209,3,11,"gua",9,9,6,5,3,545,0.56,0.482179835533797,0.077820164466203,1,0,0
"283",210,3,11,"gua",9,9,6,5,3,1513,0.56,0.482179835533797,0.077820164466203,1,0,0
"284",211,3,11,"gua",9,9,6,5,3,1712,0.56,0.482179835533797,0.077820164466203,1,0,0
"285",212,3,11,"gua",9,9,6,5,3,1402,0.56,0.482179835533797,0.077820164466203,1,0,0
"286",213,3,11,"gua",9,9,6,5,3,1291,0.56,0.482179835533797,0.077820164466203,1,0,0
"287",214,3,11,"gua",9,9,6,5,3,2775,0.56,0.482179835533797,0.077820164466203,1,0,0
