"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"1",24,3,14,"jal",3,1,8,3,3,2618,0.991,0.993118838450891,0.002118838450891,0,0,1
"2",25,3,14,"jal",3,1,8,3,3,1152,0.991,0.993118838450891,0.002118838450891,0,0,1
"3",26,3,14,"jal",3,1,8,3,3,984,0.991,0.993118838450891,0.002118838450891,0,0,0
"4",27,3,14,"jal",3,1,8,3,3,2246,0.991,0.993118838450891,0.002118838450891,0,0,1
"5",28,3,14,"jal",3,1,8,3,3,1791,0.991,0.993118838450891,0.002118838450891,0,0,1
"6",29,3,14,"jal",3,1,8,3,3,2556,0.991,0.993118838450891,0.002118838450891,0,0,0
"7",30,3,14,"jal",3,1,8,3,3,996,0.991,0.993118838450891,0.002118838450891,0,0,0
"8",31,3,14,"jal",3,1,8,3,3,3370,0.991,0.993118838450891,0.002118838450891,0,0,0
"9",32,3,14,"jal",3,1,8,3,3,408,0.991,0.993118838450891,0.002118838450891,1,0,0
"10",33,3,14,"jal",3,1,8,3,3,1557,0.991,0.993118838450891,0.002118838450891,1,0,0
"11",34,3,14,"jal",3,1,8,3,3,2353,0.991,0.993118838450891,0.002118838450891,1,0,0
"12",35,3,14,"jal",3,1,8,3,3,1683,0.991,0.993118838450891,0.002118838450891,1,0,0
"13",40,5,14,"jal",3,1,2,3,3,3519,0.991,0.993118838450891,0.002118838450891,0,0,1
"14",41,5,14,"jal",3,1,2,3,3,1924,0.991,0.993118838450891,0.002118838450891,0,0,0
"15",42,5,14,"jal",3,1,2,3,3,3152,0.991,0.993118838450891,0.002118838450891,0,0,0
"16",43,5,14,"jal",3,1,2,3,3,2950,0.991,0.993118838450891,0.002118838450891,0,0,0
"17",44,5,14,"jal",3,1,2,3,3,629,0.991,0.993118838450891,0.002118838450891,1,0,0
"18",45,5,14,"jal",3,1,2,3,3,621,0.991,0.993118838450891,0.002118838450891,1,0,0
"19",46,5,14,"jal",3,1,2,3,3,509,0.991,0.993118838450891,0.002118838450891,1,0,0
"20",47,5,14,"jal",3,1,2,3,3,1344,0.991,0.993118838450891,0.002118838450891,1,0,0
"21",94,7,14,"jal",3,1,2,3,3,2366,0.991,0.993118838450891,0.002118838450891,0,0,0
"22",95,7,14,"jal",3,1,2,3,3,1389,0.991,0.993118838450891,0.002118838450891,0,0,0
"23",96,7,14,"jal",3,1,2,3,3,1618,0.991,0.993118838450891,0.002118838450891,0,0,1
"24",97,7,14,"jal",3,1,2,3,3,865,0.991,0.993118838450891,0.002118838450891,1,0,0
"25",98,7,14,"jal",3,1,2,3,3,772,0.991,0.993118838450891,0.002118838450891,1,0,0
"26",99,7,14,"jal",3,1,2,3,3,322,0.991,0.993118838450891,0.002118838450891,1,0,0
"27",100,7,14,"jal",3,1,2,3,3,678,0.991,0.993118838450891,0.002118838450891,1,0,0
"28",101,7,14,"jal",3,1,2,3,3,970,0.991,0.993118838450891,0.002118838450891,1,0,0
"29",139,9,14,"jal",3,1,2,3,3,3845,0.991,0.993118838450891,0.002118838450891,0,0,1
"30",140,9,14,"jal",3,1,2,3,3,2957,0.991,0.993118838450891,0.002118838450891,0,0,0
"31",141,9,14,"jal",3,1,2,3,3,4940,0.991,0.993118838450891,0.002118838450891,0,0,1
"32",142,9,14,"jal",3,1,2,3,3,2931,0.991,0.993118838450891,0.002118838450891,1,0,0
"33",143,9,14,"jal",3,1,2,3,3,2540,0.991,0.993118838450891,0.002118838450891,1,0,0
"34",292,19,14,"jal",3,1,2,3,3,1454,0.991,0.993118838450891,0.002118838450891,0,0,1
"35",293,19,14,"jal",3,1,2,3,3,666,0.991,0.993118838450891,0.002118838450891,0,0,1
"36",294,19,14,"jal",3,1,2,3,3,4062,0.991,0.993118838450891,0.002118838450891,1,0,0
"37",295,19,14,"jal",3,1,2,3,3,639,0.991,0.993118838450891,0.002118838450891,1,0,0
"38",411,26,14,"jal",3,1,2,3,3,2444,0.991,0.993118838450891,0.002118838450891,0,0,1
"39",412,26,14,"jal",3,1,2,3,3,541,0.991,0.993118838450891,0.002118838450891,1,0,0
"40",413,26,14,"jal",3,1,2,3,3,1509,0.991,0.993118838450891,0.002118838450891,0,0,0
"41",414,26,14,"jal",3,1,2,3,3,2023,0.991,0.993118838450891,0.002118838450891,0,0,0
"42",415,26,14,"jal",3,1,2,3,3,1173,0.991,0.993118838450891,0.002118838450891,0,0,0
"43",416,26,14,"jal",3,1,2,3,3,1311,0.991,0.993118838450891,0.002118838450891,0,0,0
"44",417,26,14,"jal",3,1,2,3,3,1278,0.991,0.993118838450891,0.002118838450891,0,0,1
"45",418,26,14,"jal",3,1,2,3,3,1106,0.991,0.993118838450891,0.002118838450891,0,0,0
"46",419,26,14,"jal",3,1,2,3,3,1408,0.991,0.993118838450891,0.002118838450891,0,0,0
