"","SECCION","munn.x","edon.x","edo","disloc2018","disloc1996","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",13,1,15,"mex",14,13,10,1,4,1422,1,0.647024111074616,0.352975888925384,1,0,0
"14",13,1,15,"mex",14,13,10,1,4,5385,1,0.519352532938594,0.480647467061406,1,0,0
"15",13,1,15,"mex",14,13,10,1,4,2564,1,0.558775244299674,0.441224755700326,1,0,0
"16",13,1,15,"mex",14,13,10,1,4,2261,1,0.616422579490452,0.383577420509548,1,0,0
"17",13,1,15,"mex",14,13,10,1,4,2696,1,1,0,1,0,0
"18",13,1,15,"mex",14,13,10,1,4,2734,1,1,0,1,0,0
"19",13,1,15,"mex",14,13,10,1,4,2786,1,0.519352532938594,0.480647467061406,1,0,0
"20",13,1,15,"mex",14,13,10,1,4,1298,1,1,0,1,0,0
"21",13,1,15,"mex",14,13,10,1,4,2668,1,0.558775244299674,0.441224755700326,1,0,0
"22",13,1,15,"mex",14,13,10,1,4,1723,1,0.869223717654902,0.130776282345098,1,0,0
"23",13,1,15,"mex",14,13,10,1,4,3077,1,0.507186982678564,0.492813017321436,1,0,0
"24",13,1,15,"mex",14,13,10,1,4,1969,1,1,0,1,0,0
"25",13,1,15,"mex",14,13,10,1,4,3167,1,0.869223717654902,0.130776282345098,1,0,0
"26",13,1,15,"mex",14,13,10,1,4,1153,1,1,0,1,0,0
"27",13,1,15,"mex",14,13,10,1,4,14321,1,1,0,1,0,0
"28",13,1,15,"mex",14,13,10,1,4,1715,1,1,0,1,0,0
"29",13,1,15,"mex",14,13,10,1,4,1398,1,1,0,1,0,0
"30",13,1,15,"mex",14,13,10,1,4,11799,1,1,0,1,0,0
"31",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"33",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"34",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"35",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"42",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"44",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"45",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
