"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3_jge","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",188,7,17,"mor",2,1,10,10,9,4047,0.342,0.335320290831181,0.00667970916881905,0,0,1
"2",189,7,17,"mor",1,1,10,10,8,1892,0.342,0.335320290831181,0.00667970916881905,0,0,0
"3",190,7,17,"mor",1,1,8,8,8,3264,0.33,0.403471711976488,0.073471711976488,0,0,0
"4",191,7,17,"mor",1,1,8,8,8,2137,0.33,0.403471711976488,0.073471711976488,0,0,0
"5",192,7,17,"mor",1,1,8,8,8,2626,0.33,0.403471711976488,0.073471711976488,0,0,0
"6",193,7,17,"mor",1,1,8,8,8,3916,0.33,0.403471711976488,0.073471711976488,0,0,0
"7",194,7,17,"mor",1,2,8,8,8,4773,0.33,0.403471711976488,0.073471711976488,0,0,0
"8",195,7,17,"mor",1,2,8,8,8,3332,0.33,0.403471711976488,0.073471711976488,0,0,0
"9",196,7,17,"mor",1,2,8,8,8,4036,0.33,0.403471711976488,0.073471711976488,0,0,0
"10",197,7,17,"mor",1,2,8,8,8,5381,0.33,0.403471711976488,0.073471711976488,0,0,0
"11",198,7,17,"mor",1,2,8,8,8,2918,0.33,0.403471711976488,0.073471711976488,0,0,0
"12",199,7,17,"mor",1,2,8,8,8,3978,0.33,0.403471711976488,0.073471711976488,0,0,0
"13",200,7,17,"mor",1,1,8,8,8,2664,0.33,0.403471711976488,0.073471711976488,0,0,0
"14",201,7,17,"mor",1,1,8,8,8,1945,0.33,0.403471711976488,0.073471711976488,0,0,0
"15",202,7,17,"mor",1,1,8,8,8,2706,0.33,0.403471711976488,0.073471711976488,0,0,0
"16",203,7,17,"mor",1,1,8,8,8,2029,0.33,0.403471711976488,0.073471711976488,0,0,0
"17",204,7,17,"mor",1,1,8,8,8,2772,0.33,0.403471711976488,0.073471711976488,0,0,0
"18",205,7,17,"mor",1,1,10,10,8,3834,0.342,0.335320290831181,0.00667970916881905,0,0,0
"19",206,7,17,"mor",2,1,10,10,9,1799,0.342,0.335320290831181,0.00667970916881905,0,0,0
"20",207,7,17,"mor",2,1,10,10,9,3146,0.342,0.335320290831181,0.00667970916881905,0,0,0
"21",208,7,17,"mor",2,1,10,10,9,2982,0.342,0.335320290831181,0.00667970916881905,0,0,0
"22",209,7,17,"mor",2,1,10,10,9,5191,0.342,0.335320290831181,0.00667970916881905,0,0,0
"23",210,7,17,"mor",2,1,10,10,9,1667,0.342,0.335320290831181,0.00667970916881905,0,0,0
"24",211,7,17,"mor",2,1,10,10,9,1351,0.342,0.335320290831181,0.00667970916881905,0,0,0
"25",212,7,17,"mor",1,1,10,10,8,1145,0.342,0.335320290831181,0.00667970916881905,0,0,0
"26",213,7,17,"mor",1,1,8,8,8,2976,0.33,0.403471711976488,0.073471711976488,0,0,0
"27",214,7,17,"mor",1,1,8,8,8,2399,0.33,0.403471711976488,0.073471711976488,0,0,0
"28",215,7,17,"mor",1,1,8,8,8,1768,0.33,0.403471711976488,0.073471711976488,0,0,0
"29",216,7,17,"mor",1,1,8,8,8,2008,0.33,0.403471711976488,0.073471711976488,0,0,0
"30",217,7,17,"mor",1,1,8,8,8,1081,0.33,0.403471711976488,0.073471711976488,0,0,0
"31",218,7,17,"mor",1,1,8,8,8,1133,0.33,0.403471711976488,0.073471711976488,0,0,0
"32",219,7,17,"mor",1,2,8,8,8,2304,0.33,0.403471711976488,0.073471711976488,0,0,0
"33",220,7,17,"mor",1,2,8,8,8,8082,0.33,0.403471711976488,0.073471711976488,0,0,0
"34",221,7,17,"mor",1,2,8,8,8,2078,0.33,0.403471711976488,0.073471711976488,0,0,0
"35",222,7,17,"mor",1,2,8,8,8,7348,0.33,0.403471711976488,0.073471711976488,0,0,0
"36",223,7,17,"mor",1,2,8,8,8,1213,0.33,0.403471711976488,0.073471711976488,0,0,0
"37",224,7,17,"mor",1,2,8,8,8,1853,0.33,0.403471711976488,0.073471711976488,0,0,0
"38",225,7,17,"mor",1,2,8,8,8,1372,0.33,0.403471711976488,0.073471711976488,0,0,0
"39",226,7,17,"mor",1,2,8,8,8,1379,0.33,0.403471711976488,0.073471711976488,0,0,0
