"edon.x","disloc2015","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
19,20,20,3,1,0.68,0.694,0.971
19,22,21,1,2,0.432,0.489,0.911
19,24,26,2,4,0.431,0.694,0.537
19,21,21,1,2,0.432,0.489,0.911
19,16,5,10,12,0.42,0.42,1
19,26,26,4,4,0.645,0.694,0.537
19,23,23,25,5,0.239,0.293,0.724
19,18,18,23,25,0.875,0.875,1
19,17,25,13,15,0.585,0.585,1
19,15,12,5,7,0.505,0.505,1
19,12,12,5,7,0.505,0.505,1
19,14,14,8,10,0.457,0.457,1
19,13,15,6,8,0.361,0.361,1
19,25,24,4,3,0.645,0.31,0.512
19,3,11,19,19,0.166,0.169,0.974
19,5,4,20,20,0.438,0.44,0.994
19,4,4,20,20,0.438,0.44,0.994
19,6,6,18,18,0.345,0.335,0.969
19,7,6,18,18,0.345,0.335,0.969
19,8,6,18,18,0.345,0.335,0.969
19,1,1,16,16,0.442,0.442,1
19,2,2,22,22,0.376,0.376,1
19,11,10,14,23,0.47,0.466,0.989
19,10,10,14,23,0.47,0.466,0.989
19,9,9,15,24,0.745,0.796,0.947
19,19,19,24,26,0.847,0.847,1
