"","SECCION","munn.x","edon.x","disloc2018.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",423,50,21,2,2,19,6,6,3425,0.296,0.277134303764252,0.018865696235748,0,0,1
"2",424,50,21,2,2,19,6,6,3109,0.296,0.277134303764252,0.018865696235748,1,0,0
"3",425,50,21,2,2,19,6,6,1081,0.296,0.277134303764252,0.018865696235748,1,0,0
"4",426,50,21,2,2,19,6,6,1730,0.296,0.277134303764252,0.018865696235748,1,0,0
"5",427,50,21,2,2,19,6,6,2402,0.296,0.277134303764252,0.018865696235748,1,0,0
"6",428,50,21,2,2,19,6,6,3475,0.296,0.277134303764252,0.018865696235748,1,0,0
"7",429,50,21,2,2,19,6,6,1117,0.296,0.277134303764252,0.018865696235748,1,0,0
"8",502,58,21,1,1,15,14,14,2270,1,1,0,0,0,1
"9",503,58,21,1,1,15,14,14,1899,1,1,0,1,0,0
"10",504,58,21,1,1,15,14,14,3299,1,1,0,1,0,0
"11",535,65,21,1,1,15,14,14,2884,1,1,0,0,0,1
"12",536,65,21,1,1,15,14,14,2063,1,1,0,0,0,1
"13",537,65,21,1,1,15,14,14,1913,1,1,0,1,0,0
"14",538,65,21,1,1,15,14,14,2195,1,1,0,1,0,0
"15",539,65,21,1,1,15,14,14,1026,1,1,0,1,0,0
"16",540,65,21,1,1,15,14,14,1221,1,1,0,1,0,0
"17",541,65,21,1,1,15,14,14,2122,1,1,0,1,0,0
"18",542,65,21,1,1,15,14,14,1798,1,1,0,1,0,0
"19",543,65,21,1,1,15,14,14,1048,1,1,0,1,0,0
"20",594,72,21,2,2,13,6,6,618,0.338,0.384711820360298,0.046711820360298,0,0,0
"21",595,72,21,2,2,13,6,6,1506,0.338,0.384711820360298,0.046711820360298,0,0,0
"22",596,72,21,2,2,13,6,6,1370,0.338,0.384711820360298,0.046711820360298,0,0,1
"23",597,72,21,2,2,13,6,6,2136,0.338,0.384711820360298,0.046711820360298,0,0,0
"24",598,72,21,2,2,13,6,6,2600,0.338,0.384711820360298,0.046711820360298,0,0,1
"25",599,72,21,2,2,13,6,6,2179,0.338,0.384711820360298,0.046711820360298,0,0,0
"26",600,72,21,2,2,13,6,6,2663,0.338,0.384711820360298,0.046711820360298,0,0,1
"27",601,72,21,2,2,13,6,6,1304,0.338,0.384711820360298,0.046711820360298,0,0,0
"28",602,72,21,2,2,13,6,6,1766,0.338,0.384711820360298,0.046711820360298,0,0,0
"29",603,72,21,2,2,13,6,6,6084,0.338,0.384711820360298,0.046711820360298,0,0,0
"30",604,72,21,2,2,13,6,6,4554,0.338,0.384711820360298,0.046711820360298,0,0,0
"31",605,72,21,2,2,13,6,6,2707,0.338,0.384711820360298,0.046711820360298,0,0,0
"32",606,72,21,2,2,13,6,6,1319,0.338,0.384711820360298,0.046711820360298,0,0,0
"33",607,72,21,2,2,13,6,6,2130,0.338,0.384711820360298,0.046711820360298,0,0,0
"34",608,72,21,2,2,13,6,6,2581,0.338,0.384711820360298,0.046711820360298,0,0,0
"35",609,72,21,2,2,13,6,6,7309,0.338,0.384711820360298,0.046711820360298,0,0,0
"36",610,72,21,2,2,13,6,6,2099,0.338,0.384711820360298,0.046711820360298,0,0,0
"37",611,72,21,2,2,13,6,6,3068,0.338,0.384711820360298,0.046711820360298,0,0,0
"38",612,72,21,2,2,13,6,6,7083,0.338,0.384711820360298,0.046711820360298,0,0,1
"39",613,72,21,2,2,13,6,6,2173,0.338,0.384711820360298,0.046711820360298,1,0,0
"40",614,72,21,2,2,13,6,6,2594,0.338,0.384711820360298,0.046711820360298,1,0,0
"41",615,72,21,2,2,13,6,6,3908,0.338,0.384711820360298,0.046711820360298,0,0,0
"42",616,72,21,2,2,13,6,6,3344,0.338,0.384711820360298,0.046711820360298,0,0,0
"43",617,72,21,2,2,13,6,6,1714,0.338,0.384711820360298,0.046711820360298,0,0,0
"44",618,72,21,2,2,13,6,6,2929,0.338,0.384711820360298,0.046711820360298,1,0,0
"45",619,72,21,2,2,13,6,6,3074,0.338,0.384711820360298,0.046711820360298,1,0,0
"46",620,72,21,2,2,13,6,6,1752,0.338,0.384711820360298,0.046711820360298,1,0,0
"47",621,72,21,2,2,13,6,6,2626,0.338,0.384711820360298,0.046711820360298,1,0,0
"48",622,72,21,2,2,13,6,6,2101,0.338,0.384711820360298,0.046711820360298,1,0,0
"49",623,72,21,2,2,13,6,6,2975,0.338,0.384711820360298,0.046711820360298,0,0,0
"50",624,72,21,2,2,13,6,6,2704,0.338,0.384711820360298,0.046711820360298,1,0,0
"51",625,72,21,2,2,13,6,6,1030,0.338,0.384711820360298,0.046711820360298,1,0,0
"52",626,72,21,2,2,13,6,6,1932,0.338,0.384711820360298,0.046711820360298,1,0,0
"53",627,72,21,2,2,13,6,6,2462,0.338,0.384711820360298,0.046711820360298,1,0,0
"54",628,72,21,2,2,13,6,6,2605,0.338,0.384711820360298,0.046711820360298,1,0,0
"55",629,72,21,2,2,13,6,6,3327,0.338,0.384711820360298,0.046711820360298,1,0,0
"56",630,72,21,2,2,13,6,6,867,0.338,0.384711820360298,0.046711820360298,1,0,0
"57",764,88,21,1,1,15,14,14,2756,1,1,0,0,0,1
"58",765,88,21,1,1,15,14,14,3247,1,1,0,1,0,0
"59",766,88,21,1,1,15,14,14,1058,1,1,0,1,0,0
"60",767,88,21,1,1,15,14,14,2417,1,1,0,1,0,0
"61",768,88,21,1,1,15,14,14,1927,1,1,0,1,0,0
"62",769,88,21,1,1,15,14,14,2630,1,1,0,1,0,0
"63",779,91,21,2,2,19,6,6,2932,0.296,0.277134303764252,0.018865696235748,0,0,1
"64",780,91,21,2,2,19,6,6,982,0.296,0.277134303764252,0.018865696235748,0,0,0
"65",781,91,21,2,2,19,6,6,2788,0.296,0.277134303764252,0.018865696235748,0,0,0
"66",782,91,21,2,2,19,6,6,1214,0.296,0.277134303764252,0.018865696235748,1,0,0
"67",783,91,21,2,2,19,6,6,2469,0.296,0.277134303764252,0.018865696235748,1,0,0
"68",784,91,21,2,2,19,6,6,881,0.296,0.277134303764252,0.018865696235748,1,0,0
"69",785,91,21,2,2,19,6,6,1743,0.296,0.277134303764252,0.018865696235748,1,0,0
"70",792,93,21,2,2,13,14,6,1779,0.338,0.384711820360298,0.046711820360298,0,0,0
"71",793,93,21,2,2,13,14,6,1627,0.338,0.384711820360298,0.046711820360298,0,0,0
"72",794,93,21,2,2,13,14,6,2147,0.338,0.384711820360298,0.046711820360298,0,0,1
"73",795,93,21,2,2,13,14,6,2179,0.338,0.384711820360298,0.046711820360298,0,0,0
"74",796,93,21,2,2,13,14,6,902,0.338,0.384711820360298,0.046711820360298,1,0,0
"75",830,101,21,1,1,15,14,14,1723,1,1,0,0,0,1
"76",831,101,21,1,1,15,14,14,2378,1,1,0,1,0,0
"77",832,101,21,1,1,15,14,14,2194,1,1,0,1,0,0
"78",833,101,21,1,1,15,14,14,1397,1,1,0,1,0,0
"79",834,101,21,1,1,15,14,14,2015,1,1,0,1,0,0
"80",883,110,21,1,1,15,14,14,3425,1,1,0,0,0,1
"81",884,110,21,1,1,15,14,14,1208,1,1,0,0,0,0
"82",885,110,21,1,1,15,14,14,988,1,1,0,0,0,0
"83",886,110,21,1,1,15,14,14,623,1,1,0,1,0,0
"84",887,110,21,1,1,15,14,14,1499,1,1,0,1,0,0
"85",888,110,21,1,1,15,14,14,893,1,1,0,1,0,0
"86",889,110,21,1,1,15,14,14,1210,1,1,0,1,0,0
"87",890,110,21,1,1,15,14,14,3520,1,1,0,1,0,0
"88",891,110,21,1,1,15,14,14,217,1,1,0,1,0,0
"89",892,110,21,1,1,15,14,14,346,1,1,0,1,0,0
"90",893,110,21,1,1,15,14,14,1690,1,1,0,1,0,0
"91",894,110,21,1,1,15,14,14,1265,1,1,0,1,0,0
"92",895,110,21,1,1,15,14,14,477,1,1,0,1,0,0
"93",896,110,21,1,1,15,14,14,3252,1,1,0,1,0,0
"94",912,112,21,1,1,15,14,14,1356,1,1,0,0,0,0
"95",913,112,21,1,1,15,14,14,2706,1,1,0,0,0,1
"96",914,112,21,1,1,15,14,14,879,1,1,0,1,0,0
"97",915,112,21,1,1,15,14,14,2408,1,1,0,1,0,0
"98",916,112,21,1,1,15,14,14,375,1,1,0,1,0,0
"99",917,112,21,1,1,15,14,14,2294,1,1,0,1,0,0
"100",918,112,21,1,1,15,14,14,1797,1,1,0,0,0,0
"101",919,112,21,1,1,15,14,14,2096,1,1,0,0,0,1
"102",920,112,21,1,1,15,14,14,2096,1,1,0,1,0,0
"103",921,112,21,1,1,15,14,14,2124,1,1,0,1,0,0
"104",2209,178,21,1,1,15,14,14,2535,1,1,0,0,0,1
"105",2210,178,21,1,1,15,14,14,554,1,1,0,1,0,0
"106",2211,178,21,1,1,15,14,14,1720,1,1,0,1,0,0
"107",2212,178,21,1,1,15,14,14,1827,1,1,0,1,0,0
"108",2213,178,21,1,1,15,14,14,1444,1,1,0,1,0,0
"109",2214,178,21,1,1,15,14,14,1036,1,1,0,1,0,0
"110",2215,178,21,1,1,15,14,14,1962,1,1,0,1,0,0
"111",2216,178,21,1,1,15,14,14,1067,1,1,0,1,0,0
"112",2217,178,21,1,1,15,14,14,1516,1,1,0,1,0,0
"113",2218,178,21,1,1,15,14,14,2165,1,1,0,1,0,0
"114",2253,183,21,2,2,19,6,6,1604,0.296,0.277134303764252,0.018865696235748,0,0,1
"115",2254,183,21,2,2,19,6,6,3287,0.296,0.277134303764252,0.018865696235748,1,0,0
"116",2255,183,21,2,2,19,6,6,1196,0.296,0.277134303764252,0.018865696235748,1,0,0
"117",2256,183,21,2,2,19,6,6,493,0.296,0.277134303764252,0.018865696235748,1,0,0
"118",2257,183,21,2,2,19,6,6,4958,0.296,0.277134303764252,0.018865696235748,0,0,1
"119",2258,183,21,2,2,19,6,6,1887,0.296,0.277134303764252,0.018865696235748,1,0,0
"120",2259,183,21,2,2,19,6,6,2687,0.296,0.277134303764252,0.018865696235748,1,0,0
"121",2260,183,21,2,2,19,6,6,2902,0.296,0.277134303764252,0.018865696235748,1,0,0
"122",2261,183,21,2,2,19,6,6,1378,0.296,0.277134303764252,0.018865696235748,1,0,0
"123",2295,187,21,1,1,15,14,14,1348,1,1,0,0,0,1
"124",2296,187,21,1,1,15,14,14,1661,1,1,0,1,0,0
"125",2297,187,21,1,1,15,14,14,1376,1,1,0,1,0,0
"126",2298,187,21,1,1,15,14,14,1030,1,1,0,1,0,0
"127",2333,194,21,1,1,15,14,14,2220,1,1,0,0,0,0
"128",2334,194,21,1,1,15,14,14,1358,1,1,0,0,0,0
"129",2335,194,21,1,1,15,14,14,1506,1,1,0,0,0,1
"130",2336,194,21,1,1,15,14,14,1416,1,1,0,0,0,1
"131",2337,194,21,1,1,15,14,14,276,1,1,0,1,0,0
"132",2338,194,21,1,1,15,14,14,1782,1,1,0,1,0,0
"133",2339,194,21,1,1,15,14,14,788,1,1,0,1,0,0
"134",2340,194,21,1,1,15,14,14,770,1,1,0,1,0,0
"135",2341,194,21,1,1,15,14,14,370,1,1,0,1,0,0
"136",2342,194,21,1,1,15,14,14,3037,1,1,0,0,0,0
"137",2343,194,21,1,1,15,14,14,3241,1,1,0,0,0,1
"138",2344,194,21,1,1,15,14,14,2510,1,1,0,0,0,1
"139",2345,194,21,1,1,15,14,14,4232,1,1,0,0,0,1
"140",2346,194,21,1,1,15,14,14,2065,1,1,0,0,0,0
"141",2347,194,21,1,1,15,14,14,1020,1,1,0,0,0,0
"142",2348,194,21,1,1,15,14,14,1412,1,1,0,0,0,0
"143",2362,197,21,1,1,15,14,14,3557,1,1,0,0,0,1
"144",2363,197,21,1,1,15,14,14,3010,1,1,0,0,0,0
"145",2364,197,21,1,1,15,14,14,3728,1,1,0,0,0,0
"146",2365,197,21,1,1,15,14,14,2108,1,1,0,0,0,0
"147",2366,197,21,1,1,15,14,14,4896,1,1,0,0,0,0
"148",2367,197,21,1,1,15,14,14,3319,1,1,0,0,0,0
"149",2368,197,21,1,1,15,14,14,996,1,1,0,0,0,0
"150",2369,197,21,1,1,15,14,14,1882,1,1,0,0,0,0
"151",2370,197,21,1,1,15,14,14,2460,1,1,0,0,0,0
"152",2371,197,21,1,1,15,14,14,2117,1,1,0,0,0,0
"153",2372,197,21,1,1,15,14,14,3257,1,1,0,0,0,0
"154",2373,197,21,1,1,15,14,14,3873,1,1,0,0,0,0
"155",2374,197,21,1,1,15,14,14,1605,1,1,0,0,0,0
"156",2375,197,21,1,1,15,14,14,2465,1,1,0,0,0,0
"157",2376,197,21,1,1,15,14,14,3675,1,1,0,0,0,0
"158",2377,197,21,1,1,15,14,14,3003,1,1,0,0,0,1
"159",2378,197,21,1,1,15,14,14,1999,1,1,0,0,0,0
"160",2379,197,21,1,1,15,14,14,1163,1,1,0,0,0,0
"161",2380,197,21,1,1,15,14,14,3502,1,1,0,0,0,0
"162",2381,197,21,1,1,15,14,14,2081,1,1,0,1,0,0
"163",2382,197,21,1,1,15,14,14,2160,1,1,0,1,0,0
"164",2383,197,21,1,1,15,14,14,2761,1,1,0,1,0,0
"165",2384,197,21,1,1,15,14,14,2137,1,1,0,1,0,0
"166",2385,197,21,1,1,15,14,14,1953,1,1,0,1,0,0
"167",2386,197,21,1,1,15,14,14,1209,1,1,0,1,0,0
"168",2387,197,21,1,1,15,14,14,1524,1,1,0,1,0,0
"169",2388,197,21,1,1,15,14,14,3454,1,1,0,1,0,0
"170",2389,197,21,1,1,15,14,14,3048,1,1,0,1,0,0
"171",2390,197,21,1,1,15,14,14,2471,1,1,0,1,0,0
"172",2520,213,21,2,1,15,6,6,2996,1,1,0,0,0,0
"173",2521,213,21,2,1,15,6,6,848,1,1,0,1,0,0
"174",2522,213,21,2,1,15,6,6,1778,1,1,0,1,0,0
"175",2523,213,21,2,1,15,6,6,1220,1,1,0,1,0,0
"176",2524,213,21,2,1,15,6,6,2039,1,1,0,1,0,0
"177",2525,213,21,2,1,15,6,6,742,1,1,0,1,0,0
"178",2526,213,21,2,1,15,6,6,3025,1,1,0,1,0,0
"179",75,8,21,3,2,13,7,7,2218,0.338,0.384711820360298,0.046711820360298,0,0,1
"180",76,8,21,3,2,13,7,7,3259,0.338,0.384711820360298,0.046711820360298,0,0,1
"181",77,8,21,3,2,13,7,7,2965,0.338,0.384711820360298,0.046711820360298,0,0,1
"182",78,8,21,3,2,13,7,7,1569,0.338,0.384711820360298,0.046711820360298,1,0,0
"183",134,16,21,3,3,7,7,7,2852,0.306,0.268995548446661,0.037004451553339,0,0,1
"184",135,16,21,3,3,7,7,7,690,0.306,0.268995548446661,0.037004451553339,1,0,0
"185",136,16,21,3,3,7,7,7,1769,0.306,0.268995548446661,0.037004451553339,1,0,0
"186",137,16,21,3,3,7,7,7,1750,0.306,0.268995548446661,0.037004451553339,1,0,0
"187",138,16,21,3,3,7,7,7,983,0.306,0.268995548446661,0.037004451553339,1,0,0
"188",461,54,21,3,3,7,7,7,2183,0.306,0.268995548446661,0.037004451553339,0,0,0
"189",462,54,21,3,3,7,7,7,2851,0.306,0.268995548446661,0.037004451553339,0,0,0
"190",463,54,21,3,3,7,7,7,2682,0.306,0.268995548446661,0.037004451553339,0,0,1
"191",464,54,21,3,3,7,7,7,2612,0.306,0.268995548446661,0.037004451553339,0,0,0
"192",465,54,21,3,3,7,7,7,1750,0.306,0.268995548446661,0.037004451553339,0,0,0
"193",466,54,21,3,3,7,7,7,3505,0.306,0.268995548446661,0.037004451553339,0,0,1
"194",467,54,21,3,3,7,7,7,2145,0.306,0.268995548446661,0.037004451553339,0,0,0
"195",468,54,21,3,3,7,7,7,4319,0.306,0.268995548446661,0.037004451553339,0,0,1
"196",469,54,21,3,3,7,7,7,2138,0.306,0.268995548446661,0.037004451553339,1,0,0
"197",470,54,21,3,3,7,7,7,2083,0.306,0.268995548446661,0.037004451553339,1,0,0
"198",471,54,21,3,3,7,7,7,1564,0.306,0.268995548446661,0.037004451553339,1,0,0
"199",472,54,21,3,3,7,7,7,987,0.306,0.268995548446661,0.037004451553339,1,0,0
"200",473,54,21,3,3,7,7,7,687,0.306,0.268995548446661,0.037004451553339,1,0,0
"201",474,54,21,3,3,7,7,7,1126,0.306,0.268995548446661,0.037004451553339,1,0,0
"202",475,54,21,3,3,7,7,7,1605,0.306,0.268995548446661,0.037004451553339,1,0,0
"203",476,54,21,3,3,7,7,7,2193,0.306,0.268995548446661,0.037004451553339,0,0,1
"204",477,54,21,3,3,7,7,7,721,0.306,0.268995548446661,0.037004451553339,1,0,0
"205",478,54,21,3,3,7,7,7,972,0.306,0.268995548446661,0.037004451553339,1,0,0
"206",479,54,21,3,3,7,7,7,2084,0.306,0.268995548446661,0.037004451553339,1,0,0
"207",480,54,21,3,3,7,7,7,1320,0.306,0.268995548446661,0.037004451553339,1,0,0
"208",481,54,21,3,3,7,7,7,1375,0.306,0.268995548446661,0.037004451553339,1,0,0
"209",482,54,21,3,3,7,7,7,3226,0.306,0.268995548446661,0.037004451553339,1,0,0
"210",483,54,21,3,3,7,7,7,3250,0.306,0.268995548446661,0.037004451553339,0,0,1
"211",484,54,21,3,3,7,7,7,1914,0.306,0.268995548446661,0.037004451553339,0,0,1
"212",485,54,21,3,3,7,7,7,2215,0.306,0.268995548446661,0.037004451553339,1,0,0
"213",486,54,21,3,3,7,7,7,2362,0.306,0.268995548446661,0.037004451553339,1,0,0
"214",487,54,21,3,3,7,7,7,1603,0.306,0.268995548446661,0.037004451553339,1,0,0
"215",488,54,21,3,3,7,7,7,2521,0.306,0.268995548446661,0.037004451553339,1,0,0
"216",712,85,21,3,3,7,7,7,993,0.306,0.268995548446661,0.037004451553339,0,0,1
"217",713,85,21,3,3,7,7,7,1322,0.306,0.268995548446661,0.037004451553339,1,0,0
"218",714,85,21,3,3,7,7,7,1211,0.306,0.268995548446661,0.037004451553339,1,0,0
"219",715,85,21,3,3,7,7,7,2127,0.306,0.268995548446661,0.037004451553339,1,0,0
"220",716,85,21,3,3,7,7,7,3391,0.306,0.268995548446661,0.037004451553339,1,0,0
"221",717,85,21,3,3,7,7,7,1685,0.306,0.268995548446661,0.037004451553339,1,0,0
"222",718,85,21,3,3,7,7,7,1448,0.306,0.268995548446661,0.037004451553339,1,0,0
"223",719,85,21,3,3,7,7,7,2378,0.306,0.268995548446661,0.037004451553339,1,0,0
"224",720,85,21,3,3,7,7,7,1838,0.306,0.268995548446661,0.037004451553339,1,0,0
"225",721,85,21,3,3,7,7,7,1015,0.306,0.268995548446661,0.037004451553339,1,0,0
"226",722,85,21,3,3,7,7,7,753,0.306,0.268995548446661,0.037004451553339,1,0,0
"227",723,85,21,3,3,7,7,7,3627,0.306,0.268995548446661,0.037004451553339,1,0,0
"228",724,85,21,3,3,7,7,7,403,0.306,0.268995548446661,0.037004451553339,1,0,0
"229",725,85,21,3,3,7,7,7,1720,0.306,0.268995548446661,0.037004451553339,1,0,0
"230",726,85,21,3,3,7,7,7,1539,0.306,0.268995548446661,0.037004451553339,1,0,0
"231",809,96,21,3,5,7,7,7,4400,0.306,0.268995548446661,0.037004451553339,0,0,1
"232",810,96,21,3,5,7,7,7,4190,0.306,0.268995548446661,0.037004451553339,0,0,0
