"","SECCION","munn.x","edon.x","disloc2017","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"4",566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"5",567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"6",568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"7",569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"8",570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"14",576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"15",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16",578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"20",582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"21",583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"22",584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"23",585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"24",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"27",589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"28",590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"30",592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"31",593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"33",595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"34",596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"35",597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
