"","SECCION","munn.x","edon.x","disloc2017","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"4",1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"5",1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"6",1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"8",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"9",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"10",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"11",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"12",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"13",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"14",252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"15",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"16",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"17",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"18",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"19",257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"20",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"21",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
