"","SECCION","munn.x","edon.x","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",13,1,27,6,1,18,6,6,1422,1,0.647024111074616,0.352975888925384,0,0,1
"14",13,1,27,6,1,18,6,6,5385,1,0.519352532938594,0.480647467061406,0,0,1
"15",13,1,27,6,1,18,6,6,2564,1,0.558775244299674,0.441224755700326,0,0,1
"16",13,1,27,6,1,18,6,6,2261,1,0.616422579490452,0.383577420509548,0,0,1
"17",13,1,27,6,1,18,6,6,2696,1,1,0,0,0,1
"18",13,1,27,6,1,18,6,6,2734,1,1,0,0,0,1
"19",13,1,27,6,1,18,6,6,2786,1,0.519352532938594,0.480647467061406,0,0,1
"20",13,1,27,6,1,18,6,6,1298,1,1,0,0,0,1
"21",13,1,27,6,1,18,6,6,2668,1,0.558775244299674,0.441224755700326,0,0,1
"22",13,1,27,6,1,18,6,6,1723,1,0.869223717654902,0.130776282345098,0,0,1
"23",13,1,27,6,1,18,6,6,3077,1,0.507186982678564,0.492813017321436,0,0,1
"24",13,1,27,6,1,18,6,6,1969,1,1,0,0,0,1
"25",13,1,27,6,1,18,6,6,3167,1,0.869223717654902,0.130776282345098,0,0,1
"26",13,1,27,6,1,18,6,6,1153,1,1,0,0,0,1
"27",13,1,27,6,1,18,6,6,14321,1,1,0,0,0,1
"28",13,1,27,6,1,18,6,6,1715,1,1,0,0,0,1
"29",13,1,27,6,1,18,6,6,1398,1,1,0,0,0,1
"30",13,1,27,6,1,18,6,6,11799,1,1,0,0,0,1
"31",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"35",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"42",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"44",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"45",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"46",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"52",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"53",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"54",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"55",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"56",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"58",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"63",669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"64",670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"65",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"66",672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"68",674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"69",675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"73",679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"74",680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"75",681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"76",682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"77",683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"78",846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"83",851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"84",852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"85",853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"86",854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"87",855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"88",856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"89",857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"90",858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"91",859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"92",860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"93",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"94",862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"96",864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"98",866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"101",869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"102",870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"103",871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"104",872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
