"","SECCION","munn.x","edon.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,27,6,1,18,6,6,3737,0.506,0.512159448887043,0.00615944888704301,0,0,1
"2",2,1,27,6,1,18,6,6,2647,0.506,0.512159448887043,0.00615944888704301,0,0,1
"3",3,1,27,6,1,18,6,6,1447,0.506,0.512159448887043,0.00615944888704301,0,0,0
"4",4,1,27,6,1,18,6,6,1324,0.506,0.512159448887043,0.00615944888704301,0,0,0
"5",5,1,27,6,1,18,6,6,2012,0.506,0.512159448887043,0.00615944888704301,0,0,1
"6",6,1,27,6,1,18,6,6,779,0.506,0.512159448887043,0.00615944888704301,0,0,1
"7",7,1,27,6,1,18,6,6,1681,0.506,0.512159448887043,0.00615944888704301,0,0,1
"8",8,1,27,6,1,18,6,6,1682,0.506,0.512159448887043,0.00615944888704301,1,0,0
"9",9,1,27,6,1,18,6,6,1456,0.506,0.512159448887043,0.00615944888704301,1,0,0
"10",10,1,27,6,1,18,6,6,474,0.506,0.512159448887043,0.00615944888704301,1,0,0
"11",11,1,27,6,1,18,6,6,697,0.506,0.512159448887043,0.00615944888704301,1,0,0
"12",12,1,27,6,1,18,6,6,894,0.506,0.512159448887043,0.00615944888704301,1,0,0
"13",13,1,27,6,1,18,6,6,1547,0.506,0.512159448887043,0.00615944888704301,0,0,1
"14",14,1,27,6,1,18,6,6,948,0.506,0.512159448887043,0.00615944888704301,0,0,0
"15",15,1,27,6,1,18,6,6,1056,0.506,0.512159448887043,0.00615944888704301,0,0,0
"16",16,1,27,6,1,18,6,6,1031,0.506,0.512159448887043,0.00615944888704301,0,0,0
"17",17,1,27,6,1,18,6,6,1311,0.506,0.512159448887043,0.00615944888704301,0,0,1
"18",18,1,27,6,1,18,6,6,1544,0.506,0.512159448887043,0.00615944888704301,1,0,0
"19",19,1,27,6,1,18,6,6,451,0.506,0.512159448887043,0.00615944888704301,1,0,0
"20",20,1,27,6,1,18,6,6,917,0.506,0.512159448887043,0.00615944888704301,1,0,0
"21",21,1,27,6,1,18,6,6,366,0.506,0.512159448887043,0.00615944888704301,1,0,0
"22",22,1,27,6,1,18,6,6,1182,0.506,0.512159448887043,0.00615944888704301,1,0,0
"23",23,1,27,6,1,18,6,6,1334,0.506,0.512159448887043,0.00615944888704301,1,0,0
"24",24,1,27,6,1,18,6,6,2611,0.506,0.512159448887043,0.00615944888704301,0,0,1
"25",25,1,27,6,1,18,6,6,853,0.506,0.512159448887043,0.00615944888704301,1,0,0
"26",27,1,27,6,1,18,6,6,1907,0.506,0.512159448887043,0.00615944888704301,0,0,1
"27",28,1,27,6,1,18,6,6,212,0.506,0.512159448887043,0.00615944888704301,0,0,1
"28",29,1,27,6,1,18,6,6,1171,0.506,0.512159448887043,0.00615944888704301,1,0,0
"29",30,1,27,6,1,18,6,6,1514,0.506,0.512159448887043,0.00615944888704301,1,0,0
"30",31,1,27,6,1,18,6,6,229,0.506,0.512159448887043,0.00615944888704301,1,0,0
"31",32,1,27,6,1,18,6,6,362,0.506,0.512159448887043,0.00615944888704301,1,0,0
"32",33,1,27,6,1,18,6,6,544,0.506,0.512159448887043,0.00615944888704301,1,0,0
"33",34,1,27,6,1,18,6,6,456,0.506,0.512159448887043,0.00615944888704301,1,0,0
"34",35,1,27,6,1,18,6,6,1460,0.506,0.512159448887043,0.00615944888704301,1,0,0
"35",36,1,27,6,1,18,6,6,815,0.506,0.512159448887043,0.00615944888704301,1,0,0
