"","SECCION","munn.x","edon.x","disloc2015.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",125,7,28,12,4,12,12,12,3496,0.604,0.297280483469605,0.306719516530395,0,0,1
"2",126,7,28,12,4,12,12,12,881,0.604,0.297280483469605,0.306719516530395,0,0,0
"3",127,7,28,12,4,12,12,12,1190,0.604,0.297280483469605,0.306719516530395,0,0,0
"4",128,7,28,12,4,12,12,12,1163,0.604,0.297280483469605,0.306719516530395,0,0,1
"5",129,7,28,12,4,12,12,12,805,0.604,0.297280483469605,0.306719516530395,0,0,0
"6",130,7,28,12,4,12,12,12,481,0.604,0.297280483469605,0.306719516530395,0,0,0
"7",131,7,28,12,4,12,12,12,1237,0.604,0.297280483469605,0.306719516530395,0,0,1
"8",132,7,28,12,4,12,12,12,929,0.604,0.297280483469605,0.306719516530395,1,0,0
"9",133,7,28,12,4,12,12,12,571,0.604,0.297280483469605,0.306719516530395,1,0,0
"10",134,7,28,12,4,12,12,12,513,0.604,0.297280483469605,0.306719516530395,1,0,0
"11",135,7,28,12,4,12,12,12,335,0.604,0.297280483469605,0.306719516530395,1,0,0
"12",136,7,28,12,4,12,12,12,449,0.604,0.297280483469605,0.306719516530395,1,0,0
"13",137,7,28,12,4,12,12,12,920,0.604,0.297280483469605,0.306719516530395,0,0,1
"14",138,7,28,12,4,12,12,12,513,0.604,0.297280483469605,0.306719516530395,0,0,1
"15",139,7,28,12,4,12,12,12,1004,0.604,0.297280483469605,0.306719516530395,0,0,0
"16",140,7,28,12,4,12,12,12,57,0.604,0.297280483469605,0.306719516530395,1,0,0
"17",141,7,28,12,4,12,12,12,93,0.604,0.297280483469605,0.306719516530395,1,0,0
"18",142,7,28,12,4,12,12,12,332,0.604,0.297280483469605,0.306719516530395,1,0,0
"19",327,14,28,12,4,12,12,12,1169,0.604,0.297280483469605,0.306719516530395,0,0,0
"20",328,14,28,12,4,12,12,12,1362,0.604,0.297280483469605,0.306719516530395,0,0,1
"21",329,14,28,12,4,12,12,12,1839,0.604,0.297280483469605,0.306719516530395,0,0,1
"22",716,24,28,12,4,12,12,12,1176,0.604,0.297280483469605,0.306719516530395,0,0,1
"23",717,24,28,12,4,12,12,12,1015,0.604,0.297280483469605,0.306719516530395,0,0,0
"24",718,24,28,12,4,12,12,12,535,0.604,0.297280483469605,0.306719516530395,0,0,1
"25",719,24,28,12,4,12,12,12,636,0.604,0.297280483469605,0.306719516530395,0,0,0
"26",720,24,28,12,4,12,12,12,744,0.604,0.297280483469605,0.306719516530395,0,0,0
"27",721,24,28,12,4,12,12,12,656,0.604,0.297280483469605,0.306719516530395,0,0,1
"28",722,25,28,12,4,12,12,12,1818,0.604,0.297280483469605,0.306719516530395,0,0,1
"29",723,25,28,12,4,12,12,12,1973,0.604,0.297280483469605,0.306719516530395,0,0,0
"30",724,25,28,12,4,12,12,12,547,0.604,0.297280483469605,0.306719516530395,0,0,0
"31",725,25,28,12,4,12,12,12,807,0.604,0.297280483469605,0.306719516530395,0,0,0
"32",726,25,28,12,4,12,12,12,1028,0.604,0.297280483469605,0.306719516530395,0,0,0
"33",727,25,28,12,4,12,12,12,990,0.604,0.297280483469605,0.306719516530395,0,0,0
"34",728,25,28,12,4,12,12,12,1508,0.604,0.297280483469605,0.306719516530395,0,0,0
"35",729,25,28,12,4,12,12,12,1013,0.604,0.297280483469605,0.306719516530395,0,0,0
"36",730,25,28,12,4,12,12,12,520,0.604,0.297280483469605,0.306719516530395,0,0,0
"37",731,25,28,12,4,12,12,12,888,0.604,0.297280483469605,0.306719516530395,0,0,0
"38",732,25,28,12,4,12,12,12,434,0.604,0.297280483469605,0.306719516530395,0,0,0
"39",733,25,28,12,4,12,12,12,3098,0.604,0.297280483469605,0.306719516530395,0,0,1
"40",734,25,28,12,4,12,12,12,1879,0.604,0.297280483469605,0.306719516530395,0,0,0
"41",735,25,28,12,4,12,12,12,1269,0.604,0.297280483469605,0.306719516530395,0,0,0
"42",736,25,28,12,4,12,12,12,1148,0.604,0.297280483469605,0.306719516530395,0,0,0
"43",737,25,28,12,4,12,12,12,2378,0.604,0.297280483469605,0.306719516530395,0,0,1
"44",738,25,28,12,4,12,12,12,1580,0.604,0.297280483469605,0.306719516530395,0,0,1
"45",739,25,28,12,4,12,12,12,2555,0.604,0.297280483469605,0.306719516530395,0,0,1
"46",740,25,28,12,4,12,12,12,485,0.604,0.297280483469605,0.306719516530395,1,0,0
"47",741,25,28,12,4,12,12,12,112,0.604,0.297280483469605,0.306719516530395,1,0,0
"48",742,25,28,12,4,12,12,12,84,0.604,0.297280483469605,0.306719516530395,1,0,0
"49",743,25,28,12,4,12,12,12,548,0.604,0.297280483469605,0.306719516530395,1,0,0
