"","SECCION","munn.x","edon.x","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",12,3,29,4,15,8,8,11,1335,0.396,0.276267877412032,0.119732122587968,0,0,0
"2",13,3,29,4,16,8,8,11,2516,0.396,0.276267877412032,0.119732122587968,0,0,0
"3",14,3,29,4,16,8,8,11,6027,0.396,0.276267877412032,0.119732122587968,0,0,0
"4",15,3,29,4,16,8,8,11,2090,0.396,0.276267877412032,0.119732122587968,0,0,0
"5",16,3,29,4,15,8,8,11,1791,0.396,0.276267877412032,0.119732122587968,0,0,1
"6",17,3,29,4,15,8,8,11,1501,0.396,0.276267877412032,0.119732122587968,0,0,0
"7",18,3,29,4,15,8,8,11,1086,0.396,0.276267877412032,0.119732122587968,0,0,0
"8",19,3,29,4,16,8,8,11,1037,0.396,0.276267877412032,0.119732122587968,0,0,0
"9",20,3,29,4,16,8,8,11,1350,0.396,0.276267877412032,0.119732122587968,0,0,0
"10",21,3,29,4,16,8,8,11,568,0.396,0.276267877412032,0.119732122587968,0,0,0
"11",22,3,29,4,16,8,8,11,1785,0.396,0.276267877412032,0.119732122587968,0,0,0
"12",23,3,29,4,15,8,8,11,587,0.396,0.276267877412032,0.119732122587968,0,0,0
"13",24,3,29,4,15,8,8,11,923,0.396,0.276267877412032,0.119732122587968,0,0,0
"14",25,3,29,4,15,8,8,11,1815,0.396,0.276267877412032,0.119732122587968,0,0,0
"15",26,3,29,4,15,8,8,11,1805,0.396,0.276267877412032,0.119732122587968,0,0,0
"16",27,3,29,4,15,8,8,11,2139,0.396,0.276267877412032,0.119732122587968,0,0,0
"17",28,3,29,4,16,8,8,11,1606,0.396,0.276267877412032,0.119732122587968,0,0,0
"18",29,3,29,4,16,8,8,11,2046,0.396,0.276267877412032,0.119732122587968,0,0,0
"19",30,3,29,4,16,8,8,11,8534,0.396,0.276267877412032,0.119732122587968,0,0,0
"20",31,3,29,4,16,8,8,11,3486,0.396,0.276267877412032,0.119732122587968,0,0,0
"21",32,3,29,4,16,8,8,11,2342,0.396,0.276267877412032,0.119732122587968,0,0,0
"22",33,3,29,4,15,8,8,11,3127,0.396,0.276267877412032,0.119732122587968,0,0,0
"23",34,3,29,4,15,8,8,11,1046,0.396,0.276267877412032,0.119732122587968,0,0,0
"24",35,3,29,4,15,8,8,11,1691,0.396,0.276267877412032,0.119732122587968,0,0,0
"25",36,3,29,4,15,8,8,11,1986,0.396,0.276267877412032,0.119732122587968,0,0,0
"26",37,3,29,4,15,8,8,11,1519,0.396,0.276267877412032,0.119732122587968,0,0,0
"27",38,3,29,5,15,1,1,12,1267,0.394,0.504635121940977,0.110635121940977,0,0,1
"28",39,3,29,4,16,8,8,11,1475,0.396,0.276267877412032,0.119732122587968,0,0,0
"29",40,3,29,4,16,8,8,11,3129,0.396,0.276267877412032,0.119732122587968,0,0,0
"30",41,3,29,4,16,8,8,11,3381,0.396,0.276267877412032,0.119732122587968,0,0,0
"31",42,3,29,4,15,8,8,11,814,0.396,0.276267877412032,0.119732122587968,0,0,0
"32",43,3,29,4,15,8,8,11,3816,0.396,0.276267877412032,0.119732122587968,0,0,0
"33",44,3,29,4,15,8,8,11,2399,0.396,0.276267877412032,0.119732122587968,0,0,0
"34",45,3,29,4,15,8,8,11,593,0.396,0.276267877412032,0.119732122587968,0,0,0
"35",46,3,29,4,16,8,8,11,2480,0.396,0.276267877412032,0.119732122587968,0,0,0
"36",47,3,29,4,16,8,8,11,3759,0.396,0.276267877412032,0.119732122587968,0,0,0
"37",48,3,29,4,15,8,8,11,451,0.396,0.276267877412032,0.119732122587968,0,0,0
"38",49,4,29,2,12,4,4,13,889,0.413,0.348100342740465,0.064899657259535,0,0,1
"39",50,4,29,2,12,4,4,13,422,0.413,0.348100342740465,0.064899657259535,1,0,0
"40",51,4,29,2,12,4,4,13,428,0.413,0.348100342740465,0.064899657259535,1,0,0
