"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",320,15,30,18,10,21,13,18,1057,0.668,0.698800809842704,0.0308008098427036,0,1,0
"2",321,15,30,18,10,21,13,18,1587,0.668,0.698800809842704,0.0308008098427036,0,1,0
"3",322,15,30,18,10,21,13,18,1491,0.668,0.698800809842704,0.0308008098427036,0,1,0
"4",323,15,30,18,10,21,13,18,1095,0.668,0.698800809842704,0.0308008098427036,0,1,0
"5",324,15,30,18,10,21,13,18,1814,0.668,0.698800809842704,0.0308008098427036,0,1,0
"6",325,15,30,18,10,21,13,18,1389,0.668,0.698800809842704,0.0308008098427036,0,1,0
"7",326,15,30,18,10,21,13,18,408,0.668,0.698800809842704,0.0308008098427036,0,1,0
"8",327,15,30,18,10,21,13,18,795,0.668,0.698800809842704,0.0308008098427036,0,1,0
"9",328,15,30,18,10,21,13,18,2175,0.668,0.698800809842704,0.0308008098427036,0,1,0
"10",329,15,30,18,10,21,13,18,1799,0.668,0.698800809842704,0.0308008098427036,0,1,0
"11",330,15,30,18,10,21,13,18,3244,0.668,0.698800809842704,0.0308008098427036,0,1,0
"12",331,15,30,18,10,21,13,18,1613,0.668,0.698800809842704,0.0308008098427036,0,1,0
"13",332,15,30,18,10,21,13,18,1148,0.668,0.698800809842704,0.0308008098427036,0,1,0
"14",333,15,30,18,10,21,13,18,1000,0.668,0.698800809842704,0.0308008098427036,0,0,1
"15",334,15,30,18,10,21,13,18,1085,0.668,0.698800809842704,0.0308008098427036,0,0,1
"16",335,15,30,18,10,21,13,18,1906,0.668,0.698800809842704,0.0308008098427036,1,0,0
"17",336,15,30,18,10,21,13,18,1575,0.668,0.698800809842704,0.0308008098427036,1,0,0
"18",337,15,30,18,10,21,13,18,686,0.668,0.698800809842704,0.0308008098427036,1,0,0
"19",338,15,30,18,NA,21,13,18,1446,0.668,0.698800809842704,0.0308008098427036,1,0,0
"20",1403,62,30,13,10,21,13,13,1440,0.683,0.673089234271082,0.00991076572891847,0,1,0
"21",1404,62,30,13,10,21,13,13,862,0.683,0.673089234271082,0.00991076572891847,0,1,0
"22",1405,62,30,13,8,21,13,13,1441,0.683,0.673089234271082,0.00991076572891847,0,1,0
"23",1406,62,30,13,8,21,13,13,1570,0.683,0.673089234271082,0.00991076572891847,0,1,0
"24",1407,62,30,13,8,21,13,13,512,0.683,0.673089234271082,0.00991076572891847,1,0,0
"25",1408,62,30,13,8,21,13,13,2190,0.683,0.673089234271082,0.00991076572891847,1,0,0
"26",1409,62,30,13,8,21,13,13,1262,0.683,0.673089234271082,0.00991076572891847,1,0,0
"27",1410,62,30,13,8,21,13,13,995,0.683,0.673089234271082,0.00991076572891847,1,0,0
"28",1411,62,30,13,8,21,13,13,1301,0.683,0.673089234271082,0.00991076572891847,1,0,0
"29",1412,62,30,13,8,21,13,13,3887,0.683,0.673089234271082,0.00991076572891847,1,0,0
"30",2776,122,30,13,10,21,13,13,1592,0.683,0.673089234271082,0.00991076572891847,0,0,1
"31",2777,122,30,13,1,21,13,13,2590,0.683,0.673089234271082,0.00991076572891847,0,0,1
"32",2778,122,30,13,1,21,13,13,558,0.683,0.673089234271082,0.00991076572891847,1,0,0
"33",2779,122,30,13,10,21,13,13,648,0.683,0.673089234271082,0.00991076572891847,1,0,0
"34",2780,122,30,13,10,21,13,13,324,0.683,0.673089234271082,0.00991076572891847,1,0,0
"35",2781,122,30,13,10,21,13,13,1051,0.683,0.673089234271082,0.00991076572891847,1,0,0
"36",2782,122,30,13,10,21,13,13,246,0.683,0.673089234271082,0.00991076572891847,1,0,0
"37",2783,122,30,13,10,21,13,13,494,0.683,0.673089234271082,0.00991076572891847,1,0,0
"38",2784,122,30,13,10,21,13,13,550,0.683,0.673089234271082,0.00991076572891847,1,0,0
"39",2785,122,30,13,10,21,13,13,601,0.683,0.673089234271082,0.00991076572891847,1,0,0
"40",2786,122,30,13,10,21,13,13,796,0.683,0.673089234271082,0.00991076572891847,1,0,0
"41",2787,122,30,13,10,21,13,13,823,0.683,0.673089234271082,0.00991076572891847,1,0,0
"42",2788,122,30,13,10,21,13,13,1375,0.683,0.673089234271082,0.00991076572891847,1,0,0
"43",2789,122,30,13,10,21,13,13,394,0.683,0.673089234271082,0.00991076572891847,1,0,0
"44",2790,122,30,13,10,21,13,13,1503,0.683,0.673089234271082,0.00991076572891847,0,0,1
"45",2791,122,30,13,10,21,13,13,459,0.683,0.673089234271082,0.00991076572891847,1,0,0
"46",2792,122,30,13,10,21,13,13,736,0.683,0.673089234271082,0.00991076572891847,1,0,0
"47",2793,122,30,13,10,21,13,13,585,0.683,0.673089234271082,0.00991076572891847,1,0,0
"48",2794,122,30,13,10,21,13,13,750,0.683,0.673089234271082,0.00991076572891847,1,0,0
"49",2795,122,30,13,10,21,13,13,779,0.683,0.673089234271082,0.00991076572891847,1,0,0
"50",2796,122,30,13,10,21,13,13,231,0.683,0.673089234271082,0.00991076572891847,1,0,0
"51",2797,122,30,13,10,21,13,13,1349,0.683,0.673089234271082,0.00991076572891847,1,0,0
"52",2798,122,30,13,10,21,13,13,803,0.683,0.673089234271082,0.00991076572891847,1,0,0
"53",2799,122,30,13,10,21,13,13,568,0.683,0.673089234271082,0.00991076572891847,1,0,0
"54",2800,122,30,13,10,21,13,13,456,0.683,0.673089234271082,0.00991076572891847,1,0,0
"55",2801,122,30,13,10,21,13,13,713,0.683,0.673089234271082,0.00991076572891847,1,0,0
"56",2802,122,30,13,10,21,13,13,1273,0.683,0.673089234271082,0.00991076572891847,1,0,0
"57",2803,122,30,13,10,21,13,13,489,0.683,0.673089234271082,0.00991076572891847,1,0,0
"58",2804,122,30,13,10,21,13,13,562,0.683,0.673089234271082,0.00991076572891847,1,0,0
"59",2814,124,30,13,10,21,13,13,484,0.683,0.673089234271082,0.00991076572891847,0,1,0
"60",2815,124,30,13,10,21,13,13,1573,0.683,0.673089234271082,0.00991076572891847,0,1,0
"61",2816,124,30,13,10,21,13,13,584,0.683,0.673089234271082,0.00991076572891847,0,1,0
"62",2817,124,30,13,10,21,13,13,1773,0.683,0.673089234271082,0.00991076572891847,0,1,0
"63",2818,124,30,13,10,21,13,13,658,0.683,0.673089234271082,0.00991076572891847,0,1,0
"64",2819,124,30,13,10,21,13,13,2731,0.683,0.673089234271082,0.00991076572891847,0,1,0
"65",2820,124,30,13,10,21,13,13,1379,0.683,0.673089234271082,0.00991076572891847,0,1,0
"66",2821,124,30,13,10,21,13,13,516,0.683,0.673089234271082,0.00991076572891847,0,1,0
"67",2822,124,30,13,10,21,13,13,484,0.683,0.673089234271082,0.00991076572891847,0,1,0
"68",2823,124,30,13,10,21,13,13,1270,0.683,0.673089234271082,0.00991076572891847,0,1,0
"69",2824,124,30,13,10,21,13,13,1868,0.683,0.673089234271082,0.00991076572891847,0,1,0
"70",2825,124,30,13,8,21,13,13,1777,0.683,0.673089234271082,0.00991076572891847,0,1,0
"71",2826,124,30,13,8,21,13,13,3167,0.683,0.673089234271082,0.00991076572891847,0,1,0
"72",2827,124,30,13,8,21,13,13,1382,0.683,0.673089234271082,0.00991076572891847,0,1,0
"73",2828,124,30,13,8,21,13,13,754,0.683,0.673089234271082,0.00991076572891847,0,1,0
"74",2829,124,30,13,8,21,13,13,854,0.683,0.673089234271082,0.00991076572891847,0,1,0
"75",2830,124,30,13,12,21,13,13,1097,0.683,0.673089234271082,0.00991076572891847,0,1,0
"76",2831,124,30,13,12,21,13,13,1333,0.683,0.673089234271082,0.00991076572891847,0,1,0
"77",2832,124,30,13,12,21,13,13,969,0.683,0.673089234271082,0.00991076572891847,0,1,0
"78",2833,124,30,13,12,21,13,13,2683,0.683,0.673089234271082,0.00991076572891847,0,1,0
"79",2834,124,30,13,12,21,13,13,1619,0.683,0.673089234271082,0.00991076572891847,0,1,0
"80",2835,124,30,13,12,21,13,13,3805,0.683,0.673089234271082,0.00991076572891847,0,1,0
"81",2836,124,30,13,12,21,13,13,3139,0.683,0.673089234271082,0.00991076572891847,0,1,0
"82",2837,124,30,13,12,21,13,13,847,0.683,0.673089234271082,0.00991076572891847,0,1,0
"83",2838,124,30,13,12,21,13,13,2776,0.683,0.673089234271082,0.00991076572891847,0,0,1
"84",2839,124,30,13,12,21,13,13,39,0.683,0.673089234271082,0.00991076572891847,0,0,1
"85",2840,124,30,13,12,21,13,13,1536,0.683,0.673089234271082,0.00991076572891847,1,0,0
"86",2841,124,30,13,12,21,13,13,792,0.683,0.673089234271082,0.00991076572891847,1,0,0
"87",2842,124,30,13,12,21,13,13,370,0.683,0.673089234271082,0.00991076572891847,1,0,0
"88",2843,124,30,13,10,21,13,13,364,0.683,0.673089234271082,0.00991076572891847,1,0,0
"89",2844,124,30,13,10,21,13,13,171,0.683,0.673089234271082,0.00991076572891847,1,0,0
"90",2845,124,30,13,10,21,13,13,943,0.683,0.673089234271082,0.00991076572891847,1,0,0
"91",2846,124,30,13,10,21,13,13,149,0.683,0.673089234271082,0.00991076572891847,1,0,0
"92",2847,124,30,13,10,21,13,13,180,0.683,0.673089234271082,0.00991076572891847,1,0,0
"93",2848,124,30,13,10,21,13,13,508,0.683,0.673089234271082,0.00991076572891847,1,0,0
"94",2849,124,30,13,10,21,13,13,437,0.683,0.673089234271082,0.00991076572891847,1,0,0
"95",2850,124,30,13,10,21,13,13,770,0.683,0.673089234271082,0.00991076572891847,1,0,0
"96",2851,124,30,13,10,21,13,13,383,0.683,0.673089234271082,0.00991076572891847,1,0,0
"97",2852,124,30,13,10,21,13,13,432,0.683,0.673089234271082,0.00991076572891847,1,0,0
"98",2853,124,30,13,10,21,13,13,441,0.683,0.673089234271082,0.00991076572891847,1,0,0
"99",2854,124,30,13,10,21,13,13,544,0.683,0.673089234271082,0.00991076572891847,1,0,0
"100",2855,124,30,13,10,21,13,13,673,0.683,0.673089234271082,0.00991076572891847,1,0,0
"101",2856,124,30,13,10,21,13,13,295,0.683,0.673089234271082,0.00991076572891847,1,0,0
"102",2857,124,30,13,10,21,13,13,265,0.683,0.673089234271082,0.00991076572891847,1,0,0
"103",2858,124,30,13,10,21,13,13,608,0.683,0.673089234271082,0.00991076572891847,1,0,0
"104",2859,124,30,13,10,21,13,13,2681,0.683,0.673089234271082,0.00991076572891847,0,0,1
"105",2860,124,30,13,10,21,13,13,7665,0.683,0.673089234271082,0.00991076572891847,0,0,1
