"","SECCION","munn.x","edon.x","disloc2017.x","disloc2015.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"1",320,50,31,14,5,11,14,14,964,0.681,0.75491125097235,0.07391125097235,0,0,0
"2",321,50,31,14,5,11,14,14,1508,0.681,0.75491125097235,0.07391125097235,0,0,0
"3",322,50,31,14,5,11,14,14,1971,0.681,0.75491125097235,0.07391125097235,0,0,0
"4",323,50,31,14,5,11,14,14,1264,0.681,0.75491125097235,0.07391125097235,0,0,0
"5",324,50,31,14,5,11,14,14,1359,0.681,0.75491125097235,0.07391125097235,0,0,0
"6",325,50,31,14,5,11,14,14,3407,0.681,0.75491125097235,0.07391125097235,0,0,0
"7",326,50,31,14,5,11,14,14,1200,0.681,0.75491125097235,0.07391125097235,0,0,0
"8",327,50,31,14,5,11,14,14,1617,0.681,0.75491125097235,0.07391125097235,0,0,0
"9",328,50,31,14,5,11,14,14,1070,0.681,0.75491125097235,0.07391125097235,0,0,0
"10",329,50,31,14,5,11,14,14,1129,0.681,0.75491125097235,0.07391125097235,0,0,0
"11",330,50,31,14,5,11,14,14,693,0.681,0.75491125097235,0.07391125097235,0,0,0
"12",331,50,31,14,5,11,14,14,954,0.681,0.75491125097235,0.07391125097235,0,0,0
"13",332,50,31,14,5,11,14,14,951,0.681,0.75491125097235,0.07391125097235,0,0,0
"14",333,50,31,14,5,11,14,14,851,0.681,0.75491125097235,0.07391125097235,0,0,1
"15",334,50,31,15,2,11,15,15,643,0.928,0.948193381980115,0.020193381980115,0,0,1
"16",335,50,31,10,2,12,10,10,931,0.405,0.350259571706684,0.054740428293316,1,0,0
"17",336,50,31,10,2,12,10,10,958,0.405,0.350259571706684,0.054740428293316,1,0,0
"18",337,50,31,10,2,12,10,10,740,0.405,0.350259571706684,0.054740428293316,1,0,0
"19",338,50,31,10,2,12,10,10,935,0.405,0.350259571706684,0.054740428293316,1,0,0
"20",1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",1405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"27",1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"28",1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
